,county_name,date,total_doses
460,San Francisco,3/8/2021,6479
461,San Joaquin,3/8/2021,2505
462,San Luis Obispo,3/8/2021,2314
463,San Mateo,3/8/2021,3733
464,Santa Barbara,3/8/2021,960
465,Santa Clara,3/8/2021,11611
466,Santa Cruz,3/8/2021,843
467,Shasta,3/8/2021,449
468,Sierra,3/8/2021,3
469,Siskiyou,3/8/2021,317
470,Solano,3/8/2021,1249
471,Sonoma,3/8/2021,3160
472,Stanislaus,3/8/2021,1671
473,Sutter,3/8/2021,137
474,Tehama,3/8/2021,45
475,Trinity,3/8/2021,3
476,Tulare,3/8/2021,1106
477,Tuolumne,3/8/2021,166
478,Unknown,3/8/2021,142
479,Ventura,3/8/2021,4844
480,Yolo,3/8/2021,825
481,Yuba,3/8/2021,106
482,Alameda,3/7/2021,9084
483,Amador,3/7/2021,62
484,Butte,3/7/2021,57
485,Calaveras,3/7/2021,62
486,Colusa,3/7/2021,7
487,Contra Costa,3/7/2021,3443
488,Del Norte,3/7/2021,3
489,El Dorado,3/7/2021,390
490,Fresno,3/7/2021,1061
491,Glenn,3/7/2021,1
492,Humboldt,3/7/2021,343
493,Imperial,3/7/2021,76
494,Inyo,3/7/2021,6
495,Kern,3/7/2021,1914
496,Kings,3/7/2021,211
497,Lake,3/7/2021,6
498,Lassen,3/7/2021,55
499,Los Angeles,3/7/2021,22741
500,Madera,3/7/2021,127
501,Marin,3/7/2021,1332
502,Mariposa,3/7/2021,1
503,Mendocino,3/7/2021,482
504,Merced,3/7/2021,197
505,Modoc,3/7/2021,6
506,Mono,3/7/2021,1
507,Monterey,3/7/2021,451
508,Napa,3/7/2021,426
509,Nevada,3/7/2021,187
510,Orange,3/7/2021,13588
511,Outside California,3/7/2021,2072
512,Placer,3/7/2021,1203
513,Plumas,3/7/2021,10
514,Riverside,3/7/2021,3478
515,Sacramento,3/7/2021,7208
516,San Benito,3/7/2021,620
517,San Bernardino,3/7/2021,1386
518,San Diego,3/7/2021,17133
519,San Francisco,3/7/2021,4902
520,San Joaquin,3/7/2021,1117
521,San Luis Obispo,3/7/2021,194
522,San Mateo,3/7/2021,3351
523,Santa Barbara,3/7/2021,494
524,Santa Clara,3/7/2021,6124
525,Santa Cruz,3/7/2021,1321
526,Shasta,3/7/2021,76
527,Siskiyou,3/7/2021,10
528,Solano,3/7/2021,2640
529,Sonoma,3/7/2021,1574
530,Stanislaus,3/7/2021,804
531,Sutter,3/7/2021,56
532,Tehama,3/7/2021,5
533,Trinity,3/7/2021,3
534,Tulare,3/7/2021,1002
535,Tuolumne,3/7/2021,29
536,Unknown,3/7/2021,56
537,Ventura,3/7/2021,1483
538,Yolo,3/7/2021,445
539,Yuba,3/7/2021,45
540,Alameda,3/6/2021,11491
541,Amador,3/6/2021,72
542,Butte,3/6/2021,141
543,Calaveras,3/6/2021,81
544,Colusa,3/6/2021,235
545,Contra Costa,3/6/2021,6350
546,Del Norte,3/6/2021,425
547,El Dorado,3/6/2021,521
548,Fresno,3/6/2021,5438
549,Glenn,3/6/2021,24
550,Humboldt,3/6/2021,1174
551,Imperial,3/6/2021,642
552,Inyo,3/6/2021,29
553,Kern,3/6/2021,3801
554,Kings,3/6/2021,442
555,Lake,3/6/2021,28
556,Lassen,3/6/2021,45
557,Los Angeles,3/6/2021,52638
558,Madera,3/6/2021,618
559,Marin,3/6/2021,2242
560,Mariposa,3/6/2021,5
561,Mendocino,3/6/2021,224
562,Merced,3/6/2021,820
563,Modoc,3/6/2021,8
564,Mono,3/6/2021,319
565,Monterey,3/6/2021,2479
566,Napa,3/6/2021,497
567,Nevada,3/6/2021,293
568,Orange,3/6/2021,16025
569,Outside California,3/6/2021,4749
570,Placer,3/6/2021,2063
571,Plumas,3/6/2021,10
572,Riverside,3/6/2021,6711
573,Sacramento,3/6/2021,5390
574,San Benito,3/6/2021,147
575,San Bernardino,3/6/2021,7100
576,San Diego,3/6/2021,22241
577,San Francisco,3/6/2021,5909
578,San Joaquin,3/6/2021,2772
579,San Luis Obispo,3/6/2021,666
580,San Mateo,3/6/2021,7142
581,Santa Barbara,3/6/2021,1870
582,Santa Clara,3/6/2021,8089
583,Santa Cruz,3/6/2021,3539
584,Shasta,3/6/2021,713
585,Siskiyou,3/6/2021,22
586,Solano,3/6/2021,3330
587,Sonoma,3/6/2021,2340
588,Stanislaus,3/6/2021,3307
589,Sutter,3/6/2021,535
590,Tehama,3/6/2021,269
591,Trinity,3/6/2021,181
592,Tulare,3/6/2021,2244
593,Tuolumne,3/6/2021,1024
594,Unknown,3/6/2021,120
595,Ventura,3/6/2021,4802
596,Yolo,3/6/2021,532
597,Yuba,3/6/2021,260
598,Alameda,3/5/2021,13464
599,Alpine,3/5/2021,29
600,Amador,3/5/2021,476
601,Butte,3/5/2021,1253
