,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,all_hospital_beds,icu_suspected_covid_patients,icu_available_beds,Total cases
172,San Benito,4/1/2020,2,0,0,0,0,2
173,Colusa,4/1/2020,0,1,0,1,5,1
174,San Bernardino,4/1/2020,95,196,0,52,34,291
175,Stanislaus,4/1/2020,25,39,0,6,31,64
176,Amador,4/1/2020,0,3,0,0,2,3
177,Kings,4/1/2020,2,6,0,2,1,8
178,Inyo,4/1/2020,7,89,0,0,6,96
179,Glenn,4/1/2020,0,0,0,0,0,0
180,Calaveras,4/1/2020,0,1,0,0,5,1
181,Mariposa,4/1/2020,0,0,0,0,0,0
182,Lake,4/1/2020,0,2,0,0,2,2
183,Shasta,4/1/2020,1,4,0,1,13,5
184,Del Norte,4/1/2020,0,5,0,0,3,5
185,Humboldt,4/1/2020,1,9,0,3,7,10
186,Tulare,4/1/2020,4,12,0,4,9,16
187,Los Angeles,4/1/2020,739,1332,0,220,492,2071
188,Plumas,4/1/2020,0,0,0,0,0,0
189,San Diego,4/1/2020,168,340,0,32,215,508
190,Orange,4/1/2020,117,221,0,48,118,338
191,Contra Costa,4/1/2020,31,42,0,12,61,73
192,Modoc,4/1/2020,0,1,0,0,0,1
193,Riverside,4/1/2020,85,182,0,47,76,267
194,El Dorado,4/1/2020,14,8,0,3,9,22
195,San Mateo,4/1/2020,57,35,0,9,36,92
196,Kern,4/1/2020,15,45,0,9,32,60
197,San Francisco,4/1/2020,67,66,0,8,64,133
198,Mono,4/1/2020,0,0,0,0,2,0
199,Trinity,4/1/2020,0,0,0,0,0,0
200,Marin,4/1/2020,9,19,0,2,14,28
201,Merced,4/1/2020,3,15,0,3,9,18
202,Butte,4/1/2020,5,33,0,4,9,38
203,San Luis Obispo,4/1/2020,8,10,0,6,968,18
204,Yolo,4/1/2020,3,3,0,1,2,6
205,Santa Barbara,4/1/2020,23,23,0,6,51,46
206,Ventura,4/1/2020,22,96,0,23,27,118
207,Sonoma,4/1/2020,5,18,0,2,22,23
208,Sutter,4/1/2020,0,0,0,0,0,0
209,Alameda,4/1/2020,52,76,0,15,106,128
210,Santa Cruz,4/1/2020,2,12,0,2,3,14
211,Monterey,4/1/2020,13,16,0,4,15,29
212,Yuba,4/1/2020,2,24,0,4,6,26
213,Santa Clara,4/1/2020,160,85,0,15,91,245
214,Nevada,4/1/2020,36,54,0,4,3,90
215,Solano,4/1/2020,14,18,0,2,31,32
216,Sacramento,4/1/2020,53,138,0,33,74,191
217,Tuolumne,4/1/2020,0,0,0,0,2,0
218,San Joaquin,4/1/2020,25,35,0,11,21,60
219,Mendocino,4/1/2020,0,2,0,0,8,2
220,Fresno,4/1/2020,19,101,0,13,53,120
221,Placer,4/2/2020,32,15,0,0,11,47
222,Solano,4/2/2020,15,8,0,1,27,23
223,Fresno,4/2/2020,17,74,0,13,33,91
224,Marin,4/2/2020,7,16,0,1,16,23
225,Riverside,4/2/2020,136,181,0,49,104,317
226,Santa Barbara,4/2/2020,26,44,0,10,47,70
227,Mariposa,4/2/2020,0,1,0,0,0,1
228,Tehama,4/2/2020,0,1,0,1,4,1
229,Trinity,4/2/2020,0,0,0,0,0,0
230,Lassen,4/2/2020,0,7,0,0,0,7
231,Napa,4/2/2020,1,4,0,1,12,5
232,Los Angeles,4/2/2020,818,1270,0,193,488,2088
233,Humboldt,4/2/2020,1,8,0,2,8,9
234,Santa Clara,4/2/2020,163,101,0,19,95,264
235,San Mateo,4/2/2020,62,40,0,4,26,102
236,Siskiyou,4/2/2020,0,3,0,2,4,3
237,Glenn,4/2/2020,0,0,0,0,0,0
238,Sacramento,4/2/2020,71,92,0,19,80,163
239,Mono,4/2/2020,18,2,0,0,2,20
240,Del Norte,4/2/2020,0,3,0,0,2,3
241,Madera,4/2/2020,1,7,0,3,6,8
242,Tuolumne,4/2/2020,0,0,0,0,2,0
243,San Francisco,4/2/2020,75,60,0,11,58,135
244,El Dorado,4/2/2020,15,12,0,6,10,27
245,Calaveras,4/2/2020,0,1,0,0,5,1
246,Tulare,4/2/2020,4,26,0,5,3,30
247,Plumas,4/2/2020,0,0,0,0,0,0
248,Alameda,4/2/2020,57,76,0,17,112,133
249,San Luis Obispo,4/2/2020,5,5,0,4,966,10
250,Lake,4/2/2020,0,1,0,0,2,1
251,Contra Costa,4/2/2020,32,38,0,10,73,70
252,Modoc,4/2/2020,0,1,0,0,0,1
253,Yolo,4/2/2020,3,2,0,3,0,5
254,Monterey,4/2/2020,14,14,0,2,12,28
255,Ventura,4/2/2020,27,111,0,24,15,138
256,Butte,4/2/2020,4,26,0,2,12,30
257,Imperial,4/2/2020,4,16,0,5,6,20
258,Sonoma,4/2/2020,8,18,0,0,10,26
259,Santa Cruz,4/2/2020,4,4,0,0,7,8
260,Inyo,4/2/2020,8,102,0,1,3,110
261,Amador,4/2/2020,0,3,0,0,2,3
262,Yuba,4/2/2020,2,25,0,6,4,27
263,San Diego,4/2/2020,144,343,0,35,206,487
264,Orange,4/2/2020,129,225,0,47,96,354
265,San Benito,4/2/2020,2,0,0,0,0,2
266,Shasta,4/2/2020,2,4,0,0,10,6
267,San Bernardino,4/2/2020,126,185,0,45,37,311
268,Merced,4/2/2020,4,5,0,1,3,9
269,Kings,4/2/2020,2,6,0,1,7,8
270,Sutter,4/2/2020,0,0,0,0,0,0
271,Kern,4/2/2020,27,77,0,23,36,104
272,Stanislaus,4/2/2020,30,43,0,7,22,73
273,Colusa,4/2/2020,0,1,0,1,5,1
274,Nevada,4/2/2020,38,58,0,1,6,96
275,Mendocino,4/2/2020,0,1,0,0,8,1
276,San Joaquin,4/2/2020,42,42,0,7,17,84
277,Tulare,4/3/2020,6,15,0,2,3,21
