,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,all_hospital_beds,icu_suspected_covid_patients,icu_available_beds,Total cases
12590,Los Angeles,11/8/2020,888,264,20059,33,769,1152
12591,Ventura,11/8/2020,40,8,1225,3,40,48
12592,San Mateo,11/8/2020,20,7,695,0,38,27
12593,San Diego,11/8/2020,287,55,6948,13,265,342
12594,Tulare,11/8/2020,38,8,679,1,23,46
12595,El Dorado,11/8/2020,2,0,189,0,5,2
12596,Nevada,11/8/2020,3,0,124,0,7,3
12597,Modoc,11/9/2020,2,0,41,0,0,2
12598,Orange,11/9/2020,224,52,5797,14,200,276
12599,Merced,11/9/2020,9,0,271,0,5,9
12600,Santa Clara,11/9/2020,110,24,2979,2,80,134
12601,Mariposa,11/9/2020,1,0,19,0,0,1
12602,Amador,11/9/2020,2,2,51,0,4,4
12603,Butte,11/9/2020,12,0,453,0,13,12
12604,Yuba,11/9/2020,3,0,265,0,11,3
12605,Yolo,11/9/2020,4,0,96,0,2,4
12606,Riverside,11/9/2020,244,43,3392,11,95,287
12607,Kings,11/9/2020,18,0,193,0,16,18
12608,Sonoma,11/9/2020,22,2,544,0,4,24
12609,San Mateo,11/9/2020,19,7,699,0,39,26
12610,El Dorado,11/9/2020,4,1,189,1,5,5
12611,San Benito,11/9/2020,1,0,0,0,3,1
12612,San Joaquin,11/9/2020,55,4,1022,0,26,59
12613,Inyo,11/9/2020,0,0,29,0,4,0
12614,Contra Costa,11/9/2020,45,12,1485,2,44,57
12615,Imperial,11/9/2020,49,0,251,0,2,49
12616,Santa Cruz,11/9/2020,8,0,389,0,7,8
12617,Mono,11/9/2020,0,0,17,0,2,0
12618,Shasta,11/9/2020,24,2,561,0,3,26
12619,Madera,11/9/2020,7,4,329,0,7,11
12620,Kern,11/9/2020,65,2,1267,0,57,67
12621,Fresno,11/9/2020,112,24,1682,2,26,136
12622,Alameda,11/9/2020,63,45,2429,7,113,108
12623,Napa,11/9/2020,8,0,351,0,23,8
12624,Santa Barbara,11/9/2020,11,0,688,0,57,11
12625,San Diego,11/9/2020,299,53,6950,12,283,352
12626,Nevada,11/9/2020,5,0,116,0,1,5
12627,Del Norte,11/9/2020,0,0,51,0,0,0
12628,Glenn,11/9/2020,0,0,47,0,0,0
12629,Sacramento,11/9/2020,148,31,2567,5,80,179
12630,Marin,11/9/2020,7,2,355,1,11,9
12631,Colusa,11/9/2020,0,0,48,0,0,0
12632,San Bernardino,11/9/2020,284,47,4001,5,93,331
12633,Sutter,11/9/2020,0,0,14,0,0,0
12634,Monterey,11/9/2020,33,0,717,0,24,33
12635,Los Angeles,11/9/2020,903,306,20064,48,778,1209
12636,Trinity,11/9/2020,0,0,25,0,0,0
12637,San Francisco,11/9/2020,36,3,1856,1,68,39
12638,Siskiyou,11/9/2020,4,0,56,0,8,4
12639,Tulare,11/9/2020,38,8,679,1,26,46
12640,Lassen,11/9/2020,1,0,25,0,0,1
12641,Ventura,11/9/2020,41,9,1217,6,38,50
12642,Placer,11/9/2020,44,9,806,3,28,53
12643,Tehama,11/9/2020,3,0,59,0,2,3
12644,Calaveras,11/9/2020,0,0,33,0,3,0
12645,Mendocino,11/9/2020,4,0,177,0,6,4
12646,Plumas,11/9/2020,0,0,35,0,0,0
12647,Stanislaus,11/9/2020,62,9,1269,2,19,71
12648,Solano,11/9/2020,33,12,550,2,18,45
12649,Humboldt,11/9/2020,2,3,258,0,6,5
12650,Tuolumne,11/9/2020,5,0,181,0,3,5
12651,Lake,11/9/2020,1,0,77,0,2,1
12652,San Luis Obispo,11/9/2020,8,0,460,0,25,8
12653,Lake,11/10/2020,2,0,78,0,1,2
12654,Ventura,11/10/2020,35,11,1238,1,40,46
12655,Trinity,11/10/2020,0,0,25,0,0,0
12656,Kings,11/10/2020,18,0,193,0,16,18
12657,Santa Barbara,11/10/2020,14,0,688,0,54,14
12658,Placer,11/10/2020,49,10,803,3,28,59
12659,Modoc,11/10/2020,2,0,41,0,0,2
12660,San Mateo,11/10/2020,22,11,725,1,33,33
12661,Sutter,11/10/2020,0,0,14,0,0,0
12662,Sacramento,11/10/2020,158,25,2574,4,69,183
12663,Madera,11/10/2020,8,9,329,0,7,17
12664,San Benito,11/10/2020,1,0,25,0,2,1
12665,Shasta,11/10/2020,31,0,561,0,3,31
12666,El Dorado,11/10/2020,4,0,189,0,4,4
12667,Fresno,11/10/2020,121,24,1707,2,13,145
12668,Nevada,11/10/2020,5,0,133,0,1,5
12669,Tuolumne,11/10/2020,4,0,181,0,2,4
12670,Colusa,11/10/2020,1,0,48,0,0,1
12671,Calaveras,11/10/2020,0,0,33,0,4,0
12672,Merced,11/10/2020,14,0,272,0,5,14
12673,Tehama,11/10/2020,5,0,59,0,3,5
12674,San Francisco,11/10/2020,35,4,1876,1,69,39
12675,Los Angeles,11/10/2020,953,317,20118,49,683,1270
12676,Marin,11/10/2020,12,7,360,0,11,19
12677,Orange,11/10/2020,244,40,5964,6,193,284
12678,Siskiyou,11/10/2020,4,0,56,0,6,4
12679,Solano,11/10/2020,30,12,563,2,15,42
12680,Santa Clara,11/10/2020,109,26,3044,6,52,135
12681,Lassen,11/10/2020,0,0,25,0,0,0
12682,Riverside,11/10/2020,263,44,3450,9,102,307
12683,Mono,11/10/2020,0,0,17,0,2,0
12684,San Diego,11/10/2020,294,61,6945,10,258,355
12685,Contra Costa,11/10/2020,45,14,1504,4,46,59
12686,Mariposa,11/10/2020,1,0,19,0,0,1
12687,Monterey,11/10/2020,38,0,717,0,23,38
12688,Mendocino,11/10/2020,4,0,177,0,6,4
12689,Santa Cruz,11/10/2020,9,0,389,0,8,9
12690,Tulare,11/10/2020,42,8,679,1,24,50
12691,Plumas,11/10/2020,0,0,35,0,0,0
12692,Glenn,11/10/2020,0,0,47,0,0,0
12693,Yolo,11/10/2020,3,0,96,0,4,3
12694,Imperial,11/10/2020,51,0,266,0,2,51
12695,Kern,11/10/2020,56,1,1266,0,64,57
12696,Del Norte,11/10/2020,0,0,51,0,1,0
12697,San Bernardino,11/10/2020,286,63,4013,5,105,349
12698,Sonoma,11/10/2020,21,10,562,1,5,31
12699,Humboldt,11/10/2020,2,1,262,0,6,3
12700,Amador,11/10/2020,3,0,51,0,3,3
12701,Stanislaus,11/10/2020,64,9,1288,2,9,73
12702,Inyo,11/10/2020,0,0,29,0,4,0
12703,Yuba,11/10/2020,3,0,265,0,10,3
12704,San Luis Obispo,11/10/2020,6,0,460,0,28,6
12705,Alameda,11/10/2020,70,51,2471,10,107,121
12706,Butte,11/10/2020,13,0,453,0,5,13
12707,San Joaquin,11/10/2020,62,5,1030,0,24,67
12708,Napa,11/10/2020,7,0,351,0,14,7
12709,Mendocino,11/11/2020,7,0,177,0,4,7
12710,Marin,11/11/2020,13,3,369,0,10,16
12711,Los Angeles,11/11/2020,942,323,20217,49,648,1265
12712,Sutter,11/11/2020,0,0,14,0,0,0
12713,Merced,11/11/2020,17,0,272,0,7,17
12714,Alameda,11/11/2020,75,36,2453,6,96,111
12715,Amador,11/11/2020,3,0,51,0,3,3
12716,Ventura,11/11/2020,37,6,1236,0,43,43
12717,San Benito,11/11/2020,1,0,25,0,3,1
12718,Sacramento,11/11/2020,153,20,2470,3,104,173
12719,Kings,11/11/2020,19,0,193,0,15,19
12720,Tuolumne,11/11/2020,6,0,181,0,2,6
12721,Stanislaus,11/11/2020,66,12,1295,3,15,78
12722,Modoc,11/11/2020,1,0,41,0,0,1
12723,San Diego,11/11/2020,303,41,6946,6,252,344
12724,Santa Clara,11/11/2020,106,15,3069,0,54,121
12725,San Luis Obispo,11/11/2020,7,0,460,0,28,7
12726,Colusa,11/11/2020,2,0,48,0,0,2
12727,Calaveras,11/11/2020,0,0,33,0,4,0
12728,Yuba,11/11/2020,6,0,265,0,6,6
12729,Fresno,11/11/2020,123,16,1700,1,11,139
12730,Napa,11/11/2020,9,0,351,0,26,9
12731,Lake,11/11/2020,2,0,78,0,1,2
12732,Kern,11/11/2020,59,9,1276,0,51,68
12733,Riverside,11/11/2020,271,52,3439,8,65,323
12734,Tulare,11/11/2020,43,6,679,0,18,49
12735,Lassen,11/11/2020,0,0,25,0,0,0
12736,San Francisco,11/11/2020,36,7,1904,0,59,43
12737,Solano,11/11/2020,30,14,563,2,15,44
12738,Mono,11/11/2020,0,0,17,0,2,0
12739,San Mateo,11/11/2020,21,10,738,1,37,31
12740,Placer,11/11/2020,50,10,797,5,21,60
12741,Siskiyou,11/11/2020,4,0,56,0,6,4
12742,Inyo,11/11/2020,0,0,29,0,4,0
12743,Plumas,11/11/2020,0,0,35,0,0,0
12744,Shasta,11/11/2020,28,1,561,1,2,29
12745,Santa Cruz,11/11/2020,12,0,389,0,7,12
12746,Yolo,11/11/2020,5,0,96,0,3,5
12747,Santa Barbara,11/11/2020,12,0,688,0,57,12
12748,Mariposa,11/11/2020,1,0,19,0,0,1
12749,Glenn,11/11/2020,0,0,47,0,0,0
12750,Orange,11/11/2020,251,43,5921,6,192,294
12751,Humboldt,11/11/2020,2,2,276,1,2,4
12752,Del Norte,11/11/2020,0,0,51,0,2,0
12753,El Dorado,11/11/2020,5,1,189,1,8,6
12754,Sonoma,11/11/2020,21,2,585,0,6,23
12755,San Bernardino,11/11/2020,302,50,4067,2,107,352
12756,Monterey,11/11/2020,44,0,717,0,20,44
12757,San Joaquin,11/11/2020,69,4,1034,0,25,73
12758,Nevada,11/11/2020,4,0,142,0,3,4
12759,Imperial,11/11/2020,53,0,266,0,2,53
12760,Contra Costa,11/11/2020,50,8,1564,2,40,58
12761,Madera,11/11/2020,8,11,329,0,16,19
12762,Butte,11/11/2020,16,0,453,0,8,16
12763,Trinity,11/11/2020,0,0,25,0,0,0
12764,Tehama,11/11/2020,5,0,59,0,2,5
12765,San Joaquin,11/12/2020,62,2,1039,1,30,64
12766,Los Angeles,11/12/2020,966,314,20215,52,661,1280
12767,Santa Clara,11/12/2020,115,20,3045,1,72,135
12768,San Diego,11/12/2020,302,35,6943,7,244,337
12769,Lassen,11/12/2020,2,0,25,0,0,2
12770,Plumas,11/12/2020,0,0,35,0,0,0
12771,Ventura,11/12/2020,36,9,1235,1,41,45
12772,Solano,11/12/2020,36,14,566,3,10,50
12773,Sonoma,11/12/2020,18,9,581,0,4,27
12774,Orange,11/12/2020,244,45,5916,6,193,289
12775,Kern,11/12/2020,63,8,1287,0,54,71
12776,San Luis Obispo,11/12/2020,7,0,460,0,27,7
12777,Siskiyou,11/12/2020,3,0,25,0,0,3
12778,Butte,11/12/2020,16,0,453,0,7,16
12779,Marin,11/12/2020,11,6,365,0,7,17
12780,Imperial,11/12/2020,60,0,266,0,0,60
12781,Glenn,11/12/2020,0,0,47,0,0,0
12782,Santa Cruz,11/12/2020,16,1,389,0,7,17
12783,El Dorado,11/12/2020,4,0,189,0,7,4
12784,Mariposa,11/12/2020,0,0,19,0,0,0
12785,Sutter,11/12/2020,0,0,14,0,0,0
12786,San Benito,11/12/2020,1,0,26,0,1,1
12787,Madera,11/12/2020,11,14,329,0,16,25
12788,Sacramento,11/12/2020,177,23,2561,2,64,200
12789,Shasta,11/12/2020,28,1,561,0,3,29
12790,Mono,11/12/2020,0,0,17,0,2,0
12791,Lake,11/12/2020,2,0,77,0,1,2
12792,Kings,11/12/2020,20,0,193,0,13,20
12793,Amador,11/12/2020,4,0,51,0,5,4
12794,Fresno,11/12/2020,120,19,1672,1,15,139
12795,Santa Barbara,11/12/2020,13,2,688,0,58,15
12796,San Mateo,11/12/2020,23,9,737,1,38,32
12797,Humboldt,11/12/2020,3,4,279,1,2,7
12798,Yuba,11/12/2020,7,0,265,0,5,7
12799,Inyo,11/12/2020,0,0,29,0,3,0
12800,Calaveras,11/12/2020,0,0,33,0,4,0
12801,Riverside,11/12/2020,286,57,3476,6,64,343
12802,Monterey,11/12/2020,43,2,717,0,18,45
12803,Alameda,11/12/2020,70,39,2434,5,102,109
12804,Modoc,11/12/2020,1,0,41,0,0,1
12805,Yolo,11/12/2020,9,0,97,0,7,9
12806,Napa,11/12/2020,9,0,351,0,27,9
12807,Del Norte,11/12/2020,0,0,51,0,2,0
12808,Colusa,11/12/2020,3,1,48,0,0,4
12809,Trinity,11/12/2020,0,0,25,0,0,0
12810,Nevada,11/12/2020,4,0,126,0,2,4
12811,Tulare,11/12/2020,40,7,679,0,18,47
12812,Placer,11/12/2020,46,10,797,1,24,56
12813,Stanislaus,11/12/2020,74,15,1297,4,21,89
12814,Contra Costa,11/12/2020,50,7,1551,0,32,57
12815,Tehama,11/12/2020,7,0,59,0,3,7
12816,Mendocino,11/12/2020,7,0,177,0,6,7
12817,Tuolumne,11/12/2020,7,0,181,0,4,7
12818,San Bernardino,11/12/2020,318,58,4102,7,93,376
12819,San Francisco,11/12/2020,38,8,1851,1,62,46
12820,Merced,11/12/2020,17,0,271,0,7,17
12821,Calaveras,11/13/2020,1,0,33,0,4,1
12822,Mono,11/13/2020,0,0,17,0,2,0
12823,Glenn,11/13/2020,0,0,47,0,0,0
12824,Lassen,11/13/2020,0,0,25,0,0,0
12825,Merced,11/13/2020,17,0,271,0,7,17
12826,Placer,11/13/2020,44,9,801,1,22,53
12827,Napa,11/13/2020,8,0,351,0,28,8
12828,Tulare,11/13/2020,44,7,679,0,21,51
12829,El Dorado,11/13/2020,4,0,189,0,6,4
12830,Del Norte,11/13/2020,0,0,52,0,0,0
12831,San Francisco,11/13/2020,36,7,1908,0,65,43
12832,Ventura,11/13/2020,36,11,1248,2,28,47
12833,Monterey,11/13/2020,44,2,717,0,23,46
12834,Marin,11/13/2020,10,5,363,1,12,15
12835,Mariposa,11/13/2020,0,0,19,0,0,0
12836,Trinity,11/13/2020,0,0,25,0,0,0
12837,Butte,11/13/2020,19,1,453,1,10,20
12838,Santa Barbara,11/13/2020,13,3,688,0,53,16
12839,Amador,11/13/2020,4,1,51,0,6,5
12840,San Bernardino,11/13/2020,334,54,4089,8,95,388
12841,Yuba,11/13/2020,7,0,265,0,4,7
12842,Inyo,11/13/2020,1,0,29,0,3,1
12843,Humboldt,11/13/2020,3,4,281,2,3,7
12844,Kings,11/13/2020,26,0,193,0,13,26
12845,Tuolumne,11/13/2020,9,0,84,0,2,9
12846,Nevada,11/13/2020,4,0,126,0,2,4
12847,Fresno,11/13/2020,131,16,1657,2,22,147
12848,San Benito,11/13/2020,2,0,25,0,0,2
12849,Contra Costa,11/13/2020,46,10,1543,2,37,56
12850,Sacramento,11/13/2020,172,18,2546,3,64,190
12851,San Joaquin,11/13/2020,68,6,1035,1,32,74
12852,Orange,11/13/2020,235,37,5924,3,188,272
12853,Kern,11/13/2020,63,3,1287,0,53,66
12854,Los Angeles,11/13/2020,1014,282,20222,24,658,1296
12855,San Mateo,11/13/2020,19,6,734,0,34,25
12856,Riverside,11/13/2020,314,50,3461,4,56,364
12857,San Diego,11/13/2020,298,51,6941,4,255,349
12858,Plumas,11/13/2020,0,0,35,0,0,0
12859,Solano,11/13/2020,41,12,577,0,10,53
12860,Sonoma,11/13/2020,20,5,576,1,4,25
12861,Colusa,11/13/2020,3,1,48,0,0,4
12862,Sutter,11/13/2020,0,0,14,0,0,0
12863,Shasta,11/13/2020,27,1,561,0,3,28
12864,Mendocino,11/13/2020,5,0,177,0,7,5
12865,Imperial,11/13/2020,63,0,266,0,3,63
12866,Modoc,11/13/2020,0,0,41,0,0,0
12867,Stanislaus,11/13/2020,84,16,1291,3,21,100
12868,Tehama,11/13/2020,7,0,59,0,3,7
12869,Santa Clara,11/13/2020,131,12,3063,1,66,143
12870,Alameda,11/13/2020,74,38,2458,6,98,112
12871,San Luis Obispo,11/13/2020,7,2,460,0,27,9
12872,Lake,11/13/2020,2,1,77,0,1,3
12873,Santa Cruz,11/13/2020,17,1,389,0,4,18
12874,Yolo,11/13/2020,10,0,96,0,6,10
12875,Madera,11/13/2020,10,9,329,0,18,19
12876,Siskiyou,11/13/2020,4,0,25,0,0,4
12877,Lake,11/14/2020,2,1,77,0,1,3
12878,Lassen,11/14/2020,0,0,25,0,0,0
12879,San Joaquin,11/14/2020,72,9,1030,0,29,81
12880,Mariposa,11/14/2020,0,0,19,0,0,0
12881,El Dorado,11/14/2020,4,0,189,0,6,4
12882,San Mateo,11/14/2020,23,6,734,0,38,29
12883,Santa Cruz,11/14/2020,19,0,389,0,3,19
12884,Yolo,11/14/2020,14,0,96,0,4,14
12885,Santa Barbara,11/14/2020,15,4,688,0,60,19
12886,Stanislaus,11/14/2020,93,13,1284,2,24,106
12887,Modoc,11/14/2020,0,0,41,0,0,0
12888,Shasta,11/14/2020,22,22,561,1,8,44
12889,Monterey,11/14/2020,51,1,717,0,22,52
12890,Sacramento,11/14/2020,170,23,2566,4,67,193
12891,Humboldt,11/14/2020,3,3,281,2,4,6
12892,Fresno,11/14/2020,146,21,1673,1,17,167
12893,Kings,11/14/2020,28,0,193,0,12,28
12894,Nevada,11/14/2020,4,1,126,0,4,5
12895,Imperial,11/14/2020,62,0,266,0,3,62
12896,Solano,11/14/2020,38,8,554,0,7,46
12897,Placer,11/14/2020,50,12,794,0,24,62
12898,Tuolumne,11/14/2020,12,0,84,0,2,12
12899,Butte,11/14/2020,21,0,453,0,13,21
12900,Colusa,11/14/2020,4,2,48,0,0,6
12901,Del Norte,11/14/2020,0,0,52,0,1,0
12902,Madera,11/14/2020,10,6,329,0,19,16
12903,Kern,11/14/2020,70,3,1269,0,47,73
12904,Napa,11/14/2020,8,0,351,0,26,8
12905,San Bernardino,11/14/2020,362,57,4084,10,92,419
12906,Mono,11/14/2020,0,0,17,0,2,0
12907,Alameda,11/14/2020,69,36,2483,6,100,105
12908,Los Angeles,11/14/2020,1049,346,20221,38,690,1395
12909,Plumas,11/14/2020,0,0,35,0,0,0
12910,Merced,11/14/2020,13,0,271,0,11,13
12911,Mendocino,11/14/2020,4,0,177,0,5,4
12912,San Luis Obispo,11/14/2020,8,2,460,2,25,10
12913,Sonoma,11/14/2020,19,3,534,0,3,22
12914,Tulare,11/14/2020,54,6,675,0,21,60
12915,Amador,11/14/2020,2,1,51,0,6,3
12916,Inyo,11/14/2020,0,0,29,0,3,0
12917,Ventura,11/14/2020,38,6,1241,0,35,44
12918,Siskiyou,11/14/2020,7,0,56,0,8,7
12919,Orange,11/14/2020,242,44,5900,4,173,286
12920,Riverside,11/14/2020,310,58,3370,11,57,368
12921,Contra Costa,11/14/2020,45,12,1526,1,38,57
12922,San Benito,11/14/2020,1,0,25,0,2,1
12923,Santa Clara,11/14/2020,135,12,3032,2,72,147
12924,Marin,11/14/2020,9,4,358,0,17,13
12925,Trinity,11/14/2020,0,0,25,0,0,0
12926,Yuba,11/14/2020,9,1,265,1,6,10
12927,Sutter,11/14/2020,0,0,14,0,0,0
12928,Glenn,11/14/2020,0,0,47,0,0,0
12929,San Diego,11/14/2020,317,46,6931,7,262,363
12930,San Francisco,11/14/2020,38,2,1890,1,68,40
12931,Tehama,11/14/2020,9,0,59,0,1,9
12932,Calaveras,11/14/2020,2,0,33,0,4,2
12933,Napa,11/15/2020,7,0,351,0,25,7
12934,Humboldt,11/15/2020,3,1,275,0,4,4
12935,Placer,11/15/2020,53,13,794,1,20,66
12936,San Joaquin,11/15/2020,76,7,1005,1,28,83
12937,Tehama,11/15/2020,8,0,59,0,4,8
12938,Nevada,11/15/2020,4,1,118,0,3,5
12939,Sutter,11/15/2020,0,0,14,0,0,0
12940,San Luis Obispo,11/15/2020,10,0,460,0,34,10
12941,Plumas,11/15/2020,0,0,35,0,0,0
12942,San Diego,11/15/2020,317,53,6918,10,273,370
12943,Tulare,11/15/2020,54,5,675,0,26,59
12944,Del Norte,11/15/2020,0,0,51,0,0,0
12945,Lake,11/15/2020,2,0,77,0,2,2
12946,Tuolumne,11/15/2020,6,0,84,0,2,6
12947,Ventura,11/15/2020,40,5,1238,0,37,45
12948,Sonoma,11/15/2020,18,2,551,2,4,20
12949,Santa Cruz,11/15/2020,14,0,389,0,2,14
12950,Stanislaus,11/15/2020,94,14,1284,2,26,108
12951,San Benito,11/15/2020,2,0,25,0,1,2
12952,San Mateo,11/15/2020,18,6,735,0,39,24
12953,Siskiyou,11/15/2020,7,0,56,0,7,7
12954,Solano,11/15/2020,41,8,554,0,6,49
12955,Yolo,11/15/2020,15,0,96,0,4,15
12956,Orange,11/15/2020,257,45,5853,3,192,302
12957,San Bernardino,11/15/2020,378,64,4083,12,109,442
12958,El Dorado,11/15/2020,3,0,189,0,6,3
12959,Glenn,11/15/2020,0,0,47,0,0,0
12960,Inyo,11/15/2020,0,0,29,0,3,0
12961,Santa Clara,11/15/2020,150,8,3016,0,70,158
12962,Colusa,11/15/2020,3,2,48,0,0,5
12963,Alameda,11/15/2020,71,39,2483,5,107,110
12964,Shasta,11/15/2020,26,0,561,0,8,26
12965,Trinity,11/15/2020,0,0,25,0,0,0
12966,Marin,11/15/2020,9,4,358,0,17,13
12967,Los Angeles,11/15/2020,1126,277,20107,43,654,1403
12968,San Francisco,11/15/2020,39,3,1841,1,70,42
12969,Calaveras,11/15/2020,2,0,33,0,5,2
12970,Monterey,11/15/2020,51,1,717,0,22,52
12971,Sacramento,11/15/2020,172,20,2561,4,82,192
12972,Modoc,11/15/2020,0,1,41,0,0,1
12973,Madera,11/15/2020,11,13,329,0,15,24
12974,Mariposa,11/15/2020,1,0,19,0,0,1
12975,Riverside,11/15/2020,320,68,3372,12,46,388
12976,Contra Costa,11/15/2020,48,19,1526,2,40,67
12977,Yuba,11/15/2020,11,0,265,0,9,11
12978,Butte,11/15/2020,21,0,453,0,13,21
12979,Lassen,11/15/2020,2,0,25,0,0,2
12980,Fresno,11/15/2020,155,12,1662,2,10,167
12981,Kings,11/15/2020,28,1,193,0,13,29
12982,Imperial,11/15/2020,62,0,266,0,0,62
12983,Mendocino,11/15/2020,5,1,177,0,4,6
12984,Kern,11/15/2020,80,9,1266,0,51,89
12985,Mono,11/15/2020,0,0,17,0,1,0
12986,Merced,11/15/2020,13,0,271,0,11,13
12987,Amador,11/15/2020,2,0,51,0,5,2
12988,Santa Barbara,11/15/2020,17,5,688,0,55,22
12989,Butte,11/16/2020,23,0,453,0,16,23
12990,Yolo,11/16/2020,14,0,96,0,2,14
12991,Lake,11/16/2020,1,0,77,0,2,1
12992,Stanislaus,11/16/2020,102,20,1272,1,17,122
12993,Mono,11/16/2020,0,0,17,0,2,0
12994,Yuba,11/16/2020,15,0,265,0,7,15
12995,Santa Barbara,11/16/2020,19,5,688,0,62,24
12996,San Joaquin,11/16/2020,78,8,1005,1,30,86
12997,Orange,11/16/2020,270,73,5829,13,204,343
12998,Calaveras,11/16/2020,2,0,33,0,5,2
12999,El Dorado,11/16/2020,5,0,189,0,5,5
13000,San Luis Obispo,11/16/2020,7,0,460,0,32,7
13001,Fresno,11/16/2020,151,21,1660,3,21,172
13002,Lassen,11/16/2020,1,0,25,0,0,1
13003,Monterey,11/16/2020,43,1,717,0,25,44
13004,San Benito,11/16/2020,2,0,25,0,0,2
13005,Trinity,11/16/2020,0,0,25,0,0,0
13006,Madera,11/16/2020,11,5,329,1,14,16
13007,Siskiyou,11/16/2020,6,0,56,0,9,6
13008,Riverside,11/16/2020,338,59,3452,10,51,397
13009,Santa Clara,11/16/2020,153,9,2997,1,76,162
13010,Solano,11/16/2020,41,8,558,1,7,49
13011,Alameda,11/16/2020,89,28,2438,3,110,117
13012,Mendocino,11/16/2020,6,1,177,0,3,7
13013,San Diego,11/16/2020,345,57,6920,10,287,402
13014,San Bernardino,11/16/2020,411,69,4078,9,111,480
13015,Humboldt,11/16/2020,2,5,274,2,3,7
13016,Merced,11/16/2020,20,0,271,0,9,20
13017,Placer,11/16/2020,68,18,793,3,22,86
13018,Tuolumne,11/16/2020,6,0,84,0,3,6
13019,Ventura,11/16/2020,49,5,1227,2,33,54
13020,Del Norte,11/16/2020,0,0,51,0,3,0
13021,Amador,11/16/2020,3,0,51,0,6,3
13022,San Mateo,11/16/2020,22,5,708,0,40,27
13023,Los Angeles,11/16/2020,1188,286,20078,47,700,1474
13024,Inyo,11/16/2020,0,0,29,0,3,0
13025,Contra Costa,11/16/2020,63,21,1506,2,36,84
13026,Kern,11/16/2020,86,11,1276,0,46,97
13027,Tulare,11/16/2020,60,6,683,0,29,66
13028,Glenn,11/16/2020,0,0,47,0,0,0
13029,San Francisco,11/16/2020,38,6,1835,2,86,44
13030,Kings,11/16/2020,33,1,193,0,12,34
13031,Modoc,11/16/2020,0,0,41,0,0,0
13032,Marin,11/16/2020,12,2,360,0,14,14
13033,Shasta,11/16/2020,26,0,561,0,4,26
13034,Nevada,11/16/2020,4,0,133,0,0,4
13035,Colusa,11/16/2020,4,1,48,0,0,5
13036,Napa,11/16/2020,7,0,351,0,25,7
13037,Plumas,11/16/2020,0,0,35,0,0,0
13038,Santa Cruz,11/16/2020,14,0,389,0,4,14
13039,Mariposa,11/16/2020,1,0,19,0,0,1
13040,Sutter,11/16/2020,0,0,14,0,0,0
13041,Tehama,11/16/2020,7,0,59,0,2,7
13042,Imperial,11/16/2020,64,2,265,0,1,66
13043,Sonoma,11/16/2020,17,5,548,1,4,22
13044,Sacramento,11/16/2020,191,29,2518,8,83,220
13045,Yuba,11/17/2020,20,0,265,0,5,20
13046,Sacramento,11/17/2020,208,20,2585,6,61,228
13047,Orange,11/17/2020,291,71,5937,10,171,362
13048,Lassen,11/17/2020,0,0,25,0,0,0
13049,Tehama,11/17/2020,7,0,59,0,2,7
13050,Nevada,11/17/2020,7,1,129,0,2,8
13051,Calaveras,11/17/2020,1,0,33,0,5,1
13052,San Bernardino,11/17/2020,417,67,4095,12,96,484
13053,Solano,11/17/2020,48,11,579,2,5,59
13054,Ventura,11/17/2020,50,8,1234,4,29,58
13055,Marin,11/17/2020,13,2,361,0,16,15
13056,Humboldt,11/17/2020,3,3,272,1,1,6
13057,Merced,11/17/2020,19,0,271,0,6,19
13058,Fresno,11/17/2020,162,22,1676,3,15,184
13059,Placer,11/17/2020,74,21,795,3,22,95
13060,Butte,11/17/2020,23,0,453,0,12,23
13061,Modoc,11/17/2020,0,1,41,0,0,1
13062,San Benito,11/17/2020,2,0,25,0,0,2
13063,Amador,11/17/2020,2,0,51,0,5,2
13064,Shasta,11/17/2020,26,0,561,0,7,26
13065,El Dorado,11/17/2020,5,2,189,2,5,7
13066,Lake,11/17/2020,1,0,77,0,3,1
13067,San Joaquin,11/17/2020,78,4,1006,2,26,82
13068,Riverside,11/17/2020,350,59,3469,12,46,409
13069,Stanislaus,11/17/2020,101,23,1288,2,19,124
13070,Siskiyou,11/17/2020,5,0,56,0,9,5
13071,Santa Barbara,11/17/2020,20,0,688,0,60,20
13072,Colusa,11/17/2020,4,0,48,0,0,4
13073,Del Norte,11/17/2020,0,0,52,0,2,0
13074,Alameda,11/17/2020,95,24,2474,4,99,119
13075,Sutter,11/17/2020,0,0,14,0,0,0
13076,Imperial,11/17/2020,62,1,265,0,1,63
13077,Sonoma,11/17/2020,21,2,572,0,5,23
13078,San Francisco,11/17/2020,37,11,1898,3,63,48
13079,Trinity,11/17/2020,0,0,25,0,0,0
13080,Tulare,11/17/2020,55,3,679,0,23,58
13081,Kern,11/17/2020,87,9,1305,0,45,96
13082,Santa Clara,11/17/2020,163,16,3044,1,65,179
13083,San Diego,11/17/2020,367,51,6939,11,254,418
13084,Los Angeles,11/17/2020,1238,304,20249,31,607,1542
13085,Tuolumne,11/17/2020,7,0,84,0,1,7
13086,San Mateo,11/17/2020,26,9,711,1,33,35
13087,Mono,11/17/2020,1,0,17,0,2,1
13088,Monterey,11/17/2020,48,0,717,0,17,48
13089,Yolo,11/17/2020,14,0,96,0,2,14
13090,Madera,11/17/2020,10,13,329,0,13,23
13091,Mendocino,11/17/2020,3,0,177,0,2,3
