county,date,deaths,cumulative_deaths,reported_deaths,cumulative_reported_deaths
Merced,3/13/2021,0,407,3,406
Modoc,3/13/2021,0,3,0,3
Mono,3/13/2021,0,3,0,3
Monterey,3/13/2021,0,334,3,332
Napa,3/13/2021,0,75,0,75
Nevada,3/13/2021,0,67,0,66
Orange,3/13/2021,0,4479,22,4423
Placer,3/13/2021,0,240,0,239
Plumas,3/13/2021,0,4,0,4
Riverside,3/13/2021,0,3893,-6,3848
Sacramento,3/13/2021,0,1466,1,1461
San Benito,3/13/2021,0,61,0,61
San Bernardino,3/13/2021,0,4032,55,3972
San Diego,3/13/2021,0,3462,10,3444
San Francisco,3/13/2021,0,456,3,455
San Joaquin,3/13/2021,0,1163,-3,1141
San Luis Obispo,3/13/2021,0,248,0,247
San Mateo,3/13/2021,0,344,0,341
Santa Barbara,3/13/2021,0,433,2,431
Santa Clara,3/13/2021,0,1797,24,1790
Santa Cruz,3/13/2021,0,199,4,199
Shasta,3/13/2021,0,100,-45,108
Sierra,3/13/2021,0,0,0,0
Siskiyou,3/13/2021,0,5,0,5
Solano,3/13/2021,0,171,0,171
Sonoma,3/13/2021,0,291,0,285
Stanislaus,3/13/2021,0,683,-6,695
Sutter,3/13/2021,0,102,1,102
Tehama,3/13/2021,0,34,0,33
Trinity,3/13/2021,0,3,0,3
Tulare,3/13/2021,0,803,0,798
Tuolumne,3/13/2021,0,57,0,57
Ventura,3/13/2021,0,916,7,906
Yolo,3/13/2021,0,190,0,189
Yuba,3/13/2021,0,42,0,42
Alameda,3/12/2021,0,1177,0,1164
Alpine,3/12/2021,0,0,0,0
Amador,3/12/2021,0,44,2,44
Butte,3/12/2021,0,184,-1,184
Calaveras,3/12/2021,0,49,0,49
California,3/12/2021,1,55576,217,55095
Colusa,3/12/2021,0,12,0,12
Contra Costa,3/12/2021,0,736,0,728
Del Norte,3/12/2021,0,6,0,6
El Dorado,3/12/2021,0,105,2,103
Fresno,3/12/2021,0,1498,8,1489
Glenn,3/12/2021,0,17,0,15
Humboldt,3/12/2021,0,33,0,32
Imperial,3/12/2021,0,689,2,677
Inyo,3/12/2021,0,35,0,35
Kern,3/12/2021,0,1144,11,1132
Kings,3/12/2021,0,233,2,232
Lake,3/12/2021,0,43,1,43
Lassen,3/12/2021,0,1,0,1
Los Angeles,3/12/2021,1,22526,93,22409
Madera,3/12/2021,0,214,0,214
Marin,3/12/2021,0,218,1,218
Mariposa,3/12/2021,0,5,0,5
Mendocino,3/12/2021,0,44,1,43
Merced,3/12/2021,0,407,2,403
Modoc,3/12/2021,0,3,0,3
Mono,3/12/2021,0,3,0,3
Monterey,3/12/2021,0,334,0,329
Napa,3/12/2021,0,75,0,75
Nevada,3/12/2021,0,67,0,66
Orange,3/12/2021,0,4479,28,4401
Placer,3/12/2021,0,240,0,239
Plumas,3/12/2021,0,4,0,4
Riverside,3/12/2021,0,3893,12,3854
Sacramento,3/12/2021,0,1466,5,1460
San Benito,3/12/2021,0,61,0,61
San Bernardino,3/12/2021,0,4032,48,3917
San Diego,3/12/2021,0,3462,12,3434
San Francisco,3/12/2021,0,456,0,452
San Joaquin,3/12/2021,0,1163,-13,1144
San Luis Obispo,3/12/2021,0,248,0,247
San Mateo,3/12/2021,0,344,0,341
Santa Barbara,3/12/2021,0,433,-1,429
Santa Clara,3/12/2021,0,1797,1,1766
Santa Cruz,3/12/2021,0,199,2,195
Shasta,3/12/2021,0,100,-5,153
Sierra,3/12/2021,0,0,0,0
Siskiyou,3/12/2021,0,5,0,5
Solano,3/12/2021,0,171,0,171
Sonoma,3/12/2021,0,291,0,285
Stanislaus,3/12/2021,0,683,-6,701
Sutter,3/12/2021,0,102,0,101
Tehama,3/12/2021,0,34,0,33
Trinity,3/12/2021,0,3,0,3
Tulare,3/12/2021,0,803,1,798
Tuolumne,3/12/2021,0,57,0,57
Ventura,3/12/2021,0,916,10,899
Yolo,3/12/2021,0,190,-1,189
Yuba,3/12/2021,0,42,0,42
Alameda,3/11/2021,0,1177,4,1164
Alpine,3/11/2021,0,0,0,0
Amador,3/11/2021,0,44,0,42
Butte,3/11/2021,0,184,0,185
Calaveras,3/11/2021,0,49,1,49
California,3/11/2021,3,55575,288,54878
Colusa,3/11/2021,0,12,0,12
Contra Costa,3/11/2021,0,736,3,728
Del Norte,3/11/2021,0,6,1,6
El Dorado,3/11/2021,0,105,1,101
Fresno,3/11/2021,0,1498,10,1481
Glenn,3/11/2021,0,17,0,15
Humboldt,3/11/2021,0,33,0,32
Imperial,3/11/2021,0,689,0,675
Inyo,3/11/2021,0,35,0,35
Kern,3/11/2021,0,1144,19,1121
Kings,3/11/2021,0,233,4,230
Lake,3/11/2021,0,43,0,42
Lassen,3/11/2021,0,1,0,1
Los Angeles,3/11/2021,1,22525,117,22316
Madera,3/11/2021,0,214,2,214
Marin,3/11/2021,0,218,1,217
Mariposa,3/11/2021,0,5,0,5
Mendocino,3/11/2021,0,44,0,42
Merced,3/11/2021,0,407,0,401
Modoc,3/11/2021,0,3,0,3
Mono,3/11/2021,0,3,0,3
Monterey,3/11/2021,1,334,0,329
Napa,3/11/2021,0,75,0,75
Nevada,3/11/2021,0,67,0,66
Orange,3/11/2021,0,4479,31,4373
Placer,3/11/2021,0,240,0,239
Plumas,3/11/2021,0,4,0,4
Riverside,3/11/2021,0,3893,20,3842
Sacramento,3/11/2021,0,1466,3,1455
San Benito,3/11/2021,0,61,0,61
San Bernardino,3/11/2021,1,4032,28,3869
San Diego,3/11/2021,0,3462,9,3422
San Francisco,3/11/2021,0,456,2,452
San Joaquin,3/11/2021,0,1163,1,1157
