,county,date,icu_covid_confirmed,icu_covid_suspected
418,Napa,2020-04-05,0,1
419,Imperial,2020-04-05,8,1
420,Plumas,2020-04-05,0,0
421,Siskiyou,2020-04-05,0,2
422,Modoc,2020-04-05,0,0
423,Monterey,2020-04-05,4,0
424,Del Norte,2020-04-05,0,0
425,San Bernardino,2020-04-05,59,54
426,Fresno,2020-04-05,8,15
427,Shasta,2020-04-05,4,0
428,Trinity,2020-04-05,0,0
429,Merced,2020-04-05,1,3
430,Lake,2020-04-05,0,2
431,San Joaquin,2020-04-05,17,4
432,Stanislaus,2020-04-05,14,5
433,Placer,2020-04-05,10,1
434,Amador,2020-04-05,0,0
435,Ventura,2020-04-05,7,28
436,Kern,2020-04-05,12,4
437,Tehama,2020-04-05,0,0
438,Sacramento,2020-04-05,23,26
439,Santa Clara,2020-04-05,68,18
440,Humboldt,2020-04-05,0,0
441,San Benito,2020-04-05,2,0
442,Santa Barbara,2020-04-05,18,2
443,Colusa,2020-04-05,1,0
444,Yuba,2020-04-05,1,1
445,Inyo,2020-04-06,1,0
446,San Joaquin,2020-04-06,14,3
447,Alameda,2020-04-06,43,19
448,Yuba,2020-04-06,1,3
449,Yolo,2020-04-06,3,4
450,Colusa,2020-04-06,0,0
451,Modoc,2020-04-06,0,0
452,San Mateo,2020-04-06,25,5
453,Fresno,2020-04-06,11,20
454,Plumas,2020-04-06,0,0
455,San Benito,2020-04-06,2,0
456,Santa Barbara,2020-04-06,19,5
457,Solano,2020-04-06,6,6
458,Riverside,2020-04-06,46,65
459,San Luis Obispo,2020-04-06,2,2
460,Tulare,2020-04-06,8,3
461,Del Norte,2020-04-06,0,0
462,Tuolumne,2020-04-06,0,0
463,Merced,2020-04-06,0,2
464,Stanislaus,2020-04-06,12,4
465,Los Angeles,2020-04-06,486,175
466,Ventura,2020-04-06,9,20
467,Calaveras,2020-04-06,0,0
468,Kings,2020-04-06,2,0
469,Sutter,2020-04-06,0,0
470,Santa Cruz,2020-04-06,4,2
471,Shasta,2020-04-06,2,2
472,Sonoma,2020-04-06,2,4
473,Imperial,2020-04-06,7,2
474,Monterey,2020-04-06,5,1
475,Amador,2020-04-06,0,0
476,Lake,2020-04-06,0,2
477,Napa,2020-04-06,0,0
478,Sacramento,2020-04-06,26,19
479,Butte,2020-04-06,1,5
480,San Francisco,2020-04-06,34,9
481,Siskiyou,2020-04-06,0,0
482,Mendocino,2020-04-06,0,2
483,Lassen,2020-04-06,0,0
484,Mono,2020-04-06,0,0
485,Contra Costa,2020-04-06,15,11
486,San Bernardino,2020-04-06,60,43
487,Humboldt,2020-04-06,0,3
488,Santa Clara,2020-04-06,79,10
489,Placer,2020-04-06,10,1
490,Madera,2020-04-06,0,1
491,Trinity,2020-04-06,0,0
492,Tehama,2020-04-06,0,0
493,El Dorado,2020-04-06,0,0
494,Kern,2020-04-06,12,5
495,San Diego,2020-04-06,83,25
496,Mariposa,2020-04-06,0,0
497,Marin,2020-04-06,4,4
498,Glenn,2020-04-06,0,0
499,Orange,2020-04-06,73,33
500,Nevada,2020-04-06,1,2
501,San Luis Obispo,2020-04-07,2,4
502,Sacramento,2020-04-07,28,18
503,Santa Clara,2020-04-07,77,7
504,Mono,2020-04-07,0,0
505,Imperial,2020-04-07,7,2
