,area_name,date,year,month,labor_force,employment,unemployment,unemployment_rate
2092,Lake County,2020-11-01,2020,November,27810,25760,2050,0.07400000000000001
2093,Lassen County,2020-11-01,2020,November,9870,9380,490,0.05
2095,Los Angeles County,2020-11-01,2020,November,4931400,4342400,589000,0.11900000000000001
2096,Madera County,2020-11-01,2020,November,60400,55600,4800,0.079
2097,Marin County,2020-11-01,2020,November,128800,122500,6300,0.049
2098,Mariposa County,2020-11-01,2020,November,6610,6060,550,0.084
2099,Mendocino County,2020-11-01,2020,November,35950,33530,2420,0.067
2100,Merced County,2020-11-01,2020,November,113000,103000,10000,0.08900000000000001
2101,Modoc County,2020-11-01,2020,November,3160,2970,190,0.059000000000000004
2102,Mono County,2020-11-01,2020,November,7220,6630,590,0.081
2103,Monterey County,2020-11-01,2020,November,205800,191500,14300,0.07
2104,Napa County,2020-11-01,2020,November,66100,61800,4300,0.064
2105,Nevada County,2020-11-01,2020,November,45650,43040,2610,0.057
2106,Orange County,2020-11-01,2020,November,1535600,1434800,100800,0.066
2107,Placer County,2020-11-01,2020,November,184100,174500,9600,0.052000000000000005
2108,Plumas County,2020-11-01,2020,November,7160,6630,530,0.07400000000000001
2109,Riverside County,2020-11-01,2020,November,1106600,1021500,85100,0.077
2110,Sacramento County,2020-11-01,2020,November,705200,653600,51600,0.073
2111,San Benito County,2020-11-01,2020,November,30700,28600,2100,0.069
2112,San Bernardino County,2020-11-01,2020,November,972600,896200,76400,0.079
2113,San Diego County,2020-11-01,2020,November,1524000,1419700,104300,0.068
2114,San Francisco County,2020-11-01,2020,November,541000,509000,32000,0.059000000000000004
2115,San Joaquin County,2020-11-01,2020,November,330700,302000,28700,0.087
2116,San Luis Obispo County,2020-11-01,2020,November,131200,124100,7100,0.054000000000000006
2117,San Mateo County,2020-11-01,2020,November,424000,401600,22400,0.053
2118,Santa Barbara County,2020-11-01,2020,November,215800,203500,12300,0.057
2119,Santa Clara County,2020-11-01,2020,November,1009900,957200,52700,0.052000000000000005
2120,Santa Cruz County,2020-11-01,2020,November,129300,120800,8600,0.066
2121,Shasta County,2020-11-01,2020,November,72400,67700,4700,0.065
2122,Sierra County,2020-11-01,2020,November,1290,1220,70,0.051
2123,Siskiyou County,2020-11-01,2020,November,16810,15670,1150,0.068
2124,Solano County,2020-11-01,2020,November,201200,186000,15200,0.075
2125,Sonoma County,2020-11-01,2020,November,239000,225300,13700,0.057
2126,Stanislaus County,2020-11-01,2020,November,237900,218700,19200,0.081
2127,Sutter County,2020-11-01,2020,November,43700,40200,3500,0.08
2128,Tehama County,2020-11-01,2020,November,25360,23700,1660,0.066
2129,Trinity County,2020-11-01,2020,November,4470,4210,250,0.057
2130,Tulare County,2020-11-01,2020,November,192100,173600,18500,0.096
2131,Tuolumne County,2020-11-01,2020,November,19620,18180,1440,0.07400000000000001
2132,Ventura County,2020-11-01,2020,November,403600,377900,25700,0.064
2133,Yolo County,2020-11-01,2020,November,104500,98400,6000,0.057999999999999996
2134,Yuba County,2020-11-01,2020,November,29400,27000,2400,0.083
3129,Alameda County,2020-10-01,2020,October,812800,744300,68500,0.084
3130,Alpine County,2020-10-01,2020,October,460,410,50,0.10300000000000001
3131,Amador County,2020-10-01,2020,October,14540,13380,1160,0.08
3132,Butte County,2020-10-01,2020,October,92200,84800,7300,0.08
3133,Calaveras County,2020-10-01,2020,October,21370,19950,1420,0.066
3134,Colusa County,2020-10-01,2020,October,10610,9630,970,0.092
3135,Contra Costa County,2020-10-01,2020,October,540500,494900,45600,0.084
3136,Del Norte County,2020-10-01,2020,October,9400,8620,780,0.083
3137,El Dorado County,2020-10-01,2020,October,91100,85000,6100,0.067
3138,Fresno County,2020-10-01,2020,October,444000,401000,43100,0.09699999999999999
3139,Glenn County,2020-10-01,2020,October,12640,11780,860,0.068
3140,Humboldt County,2020-10-01,2020,October,59600,55200,4300,0.073
3141,Imperial County,2020-10-01,2020,October,67100,53700,13400,0.2
3142,Inyo County,2020-10-01,2020,October,8290,7720,570,0.068
3143,Kern County,2020-10-01,2020,October,388700,347500,41200,0.106
3144,Kings County,2020-10-01,2020,October,55500,50100,5400,0.098
3145,Lake County,2020-10-01,2020,October,28590,26220,2370,0.083
3146,Lassen County,2020-10-01,2020,October,10040,9500,550,0.054000000000000006
3148,Los Angeles County,2020-10-01,2020,October,4945600,4354200,591400,0.12
3149,Madera County,2020-10-01,2020,October,61000,55600,5400,0.08900000000000001
3150,Marin County,2020-10-01,2020,October,131000,123200,7800,0.06
3151,Mariposa County,2020-10-01,2020,October,6990,6370,610,0.08800000000000001
3152,Mendocino County,2020-10-01,2020,October,37000,34110,2880,0.078
3153,Merced County,2020-10-01,2020,October,115800,104600,11200,0.09699999999999999
3154,Modoc County,2020-10-01,2020,October,3320,3120,200,0.059000000000000004
3155,Mono County,2020-10-01,2020,October,7420,6670,750,0.102
3156,Monterey County,2020-10-01,2020,October,213600,197700,15900,0.07400000000000001
3157,Napa County,2020-10-01,2020,October,68900,63800,5100,0.07400000000000001
3158,Nevada County,2020-10-01,2020,October,46610,43450,3160,0.068
3159,Orange County,2020-10-01,2020,October,1554900,1427400,127500,0.08199999999999999
3160,Placer County,2020-10-01,2020,October,186300,174600,11700,0.063
3161,Plumas County,2020-10-01,2020,October,7630,7050,570,0.075
3162,Riverside County,2020-10-01,2020,October,1121000,1016400,104600,0.09300000000000001
3163,Sacramento County,2020-10-01,2020,October,716900,653800,63100,0.08800000000000001
3164,San Benito County,2020-10-01,2020,October,31200,28700,2500,0.079
3165,San Bernardino County,2020-10-01,2020,October,984400,891500,92900,0.094
3166,San Diego County,2020-10-01,2020,October,1541800,1412100,129600,0.084
3167,San Francisco County,2020-10-01,2020,October,550300,508700,41600,0.076
3168,San Joaquin County,2020-10-01,2020,October,335500,301500,34100,0.102
3169,San Luis Obispo County,2020-10-01,2020,October,133300,124700,8600,0.064
3170,San Mateo County,2020-10-01,2020,October,429600,401400,28200,0.066
3171,Santa Barbara County,2020-10-01,2020,October,219300,204800,14500,0.066
3172,Santa Clara County,2020-10-01,2020,October,1019000,953500,65500,0.064
3173,Santa Cruz County,2020-10-01,2020,October,133100,123200,9900,0.07400000000000001
3174,Shasta County,2020-10-01,2020,October,74200,68700,5400,0.073
3175,Sierra County,2020-10-01,2020,October,1330,1260,80,0.055999999999999994
3176,Siskiyou County,2020-10-01,2020,October,17320,16060,1260,0.073
3177,Solano County,2020-10-01,2020,October,204600,186200,18400,0.09
3178,Sonoma County,2020-10-01,2020,October,244300,227500,16800,0.069
3179,Stanislaus County,2020-10-01,2020,October,242100,219400,22700,0.094
3180,Sutter County,2020-10-01,2020,October,45400,41500,3900,0.086
