county,administered_date,total_doses,california_flag
Orange,2/16/2021,19482,California
Outside California,2/16/2021,7005,Not in California
Placer,2/16/2021,3472,California
Plumas,2/16/2021,73,California
Riverside,2/16/2021,15827,California
Sacramento,2/16/2021,8546,California
San Benito,2/16/2021,200,California
San Bernardino,2/16/2021,12250,California
San Diego,2/16/2021,18038,California
San Francisco,2/16/2021,4857,California
San Joaquin,2/16/2021,2858,California
San Luis Obispo,2/16/2021,2934,California
San Mateo,2/16/2021,6980,California
Santa Barbara,2/16/2021,2082,California
Santa Clara,2/16/2021,13185,California
Santa Cruz,2/16/2021,1669,California
Shasta,2/16/2021,692,California
Sierra,2/16/2021,44,California
Siskiyou,2/16/2021,107,California
Solano,2/16/2021,2179,California
Sonoma,2/16/2021,4461,California
Stanislaus,2/16/2021,1290,California
Sutter,2/16/2021,274,California
Tehama,2/16/2021,239,California
Trinity,2/16/2021,6,California
Tulare,2/16/2021,2779,California
Tuolumne,2/16/2021,517,California
Unknown,2/16/2021,112,Not in California
Ventura,2/16/2021,5397,California
Yolo,2/16/2021,1098,California
Yuba,2/16/2021,186,California
Alameda,2/15/2021,5639,California
Amador,2/15/2021,181,California
Butte,2/15/2021,256,California
Calaveras,2/15/2021,369,California
Colusa,2/15/2021,46,California
Contra Costa,2/15/2021,4381,California
Del Norte,2/15/2021,4,California
El Dorado,2/15/2021,1122,California
Fresno,2/15/2021,2829,California
Glenn,2/15/2021,8,California
Humboldt,2/15/2021,285,California
Imperial,2/15/2021,36,California
Inyo,2/15/2021,29,California
Kern,2/15/2021,2712,California
Kings,2/15/2021,224,California
Lake,2/15/2021,164,California
Lassen,2/15/2021,21,California
Los Angeles,2/15/2021,31572,California
Madera,2/15/2021,225,California
Marin,2/15/2021,1200,California
Mariposa,2/15/2021,8,California
Mendocino,2/15/2021,202,California
Merced,2/15/2021,270,California
Mono,2/15/2021,171,California
Monterey,2/15/2021,1330,California
Napa,2/15/2021,838,California
Nevada,2/15/2021,706,California
Orange,2/15/2021,16964,California
Outside California,2/15/2021,2932,Not in California
Placer,2/15/2021,2108,California
Plumas,2/15/2021,26,California
Riverside,2/15/2021,9777,California
Sacramento,2/15/2021,5577,California
San Benito,2/15/2021,105,California
San Bernardino,2/15/2021,5437,California
San Diego,2/15/2021,14447,California
San Francisco,2/15/2021,2721,California
San Joaquin,2/15/2021,1898,California
San Luis Obispo,2/15/2021,704,California
San Mateo,2/15/2021,3124,California
Santa Barbara,2/15/2021,944,California
Santa Clara,2/15/2021,6177,California
Santa Cruz,2/15/2021,1571,California
Shasta,2/15/2021,382,California
Sierra,2/15/2021,1,California
Siskiyou,2/15/2021,103,California
Solano,2/15/2021,1186,California
Sonoma,2/15/2021,2044,California
Stanislaus,2/15/2021,1762,California
Sutter,2/15/2021,190,California
Tehama,2/15/2021,51,California
Trinity,2/15/2021,47,California
Tulare,2/15/2021,899,California
Tuolumne,2/15/2021,182,California
Unknown,2/15/2021,50,Not in California
Ventura,2/15/2021,3946,California
Yolo,2/15/2021,521,California
Yuba,2/15/2021,90,California
Alameda,2/14/2021,4007,California
Amador,2/14/2021,123,California
Butte,2/14/2021,158,California
Calaveras,2/14/2021,214,California
Colusa,2/14/2021,19,California
Contra Costa,2/14/2021,2052,California
Del Norte,2/14/2021,3,California
El Dorado,2/14/2021,467,California
Fresno,2/14/2021,1544,California
Glenn,2/14/2021,1,California
Humboldt,2/14/2021,112,California
Imperial,2/14/2021,26,California
Inyo,2/14/2021,1,California
Kern,2/14/2021,352,California
Kings,2/14/2021,99,California
Lake,2/14/2021,17,California
Lassen,2/14/2021,13,California
Los Angeles,2/14/2021,21725,California
Madera,2/14/2021,385,California
Marin,2/14/2021,805,California
Mariposa,2/14/2021,6,California
Mendocino,2/14/2021,694,California
Merced,2/14/2021,113,California
Monterey,2/14/2021,584,California
Napa,2/14/2021,321,California
Nevada,2/14/2021,223,California
Orange,2/14/2021,16079,California
Outside California,2/14/2021,1750,Not in California
Placer,2/14/2021,1061,California
Plumas,2/14/2021,7,California
Riverside,2/14/2021,4939,California
Sacramento,2/14/2021,2877,California
San Benito,2/14/2021,40,California
San Bernardino,2/14/2021,1532,California
San Diego,2/14/2021,10276,California
San Francisco,2/14/2021,3406,California
San Joaquin,2/14/2021,1853,California
San Luis Obispo,2/14/2021,305,California
San Mateo,2/14/2021,4608,California
Santa Barbara,2/14/2021,327,California
Santa Clara,2/14/2021,4613,California
Santa Cruz,2/14/2021,1381,California
Shasta,2/14/2021,147,California
Sierra,2/14/2021,1,California
Siskiyou,2/14/2021,5,California
Solano,2/14/2021,672,California
Sonoma,2/14/2021,2267,California
Stanislaus,2/14/2021,423,California
Sutter,2/14/2021,81,California
Tehama,2/14/2021,33,California
Trinity,2/14/2021,2,California
Tulare,2/14/2021,328,California
Tuolumne,2/14/2021,141,California
Unknown,2/14/2021,12,Not in California
Ventura,2/14/2021,1210,California
Yolo,2/14/2021,439,California
Yuba,2/14/2021,53,California
Alameda,2/13/2021,7670,California
Amador,2/13/2021,160,California
Butte,2/13/2021,246,California
Calaveras,2/13/2021,192,California
Colusa,2/13/2021,60,California
Contra Costa,2/13/2021,4757,California
Del Norte,2/13/2021,2,California
El Dorado,2/13/2021,949,California
Fresno,2/13/2021,3677,California
Glenn,2/13/2021,32,California
Humboldt,2/13/2021,1293,California
Imperial,2/13/2021,46,California
Inyo,2/13/2021,60,California
Kern,2/13/2021,1964,California
Kings,2/13/2021,99,California
Lake,2/13/2021,249,California
Lassen,2/13/2021,13,California
Los Angeles,2/13/2021,33423,California
Madera,2/13/2021,478,California
Marin,2/13/2021,2306,California
Mariposa,2/13/2021,5,California
Mendocino,2/13/2021,489,California
Merced,2/13/2021,357,California
Modoc,2/13/2021,1,California
Mono,2/13/2021,592,California
Monterey,2/13/2021,1047,California
Napa,2/13/2021,484,California
Nevada,2/13/2021,573,California
Orange,2/13/2021,21535,California
Outside California,2/13/2021,2615,Not in California
Placer,2/13/2021,2474,California
Plumas,2/13/2021,72,California
Riverside,2/13/2021,6292,California
Sacramento,2/13/2021,6871,California
San Benito,2/13/2021,60,California
San Bernardino,2/13/2021,5968,California
San Diego,2/13/2021,19186,California
San Francisco,2/13/2021,3911,California
San Joaquin,2/13/2021,2078,California
San Luis Obispo,2/13/2021,372,California
San Mateo,2/13/2021,5937,California
Santa Barbara,2/13/2021,1220,California
Santa Clara,2/13/2021,6018,California
Santa Cruz,2/13/2021,1695,California
Shasta,2/13/2021,1379,California
Siskiyou,2/13/2021,36,California
Solano,2/13/2021,2740,California
Sonoma,2/13/2021,1948,California
Stanislaus,2/13/2021,1335,California
Sutter,2/13/2021,898,California
Tehama,2/13/2021,390,California
Trinity,2/13/2021,11,California
Tulare,2/13/2021,2432,California
Tuolumne,2/13/2021,144,California
Unknown,2/13/2021,12,Not in California
Ventura,2/13/2021,3251,California
Yolo,2/13/2021,2013,California
Yuba,2/13/2021,438,California
Alameda,2/12/2021,12212,California
Alpine,2/12/2021,2,California
Amador,2/12/2021,322,California
Butte,2/12/2021,858,California
Calaveras,2/12/2021,558,California
Colusa,2/12/2021,118,California
Contra Costa,2/12/2021,9511,California
Del Norte,2/12/2021,115,California
El Dorado,2/12/2021,1454,California
Fresno,2/12/2021,4913,California
Glenn,2/12/2021,421,California
Humboldt,2/12/2021,1120,California
Imperial,2/12/2021,2116,California
Inyo,2/12/2021,301,California
Kern,2/12/2021,4904,California
Kings,2/12/2021,589,California
Lake,2/12/2021,340,California
Lassen,2/12/2021,45,California
Los Angeles,2/12/2021,58804,California
Madera,2/12/2021,822,California
Marin,2/12/2021,2975,California
Mariposa,2/12/2021,171,California
Mendocino,2/12/2021,978,California
Merced,2/12/2021,1715,California
Modoc,2/12/2021,5,California
Mono,2/12/2021,82,California
Monterey,2/12/2021,2542,California
Napa,2/12/2021,2144,California
Nevada,2/12/2021,916,California
Orange,2/12/2021,24473,California
Outside California,2/12/2021,5386,Not in California
Placer,2/12/2021,2706,California
Plumas,2/12/2021,121,California
Riverside,2/12/2021,17231,California
Sacramento,2/12/2021,10150,California
San Benito,2/12/2021,401,California
San Bernardino,2/12/2021,10214,California
San Diego,2/12/2021,23007,California
San Francisco,2/12/2021,5003,California
San Joaquin,2/12/2021,2594,California
San Luis Obispo,2/12/2021,764,California
San Mateo,2/12/2021,6454,California
Santa Barbara,2/12/2021,3262,California
Santa Clara,2/12/2021,13971,California
Santa Cruz,2/12/2021,3163,California
Shasta,2/12/2021,1633,California
Sierra,2/12/2021,20,California
Siskiyou,2/12/2021,1681,California
Solano,2/12/2021,3897,California
Sonoma,2/12/2021,5493,California
Stanislaus,2/12/2021,3236,California
Sutter,2/12/2021,615,California
Tehama,2/12/2021,350,California
Trinity,2/12/2021,9,California
Tulare,2/12/2021,2756,California
Tuolumne,2/12/2021,638,California
Unknown,2/12/2021,51,Not in California
Ventura,2/12/2021,6225,California
Yolo,2/12/2021,1877,California
Yuba,2/12/2021,260,California
Alameda,2/11/2021,12688,California
Alpine,2/11/2021,8,California
Amador,2/11/2021,302,California
Butte,2/11/2021,2189,California
Calaveras,2/11/2021,573,California
Colusa,2/11/2021,98,California
Contra Costa,2/11/2021,8313,California
Del Norte,2/11/2021,174,California
El Dorado,2/11/2021,2001,California
Fresno,2/11/2021,6207,California
Glenn,2/11/2021,233,California
Humboldt,2/11/2021,1268,California
Imperial,2/11/2021,463,California
Inyo,2/11/2021,214,California
Kern,2/11/2021,4240,California
Kings,2/11/2021,412,California
La Paz,2/11/2021,1,California
Lake,2/11/2021,136,California
Lassen,2/11/2021,174,California
Los Angeles,2/11/2021,56424,California
Madera,2/11/2021,916,California
Marin,2/11/2021,2604,California
Mariposa,2/11/2021,364,California
Mendocino,2/11/2021,1059,California
Merced,2/11/2021,2478,California
Modoc,2/11/2021,201,California
Mono,2/11/2021,7,California
Monterey,2/11/2021,2437,California
Napa,2/11/2021,1477,California
Nevada,2/11/2021,854,California
Orange,2/11/2021,21641,California
Outside California,2/11/2021,5611,Not in California
Placer,2/11/2021,3494,California
Plumas,2/11/2021,320,California
Riverside,2/11/2021,16260,California
Sacramento,2/11/2021,7846,California
San Benito,2/11/2021,281,California
San Bernardino,2/11/2021,11722,California
San Diego,2/11/2021,22505,California
San Francisco,2/11/2021,6205,California
San Joaquin,2/11/2021,2713,California
San Luis Obispo,2/11/2021,1323,California
San Mateo,2/11/2021,6732,California
Santa Barbara,2/11/2021,4164,California
Santa Clara,2/11/2021,12168,California
Santa Cruz,2/11/2021,1807,California
Shasta,2/11/2021,776,California
Sierra,2/11/2021,198,California
Siskiyou,2/11/2021,184,California
Solano,2/11/2021,2255,California
Sonoma,2/11/2021,5242,California
Stanislaus,2/11/2021,5269,California
Sutter,2/11/2021,592,California
Tehama,2/11/2021,219,California
Trinity,2/11/2021,260,California
Tulare,2/11/2021,1277,California
Tuolumne,2/11/2021,138,California
Unknown,2/11/2021,100,Not in California
Ventura,2/11/2021,4590,California
Yavapai,2/11/2021,1,California
Yolo,2/11/2021,1453,California
Yuba,2/11/2021,399,California
Alameda,2/10/2021,11366,California
Alpine,2/10/2021,32,California
Amador,2/10/2021,708,California
Bennington,2/10/2021,1,California
Butte,2/10/2021,1695,California
Calaveras,2/10/2021,500,California
Colusa,2/10/2021,115,California
Contra Costa,2/10/2021,8503,California
Del Norte,2/10/2021,138,California
El Dorado,2/10/2021,1167,California
Fresno,2/10/2021,3647,California
Glenn,2/10/2021,137,California
Humboldt,2/10/2021,484,California
Imperial,2/10/2021,397,California
Inyo,2/10/2021,147,California
Kern,2/10/2021,3713,California
Kings,2/10/2021,284,California
Lake,2/10/2021,329,California
Lassen,2/10/2021,184,California
Los Angeles,2/10/2021,66098,California
Madera,2/10/2021,419,California
Marin,2/10/2021,2316,California
Mariposa,2/10/2021,17,California
Mendocino,2/10/2021,1467,California
Merced,2/10/2021,1844,California
Modoc,2/10/2021,5,California
Mono,2/10/2021,441,California
Monterey,2/10/2021,2004,California
Napa,2/10/2021,1651,California
Nevada,2/10/2021,635,California
Orange,2/10/2021,20649,California
Outside California,2/10/2021,6417,Not in California
Placer,2/10/2021,3699,California
Plumas,2/10/2021,87,California
Riverside,2/10/2021,11688,California
Sacramento,2/10/2021,7438,California
San Benito,2/10/2021,320,California
San Bernardino,2/10/2021,11872,California
San Diego,2/10/2021,21817,California
San Francisco,2/10/2021,6765,California
San Joaquin,2/10/2021,2434,California
San Luis Obispo,2/10/2021,1420,California
San Mateo,2/10/2021,6475,California
Santa Barbara,2/10/2021,2749,California
Santa Clara,2/10/2021,12536,California
Santa Cruz,2/10/2021,2179,California
Shasta,2/10/2021,630,California
Sierra,2/10/2021,5,California
Siskiyou,2/10/2021,367,California
Solano,2/10/2021,2202,California
Sonoma,2/10/2021,4358,California
Stanislaus,2/10/2021,1911,California
Sutter,2/10/2021,649,California
Tehama,2/10/2021,229,California
Trinity,2/10/2021,113,California
Tulare,2/10/2021,2441,California
Tuolumne,2/10/2021,89,California
Unknown,2/10/2021,38,Not in California
Ventura,2/10/2021,4582,California
Yolo,2/10/2021,1405,California
Yuba,2/10/2021,292,California
Alameda,2/9/2021,9585,California
Amador,2/9/2021,168,California
Butte,2/9/2021,949,California
Calaveras,2/9/2021,200,California
Colusa,2/9/2021,232,California
Contra Costa,2/9/2021,8381,California
Del Norte,2/9/2021,7,California
El Dorado,2/9/2021,875,California
Fresno,2/9/2021,5318,California
Glenn,2/9/2021,48,California
Humboldt,2/9/2021,376,California
Imperial,2/9/2021,471,California
Inyo,2/9/2021,193,California
Kern,2/9/2021,3008,California
Kings,2/9/2021,250,California
Lake,2/9/2021,323,California
Lassen,2/9/2021,127,California
Los Angeles,2/9/2021,54510,California
Madera,2/9/2021,472,California
Marin,2/9/2021,1759,California
Mariposa,2/9/2021,9,California
Mendocino,2/9/2021,101,California
Merced,2/9/2021,1179,California
Modoc,2/9/2021,197,California
Mono,2/9/2021,227,California
Monterey,2/9/2021,859,California
Napa,2/9/2021,1069,California
Nevada,2/9/2021,602,California
Orange,2/9/2021,17342,California
Outside California,2/9/2021,5336,Not in California
Placer,2/9/2021,3494,California
Plumas,2/9/2021,170,California
Riverside,2/9/2021,9568,California
Sacramento,2/9/2021,6627,California
San Benito,2/9/2021,323,California
San Bernardino,2/9/2021,9766,California
San Diego,2/9/2021,19177,California
San Francisco,2/9/2021,5866,California
San Joaquin,2/9/2021,1987,California
San Luis Obispo,2/9/2021,1120,California
San Mateo,2/9/2021,6112,California
Santa Barbara,2/9/2021,2423,California
Santa Clara,2/9/2021,10439,California
Santa Cruz,2/9/2021,2360,California
Shasta,2/9/2021,727,California
Sierra,2/9/2021,54,California
Siskiyou,2/9/2021,188,California
Snohomish,2/9/2021,1,California
Solano,2/9/2021,1849,California
Sonoma,2/9/2021,3506,California
Stanislaus,2/9/2021,1815,California
Sutter,2/9/2021,235,California
Tehama,2/9/2021,74,California
Trinity,2/9/2021,19,California
Tulare,2/9/2021,1398,California
Tuolumne,2/9/2021,863,California
Unknown,2/9/2021,23,Not in California
Ventura,2/9/2021,4690,California
Yolo,2/9/2021,844,California
Yuba,2/9/2021,144,California
Alameda,2/8/2021,7919,California
Alpine,2/8/2021,32,California
Amador,2/8/2021,90,California
Butte,2/8/2021,687,California
Calaveras,2/8/2021,33,California
Colusa,2/8/2021,40,California
Contra Costa,2/8/2021,5704,California
Del Norte,2/8/2021,36,California
El Dorado,2/8/2021,847,California
Fresno,2/8/2021,4233,California
Glenn,2/8/2021,21,California
Humboldt,2/8/2021,275,California
Imperial,2/8/2021,252,California
Inyo,2/8/2021,116,California
Kern,2/8/2021,2552,California
Kings,2/8/2021,167,California
Lake,2/8/2021,251,California
Lassen,2/8/2021,45,California
Los Angeles,2/8/2021,46083,California
Madera,2/8/2021,374,California
Marin,2/8/2021,1498,California
Mariposa,2/8/2021,39,California
Mendocino,2/8/2021,739,California
Merced,2/8/2021,278,California
Modoc,2/8/2021,9,California
Mono,2/8/2021,172,California
Monterey,2/8/2021,497,California
Napa,2/8/2021,828,California
Nevada,2/8/2021,642,California
Orange,2/8/2021,14555,California
Outside California,2/8/2021,6108,Not in California
Placer,2/8/2021,3257,California
Plumas,2/8/2021,16,California
Riverside,2/8/2021,12240,California
Sacramento,2/8/2021,6025,California
San Benito,2/8/2021,130,California
San Bernardino,2/8/2021,6993,California
San Diego,2/8/2021,19071,California
San Francisco,2/8/2021,6579,California
San Joaquin,2/8/2021,1678,California
San Luis Obispo,2/8/2021,848,California
San Mateo,2/8/2021,5211,California
Santa Barbara,2/8/2021,948,California
Santa Clara,2/8/2021,9444,California
Santa Cruz,2/8/2021,704,California
Shasta,2/8/2021,526,California
Siskiyou,2/8/2021,220,California
Solano,2/8/2021,1650,California
Sonoma,2/8/2021,3159,California
Stanislaus,2/8/2021,1991,California
Sutter,2/8/2021,131,California
Tehama,2/8/2021,34,California
Trinity,2/8/2021,23,California
Tulare,2/8/2021,945,California
Tuolumne,2/8/2021,90,California
Unknown,2/8/2021,62,Not in California
Ventura,2/8/2021,3461,California
Yolo,2/8/2021,948,California
Yuba,2/8/2021,95,California
Alameda,2/7/2021,3548,California
Alpine,2/7/2021,1,California
Amador,2/7/2021,37,California
Butte,2/7/2021,38,California
Calaveras,2/7/2021,4,California
Colusa,2/7/2021,2,California
Contra Costa,2/7/2021,974,California
Del Norte,2/7/2021,4,California
El Dorado,2/7/2021,241,California
Fresno,2/7/2021,452,California
Glenn,2/7/2021,1,California
Humboldt,2/7/2021,378,California
Imperial,2/7/2021,36,California
Inyo,2/7/2021,3,California
Kern,2/7/2021,279,California
Kings,2/7/2021,5,California
Lake,2/7/2021,2,California
Lassen,2/7/2021,1,California
Los Angeles,2/7/2021,10715,California
Madera,2/7/2021,36,California
Marin,2/7/2021,1287,California
Mendocino,2/7/2021,29,California
Merced,2/7/2021,19,California
Mono,2/7/2021,2,California
Monterey,2/7/2021,311,California
Napa,2/7/2021,178,California
Nevada,2/7/2021,243,California
Orange,2/7/2021,11511,California
Outside California,2/7/2021,2971,Not in California
Placer,2/7/2021,1205,California
Riverside,2/7/2021,2214,California
Sacramento,2/7/2021,3860,California
San Benito,2/7/2021,14,California
San Bernardino,2/7/2021,840,California
San Diego,2/7/2021,10989,California
San Francisco,2/7/2021,4285,California
San Joaquin,2/7/2021,601,California
San Luis Obispo,2/7/2021,143,California
San Mateo,2/7/2021,1888,California
Santa Barbara,2/7/2021,299,California
Santa Clara,2/7/2021,3460,California
Santa Cruz,2/7/2021,905,California
Shasta,2/7/2021,26,California
Siskiyou,2/7/2021,3,California
Solano,2/7/2021,846,California
Sonoma,2/7/2021,1508,California
Stanislaus,2/7/2021,208,California
Sutter,2/7/2021,22,California
Tehama,2/7/2021,5,California
Tulare,2/7/2021,76,California
Tuolumne,2/7/2021,7,California
Unknown,2/7/2021,13,Not in California
Ventura,2/7/2021,711,California
Yolo,2/7/2021,512,California
Yuba,2/7/2021,18,California
Alameda,2/6/2021,6842,California
Alpine,2/6/2021,1,California
Amador,2/6/2021,100,California
Butte,2/6/2021,142,California
Calaveras,2/6/2021,20,California
Colusa,2/6/2021,287,California
Contra Costa,2/6/2021,3427,California
Del Norte,2/6/2021,265,California
El Dorado,2/6/2021,638,California
Fresno,2/6/2021,2910,California
Glenn,2/6/2021,14,California
Humboldt,2/6/2021,901,California
Imperial,2/6/2021,875,California
Inyo,2/6/2021,3,California
Kern,2/6/2021,1722,California
Kings,2/6/2021,58,California
Lake,2/6/2021,281,California
Lassen,2/6/2021,70,California
Los Angeles,2/6/2021,35093,California
Madera,2/6/2021,358,California
Marin,2/6/2021,1419,California
Mariposa,2/6/2021,1,California
Mendocino,2/6/2021,556,California
Merced,2/6/2021,390,California
Mono,2/6/2021,140,California
Monterey,2/6/2021,1088,California
Napa,2/6/2021,427,California
Nevada,2/6/2021,273,California
Orange,2/6/2021,16257,California
Outside California,2/6/2021,4807,Not in California
Placer,2/6/2021,1892,California
Plumas,2/6/2021,8,California
Riverside,2/6/2021,7287,California
Sacramento,2/6/2021,8324,California
San Benito,2/6/2021,50,California
San Bernardino,2/6/2021,5223,California
San Diego,2/6/2021,19853,California
San Francisco,2/6/2021,5421,California
San Joaquin,2/6/2021,1109,California
San Luis Obispo,2/6/2021,159,California
San Mateo,2/6/2021,3268,California
Santa Barbara,2/6/2021,1190,California
Santa Clara,2/6/2021,5082,California
Santa Cruz,2/6/2021,2575,California
Shasta,2/6/2021,1721,California
Siskiyou,2/6/2021,15,California
Solano,2/6/2021,2920,California
Sonoma,2/6/2021,2617,California
Stanislaus,2/6/2021,869,California
Sutter,2/6/2021,730,California
Tehama,2/6/2021,29,California
Trinity,2/6/2021,208,California
Tulare,2/6/2021,834,California
Tuolumne,2/6/2021,847,California
Unknown,2/6/2021,18,Not in California
Ventura,2/6/2021,2815,California
Yolo,2/6/2021,1922,California
Yuba,2/6/2021,446,California
Alameda,2/5/2021,10240,California
Alpine,2/5/2021,30,California
Amador,2/5/2021,315,California
Butte,2/5/2021,1164,California
Calaveras,2/5/2021,61,California
Colusa,2/5/2021,33,California
Contra Costa,2/5/2021,8372,California
Del Norte,2/5/2021,133,California
El Dorado,2/5/2021,1428,California
Fresno,2/5/2021,5098,California
Glenn,2/5/2021,320,California
Humboldt,2/5/2021,809,California
Imperial,2/5/2021,397,California
Inyo,2/5/2021,118,California
Kern,2/5/2021,4817,California
Kings,2/5/2021,251,California
Lake,2/5/2021,352,California
Lassen,2/5/2021,64,California
Los Angeles,2/5/2021,60141,California
Madera,2/5/2021,965,California
Marin,2/5/2021,2151,California
Mariposa,2/5/2021,177,California
Mendocino,2/5/2021,1306,California
Merced,2/5/2021,529,California
Modoc,2/5/2021,4,California
Mono,2/5/2021,623,California
Monterey,2/5/2021,3630,California
Napa,2/5/2021,704,California
Nevada,2/5/2021,635,California
Orange,2/5/2021,20551,California
Outside California,2/5/2021,7134,Not in California
Placer,2/5/2021,2690,California
Plumas,2/5/2021,24,California
Riverside,2/5/2021,14275,California
Sacramento,2/5/2021,7452,California
San Benito,2/5/2021,290,California
San Bernardino,2/5/2021,10877,California
San Diego,2/5/2021,24394,California
San Francisco,2/5/2021,5896,California
San Joaquin,2/5/2021,3162,California
San Luis Obispo,2/5/2021,1592,California
San Mateo,2/5/2021,6747,California
Santa Barbara,2/5/2021,2900,California
Santa Clara,2/5/2021,11759,California
Santa Cruz,2/5/2021,3154,California
Shasta,2/5/2021,1203,California
Sierra,2/5/2021,5,California
Siskiyou,2/5/2021,504,California
Solano,2/5/2021,3018,California
Sonoma,2/5/2021,4773,California
Stanislaus,2/5/2021,2800,California
Sutter,2/5/2021,278,California
Tehama,2/5/2021,158,California
Trinity,2/5/2021,348,California
Tulare,2/5/2021,1225,California
Tuolumne,2/5/2021,97,California
Unknown,2/5/2021,15,Not in California
Ventura,2/5/2021,4795,California
Yolo,2/5/2021,1187,California
Yuba,2/5/2021,144,California
Alameda,2/4/2021,9398,California
Alpine,2/4/2021,8,California
Amador,2/4/2021,245,California
Butte,2/4/2021,2947,California
Calaveras,2/4/2021,349,California
Colusa,2/4/2021,142,California
Contra Costa,2/4/2021,7391,California
Del Norte,2/4/2021,70,California
El Dorado,2/4/2021,1230,California
Fresno,2/4/2021,4181,California
Glenn,2/4/2021,146,California
Hamilton,2/4/2021,1,Not in California
Humboldt,2/4/2021,631,California
Imperial,2/4/2021,1755,California
Inyo,2/4/2021,148,California
Kern,2/4/2021,3775,California
Kings,2/4/2021,390,California
Lake,2/4/2021,80,California
Lassen,2/4/2021,111,California
Los Angeles,2/4/2021,56570,California
Madera,2/4/2021,386,California
Marin,2/4/2021,1517,California
Mariposa,2/4/2021,86,California
Mendocino,2/4/2021,581,California
Merced,2/4/2021,372,California
Modoc,2/4/2021,154,California
Mono,2/4/2021,213,California
Monterey,2/4/2021,2691,California
Napa,2/4/2021,783,California
Nevada,2/4/2021,749,California
Orange,2/4/2021,19600,California
Outside California,2/4/2021,7889,Not in California
Placer,2/4/2021,2733,California
Plumas,2/4/2021,102,California
Riverside,2/4/2021,13567,California
Sacramento,2/4/2021,7533,California
San Benito,2/4/2021,160,California
San Bernardino,2/4/2021,10517,California
San Diego,2/4/2021,22938,California
San Francisco,2/4/2021,5003,California
San Joaquin,2/4/2021,3405,California
San Luis Obispo,2/4/2021,1652,California
San Mateo,2/4/2021,6250,California
Santa Barbara,2/4/2021,2776,California
Santa Clara,2/4/2021,10436,California
Santa Cruz,2/4/2021,1799,California
Shasta,2/4/2021,604,California
Sierra,2/4/2021,106,California
Siskiyou,2/4/2021,315,California
Solano,2/4/2021,1729,California
Sonoma,2/4/2021,4102,California
Stanislaus,2/4/2021,2059,California
Sutter,2/4/2021,666,California
Tehama,2/4/2021,439,California
Trinity,2/4/2021,33,California
Tulare,2/4/2021,551,California
Tuolumne,2/4/2021,129,California
Unknown,2/4/2021,75,Not in California
Ventura,2/4/2021,4726,California
Yolo,2/4/2021,1783,California
Yuba,2/4/2021,295,California
Alameda,2/3/2021,7019,California
Alpine,2/3/2021,33,California
Amador,2/3/2021,140,California
Butte,2/3/2021,2728,California
Calaveras,2/3/2021,417,California
Colusa,2/3/2021,70,California
Contra Costa,2/3/2021,8214,California
Del Norte,2/3/2021,126,California
El Dorado,2/3/2021,860,California
Fresno,2/3/2021,3471,California
Glenn,2/3/2021,206,California
Humboldt,2/3/2021,626,California
Imperial,2/3/2021,482,California
Inyo,2/3/2021,117,California
Kern,2/3/2021,3648,California
Kings,2/3/2021,349,California
Lake,2/3/2021,354,California
Lassen,2/3/2021,99,California
Los Angeles,2/3/2021,51517,California
Madera,2/3/2021,582,California
Marin,2/3/2021,1572,California
Mariposa,2/3/2021,15,California
Mendocino,2/3/2021,384,California
Merced,2/3/2021,357,California
Modoc,2/3/2021,18,California
Mono,2/3/2021,4,California
Monterey,2/3/2021,2326,California
Napa,2/3/2021,726,California
Nevada,2/3/2021,806,California
Orange,2/3/2021,16666,California
Outside California,2/3/2021,8719,Not in California
Placer,2/3/2021,2883,California
Plumas,2/3/2021,127,California
Riverside,2/3/2021,12041,California
Sacramento,2/3/2021,6878,California
San Benito,2/3/2021,328,California
San Bernardino,2/3/2021,8903,California
San Diego,2/3/2021,25669,California
San Francisco,2/3/2021,5035,California
San Joaquin,2/3/2021,3000,California
San Luis Obispo,2/3/2021,1699,California
San Mateo,2/3/2021,4849,California
Santa Barbara,2/3/2021,1946,California
Santa Clara,2/3/2021,9091,California
Santa Cruz,2/3/2021,2184,California
Shasta,2/3/2021,649,California
Sierra,2/3/2021,6,California
Siskiyou,2/3/2021,311,California
Solano,2/3/2021,2183,California
Sonoma,2/3/2021,3900,California
Stanislaus,2/3/2021,2453,California
Sutter,2/3/2021,443,California
Tehama,2/3/2021,353,California
Trinity,2/3/2021,6,California
Tulare,2/3/2021,602,California
Tuolumne,2/3/2021,236,California
Unknown,2/3/2021,55,Not in California
Ventura,2/3/2021,4446,California
Yolo,2/3/2021,1513,California
Yuba,2/3/2021,225,California
Alameda,2/2/2021,7358,California
Amador,2/2/2021,214,California
Butte,2/2/2021,1928,California
Calaveras,2/2/2021,110,California
Colusa,2/2/2021,42,California
Contra Costa,2/2/2021,7702,California
Del Norte,2/2/2021,142,California
El Dorado,2/2/2021,807,California
Fresno,2/2/2021,2684,California
Glenn,2/2/2021,27,California
Humboldt,2/2/2021,399,California
Imperial,2/2/2021,683,California
Inyo,2/2/2021,129,California
Kern,2/2/2021,2881,California
Kings,2/2/2021,206,California
Lake,2/2/2021,525,California
Lassen,2/2/2021,175,California
Los Angeles,2/2/2021,43594,California
Madera,2/2/2021,245,California
Marin,2/2/2021,1310,California
Mariposa,2/2/2021,8,California
Mendocino,2/2/2021,680,California
Merced,2/2/2021,301,California
Modoc,2/2/2021,170,California
Mono,2/2/2021,5,California
