,county,date,population
6278,Tuolumne,2020-12-04,52351
6280,Ventura,2020-12-04,852747
6281,Yolo,2020-12-04,223612
6282,Yuba,2020-12-04,79290
6283,Alameda,2020-12-03,1685886
6284,Alpine,2020-12-03,1117
6285,Amador,2020-12-03,38531
6286,Butte,2020-12-03,217769
6287,Calaveras,2020-12-03,44289
6288,California,2020-12-03,40129160
6289,Colusa,2020-12-03,22593
6290,Contra Costa,2020-12-03,1160099
6291,Del Norte,2020-12-03,27558
6292,El Dorado,2020-12-03,193098
6293,Fresno,2020-12-03,1032227
6294,Glenn,2020-12-03,29348
6295,Humboldt,2020-12-03,134098
6296,Imperial,2020-12-03,191649
6297,Inyo,2020-12-03,18453
6298,Kern,2020-12-03,927251
6299,Kings,2020-12-03,156444
6300,Lake,2020-12-03,64871
6301,Lassen,2020-12-03,30065
6302,Los Angeles,2020-12-03,10257557
6303,Madera,2020-12-03,160089
6304,Marin,2020-12-03,260800
6305,Mariposa,2020-12-03,17795
6306,Mendocino,2020-12-03,88439
6307,Merced,2020-12-03,287420
6308,Modoc,2020-12-03,9475
6309,Mono,2020-12-03,13961
6310,Monterey,2020-12-03,448732
6311,Napa,2020-12-03,139652
6312,Nevada,2020-12-03,98710
6313,Orange,2020-12-03,3228519
6315,Placer,2020-12-03,400434
6316,Plumas,2020-12-03,18997
6317,Riverside,2020-12-03,2468145
6318,Sacramento,2020-12-03,1567975
6319,San Benito,2020-12-03,64022
6320,San Bernardino,2020-12-03,2217398
6321,San Diego,2020-12-03,3370418
6322,San Francisco,2020-12-03,892280
6323,San Joaquin,2020-12-03,782545
6324,San Luis Obispo,2020-12-03,278862
6325,San Mateo,2020-12-03,778001
6326,Santa Barbara,2020-12-03,456373
6327,Santa Clara,2020-12-03,1967585
6328,Santa Cruz,2020-12-03,273999
6329,Shasta,2020-12-03,177925
6330,Sierra,2020-12-03,3115
6331,Siskiyou,2020-12-03,43956
6332,Solano,2020-12-03,444255
6333,Sonoma,2020-12-03,496668
6334,Stanislaus,2020-12-03,562303
6335,Sutter,2020-12-03,105747
6336,Tehama,2020-12-03,65885
6337,Trinity,2020-12-03,13354
6338,Tulare,2020-12-03,484423
6339,Tuolumne,2020-12-03,52351
6341,Ventura,2020-12-03,852747
6342,Yolo,2020-12-03,223612
6343,Yuba,2020-12-03,79290
6344,Alameda,2020-12-02,1685886
6345,Alpine,2020-12-02,1117
6346,Amador,2020-12-02,38531
6347,Butte,2020-12-02,217769
6348,Calaveras,2020-12-02,44289
6349,California,2020-12-02,40129160
6350,Colusa,2020-12-02,22593
6351,Contra Costa,2020-12-02,1160099
6352,Del Norte,2020-12-02,27558
6353,El Dorado,2020-12-02,193098
6354,Fresno,2020-12-02,1032227
6355,Glenn,2020-12-02,29348
6356,Humboldt,2020-12-02,134098
6357,Imperial,2020-12-02,191649
6358,Inyo,2020-12-02,18453
6359,Kern,2020-12-02,927251
6360,Kings,2020-12-02,156444
6361,Lake,2020-12-02,64871
6362,Lassen,2020-12-02,30065
6363,Los Angeles,2020-12-02,10257557
6364,Madera,2020-12-02,160089
6365,Marin,2020-12-02,260800
6366,Mariposa,2020-12-02,17795
6367,Mendocino,2020-12-02,88439
6368,Merced,2020-12-02,287420
6369,Modoc,2020-12-02,9475
6370,Mono,2020-12-02,13961
6371,Monterey,2020-12-02,448732
6372,Napa,2020-12-02,139652
6373,Nevada,2020-12-02,98710
6374,Orange,2020-12-02,3228519
6376,Placer,2020-12-02,400434
6377,Plumas,2020-12-02,18997
6378,Riverside,2020-12-02,2468145
6379,Sacramento,2020-12-02,1567975
6380,San Benito,2020-12-02,64022
6381,San Bernardino,2020-12-02,2217398
6382,San Diego,2020-12-02,3370418
6383,San Francisco,2020-12-02,892280
6384,San Joaquin,2020-12-02,782545
6385,San Luis Obispo,2020-12-02,278862
6386,San Mateo,2020-12-02,778001
6387,Santa Barbara,2020-12-02,456373
6388,Santa Clara,2020-12-02,1967585
6389,Santa Cruz,2020-12-02,273999
6390,Shasta,2020-12-02,177925
6391,Sierra,2020-12-02,3115
6392,Siskiyou,2020-12-02,43956
6393,Solano,2020-12-02,444255
6394,Sonoma,2020-12-02,496668
6395,Stanislaus,2020-12-02,562303
6396,Sutter,2020-12-02,105747
6397,Tehama,2020-12-02,65885
6398,Trinity,2020-12-02,13354
6399,Tulare,2020-12-02,484423
6400,Tuolumne,2020-12-02,52351
6402,Ventura,2020-12-02,852747
6403,Yolo,2020-12-02,223612
6404,Yuba,2020-12-02,79290
6405,Alameda,2020-12-01,1685886
6406,Alpine,2020-12-01,1117
6407,Amador,2020-12-01,38531
6408,Butte,2020-12-01,217769
6409,Calaveras,2020-12-01,44289
6410,California,2020-12-01,40129160
6411,Colusa,2020-12-01,22593
6412,Contra Costa,2020-12-01,1160099
6413,Del Norte,2020-12-01,27558
6414,El Dorado,2020-12-01,193098
6415,Fresno,2020-12-01,1032227
6416,Glenn,2020-12-01,29348
6417,Humboldt,2020-12-01,134098
6418,Imperial,2020-12-01,191649
6419,Inyo,2020-12-01,18453
6420,Kern,2020-12-01,927251
6421,Kings,2020-12-01,156444
6422,Lake,2020-12-01,64871
6423,Lassen,2020-12-01,30065
6424,Los Angeles,2020-12-01,10257557
6425,Madera,2020-12-01,160089
6426,Marin,2020-12-01,260800
6427,Mariposa,2020-12-01,17795
6428,Mendocino,2020-12-01,88439
6429,Merced,2020-12-01,287420
6430,Modoc,2020-12-01,9475
6431,Mono,2020-12-01,13961
6432,Monterey,2020-12-01,448732
6433,Napa,2020-12-01,139652
6434,Nevada,2020-12-01,98710
6435,Orange,2020-12-01,3228519
6437,Placer,2020-12-01,400434
6438,Plumas,2020-12-01,18997
6439,Riverside,2020-12-01,2468145
6440,Sacramento,2020-12-01,1567975
6441,San Benito,2020-12-01,64022
6442,San Bernardino,2020-12-01,2217398
6443,San Diego,2020-12-01,3370418
6444,San Francisco,2020-12-01,892280
6445,San Joaquin,2020-12-01,782545
6446,San Luis Obispo,2020-12-01,278862
6447,San Mateo,2020-12-01,778001
6448,Santa Barbara,2020-12-01,456373
6449,Santa Clara,2020-12-01,1967585
6450,Santa Cruz,2020-12-01,273999
6451,Shasta,2020-12-01,177925
6452,Sierra,2020-12-01,3115
6453,Siskiyou,2020-12-01,43956
6454,Solano,2020-12-01,444255
6455,Sonoma,2020-12-01,496668
6456,Stanislaus,2020-12-01,562303
6457,Sutter,2020-12-01,105747
6458,Tehama,2020-12-01,65885
6459,Trinity,2020-12-01,13354
6460,Tulare,2020-12-01,484423
6461,Tuolumne,2020-12-01,52351
6463,Ventura,2020-12-01,852747
6464,Yolo,2020-12-01,223612
6465,Yuba,2020-12-01,79290
6466,Alameda,2020-11-30,1685886
6467,Alpine,2020-11-30,1117
6468,Amador,2020-11-30,38531
6469,Butte,2020-11-30,217769
6470,Calaveras,2020-11-30,44289
6471,California,2020-11-30,40129160
6472,Colusa,2020-11-30,22593
6473,Contra Costa,2020-11-30,1160099
6474,Del Norte,2020-11-30,27558
6475,El Dorado,2020-11-30,193098
6476,Fresno,2020-11-30,1032227
6477,Glenn,2020-11-30,29348
6478,Humboldt,2020-11-30,134098
6479,Imperial,2020-11-30,191649
6480,Inyo,2020-11-30,18453
6481,Kern,2020-11-30,927251
6482,Kings,2020-11-30,156444
6483,Lake,2020-11-30,64871
6484,Lassen,2020-11-30,30065
6485,Los Angeles,2020-11-30,10257557
6486,Madera,2020-11-30,160089
6487,Marin,2020-11-30,260800
6488,Mariposa,2020-11-30,17795
6489,Mendocino,2020-11-30,88439
6490,Merced,2020-11-30,287420
6491,Modoc,2020-11-30,9475
6492,Mono,2020-11-30,13961
6493,Monterey,2020-11-30,448732
6494,Napa,2020-11-30,139652
6495,Nevada,2020-11-30,98710
6496,Orange,2020-11-30,3228519
6498,Placer,2020-11-30,400434
6499,Plumas,2020-11-30,18997
6500,Riverside,2020-11-30,2468145
6501,Sacramento,2020-11-30,1567975
6502,San Benito,2020-11-30,64022
6503,San Bernardino,2020-11-30,2217398
6504,San Diego,2020-11-30,3370418
6505,San Francisco,2020-11-30,892280
6506,San Joaquin,2020-11-30,782545
6507,San Luis Obispo,2020-11-30,278862
6508,San Mateo,2020-11-30,778001
6509,Santa Barbara,2020-11-30,456373
6510,Santa Clara,2020-11-30,1967585
6511,Santa Cruz,2020-11-30,273999
6512,Shasta,2020-11-30,177925
6513,Sierra,2020-11-30,3115
6514,Siskiyou,2020-11-30,43956
6515,Solano,2020-11-30,444255
6516,Sonoma,2020-11-30,496668
6517,Stanislaus,2020-11-30,562303
6518,Sutter,2020-11-30,105747
6519,Tehama,2020-11-30,65885
6520,Trinity,2020-11-30,13354
6521,Tulare,2020-11-30,484423
6522,Tuolumne,2020-11-30,52351
6524,Ventura,2020-11-30,852747
6525,Yolo,2020-11-30,223612
6526,Yuba,2020-11-30,79290
6527,Alameda,2020-11-29,1685886
6528,Alpine,2020-11-29,1117
6529,Amador,2020-11-29,38531
6530,Butte,2020-11-29,217769
6531,Calaveras,2020-11-29,44289
6532,California,2020-11-29,40129160
6533,Colusa,2020-11-29,22593
6534,Contra Costa,2020-11-29,1160099
6535,Del Norte,2020-11-29,27558
6536,El Dorado,2020-11-29,193098
6537,Fresno,2020-11-29,1032227
6538,Glenn,2020-11-29,29348
6539,Humboldt,2020-11-29,134098
6540,Imperial,2020-11-29,191649
6541,Inyo,2020-11-29,18453
6542,Kern,2020-11-29,927251
6543,Kings,2020-11-29,156444
6544,Lake,2020-11-29,64871
6545,Lassen,2020-11-29,30065
6546,Los Angeles,2020-11-29,10257557
6547,Madera,2020-11-29,160089
6548,Marin,2020-11-29,260800
6549,Mariposa,2020-11-29,17795
6550,Mendocino,2020-11-29,88439
6551,Merced,2020-11-29,287420
6552,Modoc,2020-11-29,9475
6553,Mono,2020-11-29,13961
6554,Monterey,2020-11-29,448732
6555,Napa,2020-11-29,139652
6556,Nevada,2020-11-29,98710
6557,Orange,2020-11-29,3228519
6559,Placer,2020-11-29,400434
6560,Plumas,2020-11-29,18997
6561,Riverside,2020-11-29,2468145
6562,Sacramento,2020-11-29,1567975
6563,San Benito,2020-11-29,64022
6564,San Bernardino,2020-11-29,2217398
6565,San Diego,2020-11-29,3370418
6566,San Francisco,2020-11-29,892280
6567,San Joaquin,2020-11-29,782545
6568,San Luis Obispo,2020-11-29,278862
6569,San Mateo,2020-11-29,778001
6570,Santa Barbara,2020-11-29,456373
6571,Santa Clara,2020-11-29,1967585
6572,Santa Cruz,2020-11-29,273999
6573,Shasta,2020-11-29,177925
6574,Sierra,2020-11-29,3115
6575,Siskiyou,2020-11-29,43956
6576,Solano,2020-11-29,444255
6577,Sonoma,2020-11-29,496668
6578,Stanislaus,2020-11-29,562303
6579,Sutter,2020-11-29,105747
6580,Tehama,2020-11-29,65885
6581,Trinity,2020-11-29,13354
6582,Tulare,2020-11-29,484423
6583,Tuolumne,2020-11-29,52351
6585,Ventura,2020-11-29,852747
6586,Yolo,2020-11-29,223612
6587,Yuba,2020-11-29,79290
6588,Alameda,2020-11-28,1685886
6589,Alpine,2020-11-28,1117
6590,Amador,2020-11-28,38531
6591,Butte,2020-11-28,217769
6592,Calaveras,2020-11-28,44289
6593,California,2020-11-28,40129160
6594,Colusa,2020-11-28,22593
6595,Contra Costa,2020-11-28,1160099
6596,Del Norte,2020-11-28,27558
6597,El Dorado,2020-11-28,193098
6598,Fresno,2020-11-28,1032227
6599,Glenn,2020-11-28,29348
6600,Humboldt,2020-11-28,134098
6601,Imperial,2020-11-28,191649
6602,Inyo,2020-11-28,18453
6603,Kern,2020-11-28,927251
6604,Kings,2020-11-28,156444
6605,Lake,2020-11-28,64871
6606,Lassen,2020-11-28,30065
6607,Los Angeles,2020-11-28,10257557
6608,Madera,2020-11-28,160089
6609,Marin,2020-11-28,260800
6610,Mariposa,2020-11-28,17795
6611,Mendocino,2020-11-28,88439
6612,Merced,2020-11-28,287420
6613,Modoc,2020-11-28,9475
6614,Mono,2020-11-28,13961
6615,Monterey,2020-11-28,448732
6616,Napa,2020-11-28,139652
6617,Nevada,2020-11-28,98710
6618,Orange,2020-11-28,3228519
6620,Placer,2020-11-28,400434
6621,Plumas,2020-11-28,18997
6622,Riverside,2020-11-28,2468145
6623,Sacramento,2020-11-28,1567975
6624,San Benito,2020-11-28,64022
6625,San Bernardino,2020-11-28,2217398
6626,San Diego,2020-11-28,3370418
6627,San Francisco,2020-11-28,892280
6628,San Joaquin,2020-11-28,782545
6629,San Luis Obispo,2020-11-28,278862
6630,San Mateo,2020-11-28,778001
6631,Santa Barbara,2020-11-28,456373
6632,Santa Clara,2020-11-28,1967585
6633,Santa Cruz,2020-11-28,273999
6634,Shasta,2020-11-28,177925
6635,Sierra,2020-11-28,3115
6636,Siskiyou,2020-11-28,43956
6637,Solano,2020-11-28,444255
6638,Sonoma,2020-11-28,496668
6639,Stanislaus,2020-11-28,562303
6640,Sutter,2020-11-28,105747
6641,Tehama,2020-11-28,65885
6642,Trinity,2020-11-28,13354
6643,Tulare,2020-11-28,484423
6644,Tuolumne,2020-11-28,52351
6646,Ventura,2020-11-28,852747
6647,Yolo,2020-11-28,223612
6648,Yuba,2020-11-28,79290
6649,Alameda,2020-11-27,1685886
6650,Alpine,2020-11-27,1117
6651,Amador,2020-11-27,38531
6652,Butte,2020-11-27,217769
6653,Calaveras,2020-11-27,44289
6654,California,2020-11-27,40129160
6655,Colusa,2020-11-27,22593
6656,Contra Costa,2020-11-27,1160099
6657,Del Norte,2020-11-27,27558
6658,El Dorado,2020-11-27,193098
6659,Fresno,2020-11-27,1032227
6660,Glenn,2020-11-27,29348
6661,Humboldt,2020-11-27,134098
6662,Imperial,2020-11-27,191649
6663,Inyo,2020-11-27,18453
6664,Kern,2020-11-27,927251
6665,Kings,2020-11-27,156444
6666,Lake,2020-11-27,64871
6667,Lassen,2020-11-27,30065
6668,Los Angeles,2020-11-27,10257557
6669,Madera,2020-11-27,160089
6670,Marin,2020-11-27,260800
6671,Mariposa,2020-11-27,17795
6672,Mendocino,2020-11-27,88439
6673,Merced,2020-11-27,287420
6674,Modoc,2020-11-27,9475
6675,Mono,2020-11-27,13961
6676,Monterey,2020-11-27,448732
6677,Napa,2020-11-27,139652
6678,Nevada,2020-11-27,98710
6679,Orange,2020-11-27,3228519
6681,Placer,2020-11-27,400434
6682,Plumas,2020-11-27,18997
6683,Riverside,2020-11-27,2468145
6684,Sacramento,2020-11-27,1567975
6685,San Benito,2020-11-27,64022
6686,San Bernardino,2020-11-27,2217398
6687,San Diego,2020-11-27,3370418
6688,San Francisco,2020-11-27,892280
6689,San Joaquin,2020-11-27,782545
6690,San Luis Obispo,2020-11-27,278862
6691,San Mateo,2020-11-27,778001
6692,Santa Barbara,2020-11-27,456373
6693,Santa Clara,2020-11-27,1967585
6694,Santa Cruz,2020-11-27,273999
6695,Shasta,2020-11-27,177925
6696,Sierra,2020-11-27,3115
6697,Siskiyou,2020-11-27,43956
6698,Solano,2020-11-27,444255
6699,Sonoma,2020-11-27,496668
6700,Stanislaus,2020-11-27,562303
6701,Sutter,2020-11-27,105747
6702,Tehama,2020-11-27,65885
6703,Trinity,2020-11-27,13354
6704,Tulare,2020-11-27,484423
6705,Tuolumne,2020-11-27,52351
6707,Ventura,2020-11-27,852747
6708,Yolo,2020-11-27,223612
6709,Yuba,2020-11-27,79290
6710,Alameda,2020-11-26,1685886
6711,Alpine,2020-11-26,1117
6712,Amador,2020-11-26,38531
6713,Butte,2020-11-26,217769
6714,Calaveras,2020-11-26,44289
6715,California,2020-11-26,40129160
6716,Colusa,2020-11-26,22593
6717,Contra Costa,2020-11-26,1160099
6718,Del Norte,2020-11-26,27558
6719,El Dorado,2020-11-26,193098
6720,Fresno,2020-11-26,1032227
6721,Glenn,2020-11-26,29348
6722,Humboldt,2020-11-26,134098
6723,Imperial,2020-11-26,191649
6724,Inyo,2020-11-26,18453
6725,Kern,2020-11-26,927251
6726,Kings,2020-11-26,156444
6727,Lake,2020-11-26,64871
6728,Lassen,2020-11-26,30065
6729,Los Angeles,2020-11-26,10257557
6730,Madera,2020-11-26,160089
6731,Marin,2020-11-26,260800
6732,Mariposa,2020-11-26,17795
6733,Mendocino,2020-11-26,88439
6734,Merced,2020-11-26,287420
6735,Modoc,2020-11-26,9475
6736,Mono,2020-11-26,13961
6737,Monterey,2020-11-26,448732
6738,Napa,2020-11-26,139652
6739,Nevada,2020-11-26,98710
6740,Orange,2020-11-26,3228519
6742,Placer,2020-11-26,400434
6743,Plumas,2020-11-26,18997
6744,Riverside,2020-11-26,2468145
6745,Sacramento,2020-11-26,1567975
6746,San Benito,2020-11-26,64022
6747,San Bernardino,2020-11-26,2217398
6748,San Diego,2020-11-26,3370418
6749,San Francisco,2020-11-26,892280
6750,San Joaquin,2020-11-26,782545
6751,San Luis Obispo,2020-11-26,278862
6752,San Mateo,2020-11-26,778001
6753,Santa Barbara,2020-11-26,456373
6754,Santa Clara,2020-11-26,1967585
6755,Santa Cruz,2020-11-26,273999
6756,Shasta,2020-11-26,177925
6757,Sierra,2020-11-26,3115
6758,Siskiyou,2020-11-26,43956
6759,Solano,2020-11-26,444255
6760,Sonoma,2020-11-26,496668
6761,Stanislaus,2020-11-26,562303
6762,Sutter,2020-11-26,105747
6763,Tehama,2020-11-26,65885
6764,Trinity,2020-11-26,13354
6765,Tulare,2020-11-26,484423
6766,Tuolumne,2020-11-26,52351
6768,Ventura,2020-11-26,852747
6769,Yolo,2020-11-26,223612
6770,Yuba,2020-11-26,79290
6771,Alameda,2020-11-25,1685886
6772,Alpine,2020-11-25,1117
6773,Amador,2020-11-25,38531
6774,Butte,2020-11-25,217769
6775,Calaveras,2020-11-25,44289
6776,California,2020-11-25,40129160
6777,Colusa,2020-11-25,22593
6778,Contra Costa,2020-11-25,1160099
6779,Del Norte,2020-11-25,27558
6780,El Dorado,2020-11-25,193098
6781,Fresno,2020-11-25,1032227
6782,Glenn,2020-11-25,29348
6783,Humboldt,2020-11-25,134098
6784,Imperial,2020-11-25,191649
6785,Inyo,2020-11-25,18453
6786,Kern,2020-11-25,927251
6787,Kings,2020-11-25,156444
6788,Lake,2020-11-25,64871
6789,Lassen,2020-11-25,30065
6790,Los Angeles,2020-11-25,10257557
6791,Madera,2020-11-25,160089
6792,Marin,2020-11-25,260800
6793,Mariposa,2020-11-25,17795
6794,Mendocino,2020-11-25,88439
6795,Merced,2020-11-25,287420
6796,Modoc,2020-11-25,9475
6797,Mono,2020-11-25,13961
6798,Monterey,2020-11-25,448732
6799,Napa,2020-11-25,139652
6800,Nevada,2020-11-25,98710
6801,Orange,2020-11-25,3228519
6803,Placer,2020-11-25,400434
6804,Plumas,2020-11-25,18997
6805,Riverside,2020-11-25,2468145
6806,Sacramento,2020-11-25,1567975
6807,San Benito,2020-11-25,64022
6808,San Bernardino,2020-11-25,2217398
6809,San Diego,2020-11-25,3370418
6810,San Francisco,2020-11-25,892280
6811,San Joaquin,2020-11-25,782545
6812,San Luis Obispo,2020-11-25,278862
6813,San Mateo,2020-11-25,778001
6814,Santa Barbara,2020-11-25,456373
6815,Santa Clara,2020-11-25,1967585
6816,Santa Cruz,2020-11-25,273999
6817,Shasta,2020-11-25,177925
6818,Sierra,2020-11-25,3115
6819,Siskiyou,2020-11-25,43956
6820,Solano,2020-11-25,444255
6821,Sonoma,2020-11-25,496668
6822,Stanislaus,2020-11-25,562303
6823,Sutter,2020-11-25,105747
6824,Tehama,2020-11-25,65885
6825,Trinity,2020-11-25,13354
6826,Tulare,2020-11-25,484423
6827,Tuolumne,2020-11-25,52351
6829,Ventura,2020-11-25,852747
6830,Yolo,2020-11-25,223612
6831,Yuba,2020-11-25,79290
6832,Alameda,2020-11-24,1685886
6833,Alpine,2020-11-24,1117
6834,Amador,2020-11-24,38531
6835,Butte,2020-11-24,217769
6836,Calaveras,2020-11-24,44289
6837,California,2020-11-24,40129160
6838,Colusa,2020-11-24,22593
6839,Contra Costa,2020-11-24,1160099
6840,Del Norte,2020-11-24,27558
6841,El Dorado,2020-11-24,193098
6842,Fresno,2020-11-24,1032227
6843,Glenn,2020-11-24,29348
6844,Humboldt,2020-11-24,134098
6845,Imperial,2020-11-24,191649
6846,Inyo,2020-11-24,18453
6847,Kern,2020-11-24,927251
6848,Kings,2020-11-24,156444
6849,Lake,2020-11-24,64871
6850,Lassen,2020-11-24,30065
6851,Los Angeles,2020-11-24,10257557
6852,Madera,2020-11-24,160089
6853,Marin,2020-11-24,260800
6854,Mariposa,2020-11-24,17795
6855,Mendocino,2020-11-24,88439
6856,Merced,2020-11-24,287420
6857,Modoc,2020-11-24,9475
6858,Mono,2020-11-24,13961
6859,Monterey,2020-11-24,448732
6860,Napa,2020-11-24,139652
6861,Nevada,2020-11-24,98710
6862,Orange,2020-11-24,3228519
6864,Placer,2020-11-24,400434
6865,Plumas,2020-11-24,18997
6866,Riverside,2020-11-24,2468145
6867,Sacramento,2020-11-24,1567975
6868,San Benito,2020-11-24,64022
6869,San Bernardino,2020-11-24,2217398
6870,San Diego,2020-11-24,3370418
6871,San Francisco,2020-11-24,892280
6872,San Joaquin,2020-11-24,782545
6873,San Luis Obispo,2020-11-24,278862
6874,San Mateo,2020-11-24,778001
6875,Santa Barbara,2020-11-24,456373
6876,Santa Clara,2020-11-24,1967585
6877,Santa Cruz,2020-11-24,273999
6878,Shasta,2020-11-24,177925
6879,Sierra,2020-11-24,3115
6880,Siskiyou,2020-11-24,43956
6881,Solano,2020-11-24,444255
6882,Sonoma,2020-11-24,496668
6883,Stanislaus,2020-11-24,562303
6884,Sutter,2020-11-24,105747
6885,Tehama,2020-11-24,65885
6886,Trinity,2020-11-24,13354
6887,Tulare,2020-11-24,484423
6888,Tuolumne,2020-11-24,52351
6890,Ventura,2020-11-24,852747
6891,Yolo,2020-11-24,223612
6892,Yuba,2020-11-24,79290
6893,Alameda,2020-11-23,1685886
6894,Alpine,2020-11-23,1117
6895,Amador,2020-11-23,38531
6896,Butte,2020-11-23,217769
6897,Calaveras,2020-11-23,44289
6898,California,2020-11-23,40129160
6899,Colusa,2020-11-23,22593
6900,Contra Costa,2020-11-23,1160099
6901,Del Norte,2020-11-23,27558
6902,El Dorado,2020-11-23,193098
6903,Fresno,2020-11-23,1032227
6904,Glenn,2020-11-23,29348
6905,Humboldt,2020-11-23,134098
6906,Imperial,2020-11-23,191649
6907,Inyo,2020-11-23,18453
6908,Kern,2020-11-23,927251
6909,Kings,2020-11-23,156444
6910,Lake,2020-11-23,64871
6911,Lassen,2020-11-23,30065
6912,Los Angeles,2020-11-23,10257557
6913,Madera,2020-11-23,160089
6914,Marin,2020-11-23,260800
6915,Mariposa,2020-11-23,17795
6916,Mendocino,2020-11-23,88439
6917,Merced,2020-11-23,287420
6918,Modoc,2020-11-23,9475
6919,Mono,2020-11-23,13961
6920,Monterey,2020-11-23,448732
6921,Napa,2020-11-23,139652
6922,Nevada,2020-11-23,98710
6923,Orange,2020-11-23,3228519
6925,Placer,2020-11-23,400434
6926,Plumas,2020-11-23,18997
6927,Riverside,2020-11-23,2468145
6928,Sacramento,2020-11-23,1567975
6929,San Benito,2020-11-23,64022
6930,San Bernardino,2020-11-23,2217398
6931,San Diego,2020-11-23,3370418
6932,San Francisco,2020-11-23,892280
6933,San Joaquin,2020-11-23,782545
6934,San Luis Obispo,2020-11-23,278862
6935,San Mateo,2020-11-23,778001
6936,Santa Barbara,2020-11-23,456373
6937,Santa Clara,2020-11-23,1967585
6938,Santa Cruz,2020-11-23,273999
6939,Shasta,2020-11-23,177925
6940,Sierra,2020-11-23,3115
6941,Siskiyou,2020-11-23,43956
6942,Solano,2020-11-23,444255
6943,Sonoma,2020-11-23,496668
6944,Stanislaus,2020-11-23,562303
6945,Sutter,2020-11-23,105747
6946,Tehama,2020-11-23,65885
6947,Trinity,2020-11-23,13354
6948,Tulare,2020-11-23,484423
6949,Tuolumne,2020-11-23,52351
6951,Ventura,2020-11-23,852747
6952,Yolo,2020-11-23,223612
6953,Yuba,2020-11-23,79290
6954,Alameda,2020-11-22,1685886
6955,Alpine,2020-11-22,1117
6956,Amador,2020-11-22,38531
6957,Butte,2020-11-22,217769
6958,Calaveras,2020-11-22,44289
6959,California,2020-11-22,40129160
6960,Colusa,2020-11-22,22593
6961,Contra Costa,2020-11-22,1160099
6962,Del Norte,2020-11-22,27558
6963,El Dorado,2020-11-22,193098
6964,Fresno,2020-11-22,1032227
6965,Glenn,2020-11-22,29348
6966,Humboldt,2020-11-22,134098
6967,Imperial,2020-11-22,191649
6968,Inyo,2020-11-22,18453
6969,Kern,2020-11-22,927251
6970,Kings,2020-11-22,156444
6971,Lake,2020-11-22,64871
6972,Lassen,2020-11-22,30065
6973,Los Angeles,2020-11-22,10257557
6974,Madera,2020-11-22,160089
6975,Marin,2020-11-22,260800
6976,Mariposa,2020-11-22,17795
6977,Mendocino,2020-11-22,88439
6978,Merced,2020-11-22,287420
6979,Modoc,2020-11-22,9475
6980,Mono,2020-11-22,13961
6981,Monterey,2020-11-22,448732
6982,Napa,2020-11-22,139652
6983,Nevada,2020-11-22,98710
6984,Orange,2020-11-22,3228519
6986,Placer,2020-11-22,400434
6987,Plumas,2020-11-22,18997
6988,Riverside,2020-11-22,2468145
6989,Sacramento,2020-11-22,1567975
6990,San Benito,2020-11-22,64022
6991,San Bernardino,2020-11-22,2217398
6992,San Diego,2020-11-22,3370418
6993,San Francisco,2020-11-22,892280
6994,San Joaquin,2020-11-22,782545
6995,San Luis Obispo,2020-11-22,278862
6996,San Mateo,2020-11-22,778001
6997,Santa Barbara,2020-11-22,456373
6998,Santa Clara,2020-11-22,1967585
6999,Santa Cruz,2020-11-22,273999
7000,Shasta,2020-11-22,177925
7001,Sierra,2020-11-22,3115
7002,Siskiyou,2020-11-22,43956
7003,Solano,2020-11-22,444255
7004,Sonoma,2020-11-22,496668
7005,Stanislaus,2020-11-22,562303
7006,Sutter,2020-11-22,105747
7007,Tehama,2020-11-22,65885
7008,Trinity,2020-11-22,13354
7009,Tulare,2020-11-22,484423
7010,Tuolumne,2020-11-22,52351
7012,Ventura,2020-11-22,852747
7013,Yolo,2020-11-22,223612
7014,Yuba,2020-11-22,79290
7015,Alameda,2020-11-21,1685886
7016,Alpine,2020-11-21,1117
7017,Amador,2020-11-21,38531
7018,Butte,2020-11-21,217769
7019,Calaveras,2020-11-21,44289
7020,California,2020-11-21,40129160
7021,Colusa,2020-11-21,22593
7022,Contra Costa,2020-11-21,1160099
7023,Del Norte,2020-11-21,27558
7024,El Dorado,2020-11-21,193098
7025,Fresno,2020-11-21,1032227
7026,Glenn,2020-11-21,29348
7027,Humboldt,2020-11-21,134098
7028,Imperial,2020-11-21,191649
7029,Inyo,2020-11-21,18453
7030,Kern,2020-11-21,927251
7031,Kings,2020-11-21,156444
7032,Lake,2020-11-21,64871
7033,Lassen,2020-11-21,30065
7034,Los Angeles,2020-11-21,10257557
7035,Madera,2020-11-21,160089
7036,Marin,2020-11-21,260800
7037,Mariposa,2020-11-21,17795
7038,Mendocino,2020-11-21,88439
7039,Merced,2020-11-21,287420
7040,Modoc,2020-11-21,9475
7041,Mono,2020-11-21,13961
7042,Monterey,2020-11-21,448732
7043,Napa,2020-11-21,139652
7044,Nevada,2020-11-21,98710
7045,Orange,2020-11-21,3228519
7047,Placer,2020-11-21,400434
7048,Plumas,2020-11-21,18997
7049,Riverside,2020-11-21,2468145
7050,Sacramento,2020-11-21,1567975
7051,San Benito,2020-11-21,64022
7052,San Bernardino,2020-11-21,2217398
7053,San Diego,2020-11-21,3370418
7054,San Francisco,2020-11-21,892280
7055,San Joaquin,2020-11-21,782545
7056,San Luis Obispo,2020-11-21,278862
7057,San Mateo,2020-11-21,778001
7058,Santa Barbara,2020-11-21,456373
