,county,date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,all_hospital_beds,icu_suspected_covid_patients,icu_available_beds,Total cases
12334,Sonoma,2020-11-04,25,4,556,1,7,29
12335,Santa Barbara,2020-11-04,12,3,688,1,59,15
12336,Mendocino,2020-11-04,3,0,152,0,2,3
12337,Merced,2020-11-04,8,0,272,0,11,8
12338,Santa Clara,2020-11-04,100,18,3036,0,81,118
12339,Fresno,2020-11-04,99,20,1656,2,20,119
12340,Orange,2020-11-04,178,49,5879,7,189,227
12341,San Benito,2020-11-04,3,0,25,0,2,3
12342,Calaveras,2020-11-04,0,0,33,0,8,0
12343,Tehama,2020-11-04,2,0,59,0,0,2
12344,Lassen,2020-11-04,0,0,25,0,0,0
12345,El Dorado,2020-11-04,2,0,189,0,8,2
12346,Kings,2020-11-04,15,3,193,1,14,18
12347,Tuolumne,2020-11-04,3,1,84,1,3,4
12348,San Bernardino,2020-11-04,281,58,3978,9,95,339
12349,Placer,2020-11-04,35,11,809,0,26,46
12350,Napa,2020-11-04,4,0,351,0,24,4
12351,Ventura,2020-11-04,26,9,1232,1,34,35
12352,San Joaquin,2020-11-04,32,5,1007,2,30,37
12353,Riverside,2020-11-04,201,60,3446,7,67,261
12354,Glenn,2020-11-04,0,0,47,0,0,0
12355,Tulare,2020-11-04,36,9,683,0,16,45
12356,Siskiyou,2020-11-04,2,0,56,0,8,2
12357,Solano,2020-11-04,19,9,539,0,15,28
12358,Contra Costa,2020-11-04,39,4,1479,2,40,43
12359,Madera,2020-11-04,9,9,329,0,8,18
12360,Trinity,2020-11-04,0,0,25,0,0,0
12361,Mono,2020-11-04,0,0,17,0,2,0
12362,Yuba,2020-11-04,2,0,265,0,3,2
12363,Butte,2020-11-04,11,0,453,0,12,11
12364,Kern,2020-11-04,51,2,1328,0,51,53
12365,Yolo,2020-11-04,8,0,96,0,5,8
12366,Stanislaus,2020-11-04,61,15,1297,5,20,76
12367,Monterey,2020-11-04,36,0,717,0,24,36
12368,Inyo,2020-11-04,1,0,29,0,4,1
12369,Modoc,2020-11-04,0,0,41,0,0,0
12370,Lake,2020-11-04,2,0,65,0,1,2
12371,Nevada,2020-11-04,3,0,120,0,4,3
12372,Alameda,2020-11-04,63,45,2505,6,122,108
12373,San Joaquin,2020-11-05,38,1,1031,1,35,39
12374,Napa,2020-11-05,4,0,351,0,26,4
12375,Calaveras,2020-11-05,0,0,33,0,8,0
12376,Butte,2020-11-05,12,0,453,0,16,12
12377,Santa Barbara,2020-11-05,15,0,688,0,58,15
12378,Tuolumne,2020-11-05,2,1,181,1,4,3
12379,Sonoma,2020-11-05,22,3,535,0,6,25
12380,Modoc,2020-11-05,1,0,41,0,0,1
12381,Tulare,2020-11-05,38,11,677,1,16,49
12382,Del Norte,2020-11-05,0,0,51,0,1,0
12383,Glenn,2020-11-05,0,0,47,0,0,0
12384,Stanislaus,2020-11-05,58,15,1296,0,18,73
12385,Lake,2020-11-05,1,0,77,0,2,1
12386,Merced,2020-11-05,9,0,271,0,11,9
12387,San Luis Obispo,2020-11-05,8,0,460,0,25,8
12388,Fresno,2020-11-05,103,20,1687,3,21,123
12389,Tehama,2020-11-05,2,0,59,0,0,2
12390,Riverside,2020-11-05,208,58,3419,14,70,266
12391,Kern,2020-11-05,54,3,1265,0,47,57
12392,Shasta,2020-11-05,15,0,561,0,5,15
12393,San Francisco,2020-11-05,33,3,1911,1,61,36
12394,Orange,2020-11-05,177,46,5855,12,199,223
12395,Monterey,2020-11-05,38,0,717,0,24,38
12396,Mono,2020-11-05,0,0,17,0,2,0
12397,Amador,2020-11-05,1,0,51,0,3,1
12398,San Benito,2020-11-05,3,0,25,0,2,3
12399,Solano,2020-11-05,20,13,540,0,17,33
12400,Los Angeles,2020-11-05,840,292,20185,31,688,1132
12401,El Dorado,2020-11-05,3,0,189,0,7,3
12402,San Diego,2020-11-05,286,55,6949,15,258,341
12403,Humboldt,2020-11-05,2,0,281,0,6,2
12404,Alameda,2020-11-05,66,43,2509,5,126,109
12405,Siskiyou,2020-11-05,1,0,56,0,7,1
12406,Imperial,2020-11-05,45,0,259,0,0,45
12407,Sutter,2020-11-05,0,0,14,0,0,0
12408,Marin,2020-11-05,4,6,352,0,15,10
12409,San Bernardino,2020-11-05,283,49,4000,9,94,332
12410,Mendocino,2020-11-05,2,0,177,0,5,2
12411,Yuba,2020-11-05,2,0,265,0,5,2
12412,Inyo,2020-11-05,1,0,29,0,4,1
12413,Kings,2020-11-05,14,0,193,0,15,14
12414,Lassen,2020-11-05,1,0,25,0,0,1
12415,Colusa,2020-11-05,0,0,48,0,0,0
12416,Madera,2020-11-05,7,6,283,0,10,13
12417,Yolo,2020-11-05,7,0,96,0,6,7
12418,Santa Cruz,2020-11-05,11,0,389,0,8,11
12419,Plumas,2020-11-05,0,0,35,0,0,0
12420,Mariposa,2020-11-05,0,0,19,0,0,0
12421,Placer,2020-11-05,40,19,808,1,23,59
12422,Contra Costa,2020-11-05,40,5,1498,0,48,45
12423,Santa Clara,2020-11-05,100,21,3014,2,68,121
12424,Ventura,2020-11-05,30,5,1240,2,37,35
12425,Trinity,2020-11-05,0,0,25,0,0,0
12426,San Mateo,2020-11-05,23,12,710,0,32,35
12427,Sacramento,2020-11-05,90,18,2505,3,77,108
12428,Nevada,2020-11-05,5,1,133,0,4,6
12429,Placer,2020-11-06,34,12,809,0,21,46
12430,Fresno,2020-11-06,103,16,1683,0,23,119
12431,Tehama,2020-11-06,1,0,59,0,3,1
12432,Sonoma,2020-11-06,26,1,553,0,8,27
12433,El Dorado,2020-11-06,2,0,189,0,8,2
12434,San Diego,2020-11-06,284,54,6949,15,255,338
12435,Calaveras,2020-11-06,0,0,33,0,7,0
12436,Siskiyou,2020-11-06,2,0,56,0,8,2
12437,Alameda,2020-11-06,66,41,2508,3,116,107
12438,Lassen,2020-11-06,1,0,25,0,0,1
12439,Solano,2020-11-06,25,13,548,0,19,38
12440,Shasta,2020-11-06,15,1,561,0,11,16
12441,Del Norte,2020-11-06,0,0,51,0,3,0
12442,Colusa,2020-11-06,0,1,48,0,0,1
12443,Modoc,2020-11-06,2,0,41,0,0,2
12444,Plumas,2020-11-06,0,0,35,0,0,0
12445,Contra Costa,2020-11-06,39,13,1484,1,43,52
12446,San Francisco,2020-11-06,38,4,1937,1,54,42
12447,Santa Cruz,2020-11-06,9,0,389,0,7,9
12448,Kern,2020-11-06,59,3,1266,0,51,62
12449,Humboldt,2020-11-06,2,3,281,0,7,5
12450,Monterey,2020-11-06,36,0,717,0,19,36
12451,Nevada,2020-11-06,4,1,124,1,5,5
12452,Mendocino,2020-11-06,3,0,177,0,7,3
12453,Yolo,2020-11-06,5,0,96,0,6,5
12454,Amador,2020-11-06,4,0,51,0,4,4
12455,Glenn,2020-11-06,0,0,47,0,0,0
12456,Tulare,2020-11-06,41,3,679,0,15,44
12457,Santa Barbara,2020-11-06,12,1,688,0,58,13
12458,Merced,2020-11-06,12,0,271,0,10,12
12459,Inyo,2020-11-06,0,0,29,0,4,0
12460,Yuba,2020-11-06,1,1,265,0,5,2
12461,Marin,2020-11-06,6,4,354,0,18,10
12462,San Luis Obispo,2020-11-06,7,0,460,0,24,7
12463,Lake,2020-11-06,1,0,77,0,2,1
12464,Riverside,2020-11-06,202,46,3392,12,62,248
12465,San Bernardino,2020-11-06,281,43,4024,7,107,324
12466,Sacramento,2020-11-06,104,26,2522,4,68,130
12467,Butte,2020-11-06,8,0,453,0,14,8
12468,Trinity,2020-11-06,0,0,25,0,0,0
12469,Napa,2020-11-06,4,1,351,0,25,5
12470,Tuolumne,2020-11-06,2,1,181,1,2,3
12471,Santa Clara,2020-11-06,103,14,3016,1,72,117
12472,Orange,2020-11-06,199,33,5909,3,192,232
12473,San Mateo,2020-11-06,20,11,717,0,32,31
12474,Imperial,2020-11-06,45,0,250,0,2,45
12475,Mono,2020-11-06,0,0,17,0,2,0
12476,Ventura,2020-11-06,33,8,1245,3,33,41
12477,San Benito,2020-11-06,3,0,25,0,2,3
12478,Sutter,2020-11-06,0,0,14,0,0,0
12479,Madera,2020-11-06,7,11,310,0,8,18
12480,Stanislaus,2020-11-06,58,9,1297,1,16,67
12481,Kings,2020-11-06,17,0,193,0,14,17
12482,Mariposa,2020-11-06,0,0,19,0,0,0
12483,San Joaquin,2020-11-06,44,5,1025,2,26,49
12484,Los Angeles,2020-11-06,851,255,20230,39,661,1106
12485,Orange,2020-11-07,201,23,5952,5,200,224
12486,Fresno,2020-11-07,110,21,1673,3,17,131
12487,San Joaquin,2020-11-07,53,4,1028,0,27,57
12488,San Francisco,2020-11-07,36,5,1903,2,56,41
12489,Placer,2020-11-07,38,16,808,1,29,54
12490,Mono,2020-11-07,0,0,17,0,2,0
12491,Yuba,2020-11-07,1,1,265,0,6,2
12492,Mendocino,2020-11-07,3,0,177,0,4,3
12493,Sonoma,2020-11-07,27,2,542,0,5,29
12494,Tulare,2020-11-07,37,3,679,0,21,40
12495,El Dorado,2020-11-07,2,0,189,0,8,2
12496,Mariposa,2020-11-07,1,0,19,0,0,1
12497,Glenn,2020-11-07,0,0,47,0,0,0
12498,San Luis Obispo,2020-11-07,6,1,460,0,28,7
12499,Tehama,2020-11-07,4,0,59,0,1,4
12500,Amador,2020-11-07,3,0,51,0,3,3
12501,Kern,2020-11-07,61,1,1276,0,58,62
12502,Ventura,2020-11-07,39,5,1233,1,34,44
12503,Los Angeles,2020-11-07,855,278,20173,34,695,1133
12504,Trinity,2020-11-07,0,0,25,0,0,0
12505,Modoc,2020-11-07,2,0,41,0,0,2
12506,Siskiyou,2020-11-07,3,0,56,0,6,3
12507,Humboldt,2020-11-07,2,0,267,0,6,2
12508,Yolo,2020-11-07,4,0,96,0,6,4
12509,Lake,2020-11-07,1,0,77,0,3,1
12510,Santa Barbara,2020-11-07,9,0,688,0,46,9
12511,Butte,2020-11-07,10,1,453,1,15,11
12512,Stanislaus,2020-11-07,61,6,1297,1,20,67
12513,Sutter,2020-11-07,0,0,14,0,0,0
12514,Imperial,2020-11-07,47,0,250,0,0,47
12515,Del Norte,2020-11-07,0,0,51,0,3,0
12516,San Benito,2020-11-07,3,0,25,0,2,3
12517,Inyo,2020-11-07,0,0,29,0,4,0
12518,San Mateo,2020-11-07,20,5,701,1,37,25
12519,Contra Costa,2020-11-07,38,12,1482,0,52,50
12520,Madera,2020-11-07,6,13,310,0,8,19
12521,Tuolumne,2020-11-07,3,1,181,0,2,4
12522,Merced,2020-11-07,10,0,271,0,11,10
12523,San Diego,2020-11-07,297,57,6955,14,252,354
12524,Santa Clara,2020-11-07,105,19,3020,1,69,124
12525,Colusa,2020-11-07,0,1,48,0,0,1
12526,Sacramento,2020-11-07,120,24,2579,4,71,144
12527,Shasta,2020-11-07,17,1,561,0,6,18
12528,Alameda,2020-11-07,69,37,2479,5,106,106
12529,Solano,2020-11-07,28,12,559,1,19,40
12530,Plumas,2020-11-07,0,0,35,0,0,0
12531,Santa Cruz,2020-11-07,7,2,389,0,6,9
12532,Nevada,2020-11-07,4,1,124,1,3,5
12533,Marin,2020-11-07,6,7,359,1,17,13
12534,Kings,2020-11-07,16,0,193,0,13,16
12535,Calaveras,2020-11-07,0,0,33,0,4,0
12536,Monterey,2020-11-07,33,0,717,0,22,33
12537,San Bernardino,2020-11-07,274,38,3983,9,119,312
12538,Riverside,2020-11-07,223,55,3387,14,65,278
12539,Napa,2020-11-07,6,0,200,0,13,6
12540,Lassen,2020-11-07,1,0,25,0,0,1
12541,Solano,2020-11-08,28,11,491,2,21,39
12542,Humboldt,2020-11-08,2,1,270,0,4,3
12543,Siskiyou,2020-11-08,2,0,56,0,7,2
12544,Mendocino,2020-11-08,4,0,177,0,6,4
12545,Sonoma,2020-11-08,29,3,547,0,5,32
12546,Kings,2020-11-08,14,0,193,0,15,14
12547,San Benito,2020-11-08,3,0,25,0,2,3
12548,Yuba,2020-11-08,4,0,265,0,8,4
12549,Napa,2020-11-08,7,1,200,0,11,8
12550,Lassen,2020-11-08,1,0,25,0,0,1
12551,Plumas,2020-11-08,0,0,35,0,0,0
12552,Shasta,2020-11-08,19,1,561,0,6,20
12553,Del Norte,2020-11-08,1,0,51,0,1,1
12554,Trinity,2020-11-08,0,0,25,0,0,0
12555,Mariposa,2020-11-08,1,0,19,0,0,1
12556,Glenn,2020-11-08,0,0,47,0,0,0
12557,Merced,2020-11-08,11,0,271,0,12,11
12558,San Francisco,2020-11-08,40,2,1855,1,65,42
12559,Monterey,2020-11-08,32,0,717,0,24,32
12560,Stanislaus,2020-11-08,64,12,1275,1,21,76
12561,Fresno,2020-11-08,109,21,1668,1,-4,130
12562,Lake,2020-11-08,1,0,77,0,1,1
12563,Amador,2020-11-08,3,2,51,1,4,5
12564,Butte,2020-11-08,10,0,453,0,11,10
12565,Inyo,2020-11-08,0,0,29,0,3,0
12566,Colusa,2020-11-08,0,0,48,0,0,0
12567,Orange,2020-11-08,205,28,5875,7,193,233
12568,Marin,2020-11-08,5,6,354,0,17,11
12569,Tehama,2020-11-08,4,0,59,0,1,4
12570,Santa Cruz,2020-11-08,9,0,389,0,6,9
12571,Alameda,2020-11-08,69,48,2439,7,120,117
12572,Madera,2020-11-08,5,7,310,1,8,12
12573,Placer,2020-11-08,42,14,806,2,23,56
12574,Imperial,2020-11-08,50,0,250,0,0,50
12575,Sutter,2020-11-08,0,0,14,0,0,0
12576,Calaveras,2020-11-08,0,0,33,0,4,0
12577,Tuolumne,2020-11-08,1,3,181,1,3,4
12578,Riverside,2020-11-08,228,58,3341,13,67,286
12579,Santa Barbara,2020-11-08,10,0,688,0,50,10
12580,San Luis Obispo,2020-11-08,6,2,460,1,26,8
12581,San Bernardino,2020-11-08,289,37,3994,7,94,326
12582,Modoc,2020-11-08,2,0,41,0,0,2
12583,Kern,2020-11-08,61,1,1269,0,50,62
12584,Mono,2020-11-08,0,0,17,0,2,0
12585,San Joaquin,2020-11-08,55,1,1023,0,25,56
12586,Sacramento,2020-11-08,136,22,2561,5,74,158
12587,Contra Costa,2020-11-08,46,17,1493,0,53,63
12588,Santa Clara,2020-11-08,111,27,2989,2,81,138
12589,Yolo,2020-11-08,4,0,96,0,4,4
12590,Los Angeles,2020-11-08,888,264,20059,33,769,1152
12591,Ventura,2020-11-08,40,8,1225,3,40,48
12592,San Mateo,2020-11-08,20,7,695,0,38,27
12593,San Diego,2020-11-08,287,55,6948,13,265,342
12594,Tulare,2020-11-08,38,8,679,1,23,46
12595,El Dorado,2020-11-08,2,0,189,0,5,2
12596,Nevada,2020-11-08,3,0,124,0,7,3
12597,Modoc,2020-11-09,2,0,41,0,0,2
12598,Orange,2020-11-09,224,52,5797,14,200,276
12599,Merced,2020-11-09,9,0,271,0,5,9
12600,Santa Clara,2020-11-09,110,24,2979,2,80,134
12601,Mariposa,2020-11-09,1,0,19,0,0,1
12602,Amador,2020-11-09,2,2,51,0,4,4
12603,Butte,2020-11-09,12,0,453,0,13,12
12604,Yuba,2020-11-09,3,0,265,0,11,3
12605,Yolo,2020-11-09,4,0,96,0,2,4
12606,Riverside,2020-11-09,244,43,3392,11,95,287
12607,Kings,2020-11-09,18,0,193,0,16,18
12608,Sonoma,2020-11-09,22,2,544,0,4,24
12609,San Mateo,2020-11-09,19,7,699,0,39,26
12610,El Dorado,2020-11-09,4,1,189,1,5,5
12611,San Benito,2020-11-09,1,0,0,0,3,1
12612,San Joaquin,2020-11-09,55,4,1022,0,26,59
12613,Inyo,2020-11-09,0,0,29,0,4,0
12614,Contra Costa,2020-11-09,45,12,1485,2,44,57
12615,Imperial,2020-11-09,49,0,251,0,2,49
12616,Santa Cruz,2020-11-09,8,0,389,0,7,8
12617,Mono,2020-11-09,0,0,17,0,2,0
12618,Shasta,2020-11-09,24,2,561,0,3,26
12619,Madera,2020-11-09,7,4,329,0,7,11
12620,Kern,2020-11-09,65,2,1267,0,57,67
12621,Fresno,2020-11-09,112,24,1682,2,26,136
12622,Alameda,2020-11-09,63,45,2429,7,113,108
12623,Napa,2020-11-09,8,0,351,0,23,8
12624,Santa Barbara,2020-11-09,11,0,688,0,57,11
12625,San Diego,2020-11-09,299,53,6950,12,283,352
12626,Nevada,2020-11-09,5,0,116,0,1,5
12627,Del Norte,2020-11-09,0,0,51,0,0,0
12628,Glenn,2020-11-09,0,0,47,0,0,0
12629,Sacramento,2020-11-09,148,31,2567,5,80,179
12630,Marin,2020-11-09,7,2,355,1,11,9
12631,Colusa,2020-11-09,0,0,48,0,0,0
12632,San Bernardino,2020-11-09,284,47,4001,5,93,331
12633,Sutter,2020-11-09,0,0,14,0,0,0
12634,Monterey,2020-11-09,33,0,717,0,24,33
12635,Los Angeles,2020-11-09,903,306,20064,48,778,1209
12636,Trinity,2020-11-09,0,0,25,0,0,0
12637,San Francisco,2020-11-09,36,3,1856,1,68,39
12638,Siskiyou,2020-11-09,4,0,56,0,8,4
12639,Tulare,2020-11-09,38,8,679,1,26,46
12640,Lassen,2020-11-09,1,0,25,0,0,1
12641,Ventura,2020-11-09,41,9,1217,6,38,50
12642,Placer,2020-11-09,44,9,806,3,28,53
12643,Tehama,2020-11-09,3,0,59,0,2,3
12644,Calaveras,2020-11-09,0,0,33,0,3,0
12645,Mendocino,2020-11-09,4,0,177,0,6,4
12646,Plumas,2020-11-09,0,0,35,0,0,0
12647,Stanislaus,2020-11-09,62,9,1269,2,19,71
12648,Solano,2020-11-09,33,12,550,2,18,45
12649,Humboldt,2020-11-09,2,3,258,0,6,5
12650,Tuolumne,2020-11-09,5,0,181,0,3,5
12651,Lake,2020-11-09,1,0,77,0,2,1
12652,San Luis Obispo,2020-11-09,8,0,460,0,25,8
12653,Lake,2020-11-10,2,0,78,0,1,2
12654,Ventura,2020-11-10,35,11,1238,1,40,46
12655,Trinity,2020-11-10,0,0,25,0,0,0
12656,Kings,2020-11-10,18,0,193,0,16,18
12657,Santa Barbara,2020-11-10,14,0,688,0,54,14
12658,Placer,2020-11-10,49,10,803,3,28,59
12659,Modoc,2020-11-10,2,0,41,0,0,2
12660,San Mateo,2020-11-10,22,11,725,1,33,33
12661,Sutter,2020-11-10,0,0,14,0,0,0
12662,Sacramento,2020-11-10,158,25,2574,4,69,183
12663,Madera,2020-11-10,8,9,329,0,7,17
12664,San Benito,2020-11-10,1,0,25,0,2,1
12665,Shasta,2020-11-10,31,0,561,0,3,31
12666,El Dorado,2020-11-10,4,0,189,0,4,4
12667,Fresno,2020-11-10,121,24,1707,2,13,145
12668,Nevada,2020-11-10,5,0,133,0,1,5
12669,Tuolumne,2020-11-10,4,0,181,0,2,4
12670,Colusa,2020-11-10,1,0,48,0,0,1
12671,Calaveras,2020-11-10,0,0,33,0,4,0
12672,Merced,2020-11-10,14,0,272,0,5,14
12673,Tehama,2020-11-10,5,0,59,0,3,5
12674,San Francisco,2020-11-10,35,4,1876,1,69,39
12675,Los Angeles,2020-11-10,953,317,20118,49,683,1270
12676,Marin,2020-11-10,12,7,360,0,11,19
12677,Orange,2020-11-10,244,40,5964,6,193,284
12678,Siskiyou,2020-11-10,4,0,56,0,6,4
12679,Solano,2020-11-10,30,12,563,2,15,42
12680,Santa Clara,2020-11-10,109,26,3044,6,52,135
12681,Lassen,2020-11-10,0,0,25,0,0,0
12682,Riverside,2020-11-10,263,44,3450,9,102,307
12683,Mono,2020-11-10,0,0,17,0,2,0
12684,San Diego,2020-11-10,294,61,6945,10,258,355
12685,Contra Costa,2020-11-10,45,14,1504,4,46,59
12686,Mariposa,2020-11-10,1,0,19,0,0,1
12687,Monterey,2020-11-10,38,0,717,0,23,38
12688,Mendocino,2020-11-10,4,0,177,0,6,4
12689,Santa Cruz,2020-11-10,9,0,389,0,8,9
12690,Tulare,2020-11-10,42,8,679,1,24,50
12691,Plumas,2020-11-10,0,0,35,0,0,0
12692,Glenn,2020-11-10,0,0,47,0,0,0
12693,Yolo,2020-11-10,3,0,96,0,4,3
12694,Imperial,2020-11-10,51,0,266,0,2,51
12695,Kern,2020-11-10,56,1,1266,0,64,57
12696,Del Norte,2020-11-10,0,0,51,0,1,0
12697,San Bernardino,2020-11-10,286,63,4013,5,105,349
12698,Sonoma,2020-11-10,21,10,562,1,5,31
12699,Humboldt,2020-11-10,2,1,262,0,6,3
12700,Amador,2020-11-10,3,0,51,0,3,3
12701,Stanislaus,2020-11-10,64,9,1288,2,9,73
12702,Inyo,2020-11-10,0,0,29,0,4,0
12703,Yuba,2020-11-10,3,0,265,0,10,3
12704,San Luis Obispo,2020-11-10,6,0,460,0,28,6
12705,Alameda,2020-11-10,70,51,2471,10,107,121
12706,Butte,2020-11-10,13,0,453,0,5,13
12707,San Joaquin,2020-11-10,62,5,1030,0,24,67
12708,Napa,2020-11-10,7,0,351,0,14,7
12709,Mendocino,2020-11-11,7,0,177,0,4,7
12710,Marin,2020-11-11,13,3,369,0,10,16
12711,Los Angeles,2020-11-11,942,323,20217,49,648,1265
12712,Sutter,2020-11-11,0,0,14,0,0,0
12713,Merced,2020-11-11,17,0,272,0,7,17
12714,Alameda,2020-11-11,75,36,2453,6,96,111
12715,Amador,2020-11-11,3,0,51,0,3,3
12716,Ventura,2020-11-11,37,6,1236,0,43,43
12717,San Benito,2020-11-11,1,0,25,0,3,1
12718,Sacramento,2020-11-11,153,20,2470,3,104,173
12719,Kings,2020-11-11,19,0,193,0,15,19
12720,Tuolumne,2020-11-11,6,0,181,0,2,6
12721,Stanislaus,2020-11-11,66,12,1295,3,15,78
12722,Modoc,2020-11-11,1,0,41,0,0,1
12723,San Diego,2020-11-11,303,41,6946,6,252,344
12724,Santa Clara,2020-11-11,106,15,3069,0,54,121
12725,San Luis Obispo,2020-11-11,7,0,460,0,28,7
12726,Colusa,2020-11-11,2,0,48,0,0,2
12727,Calaveras,2020-11-11,0,0,33,0,4,0
12728,Yuba,2020-11-11,6,0,265,0,6,6
12729,Fresno,2020-11-11,123,16,1700,1,11,139
12730,Napa,2020-11-11,9,0,351,0,26,9
12731,Lake,2020-11-11,2,0,78,0,1,2
12732,Kern,2020-11-11,59,9,1276,0,51,68
12733,Riverside,2020-11-11,271,52,3439,8,65,323
12734,Tulare,2020-11-11,43,6,679,0,18,49
12735,Lassen,2020-11-11,0,0,25,0,0,0
12736,San Francisco,2020-11-11,36,7,1904,0,59,43
12737,Solano,2020-11-11,30,14,563,2,15,44
12738,Mono,2020-11-11,0,0,17,0,2,0
12739,San Mateo,2020-11-11,21,10,738,1,37,31
12740,Placer,2020-11-11,50,10,797,5,21,60
12741,Siskiyou,2020-11-11,4,0,56,0,6,4
12742,Inyo,2020-11-11,0,0,29,0,4,0
12743,Plumas,2020-11-11,0,0,35,0,0,0
12744,Shasta,2020-11-11,28,1,561,1,2,29
12745,Santa Cruz,2020-11-11,12,0,389,0,7,12
12746,Yolo,2020-11-11,5,0,96,0,3,5
12747,Santa Barbara,2020-11-11,12,0,688,0,57,12
12748,Mariposa,2020-11-11,1,0,19,0,0,1
12749,Glenn,2020-11-11,0,0,47,0,0,0
12750,Orange,2020-11-11,251,43,5921,6,192,294
12751,Humboldt,2020-11-11,2,2,276,1,2,4
12752,Del Norte,2020-11-11,0,0,51,0,2,0
12753,El Dorado,2020-11-11,5,1,189,1,8,6
12754,Sonoma,2020-11-11,21,2,585,0,6,23
12755,San Bernardino,2020-11-11,302,50,4067,2,107,352
12756,Monterey,2020-11-11,44,0,717,0,20,44
12757,San Joaquin,2020-11-11,69,4,1034,0,25,73
12758,Nevada,2020-11-11,4,0,142,0,3,4
12759,Imperial,2020-11-11,53,0,266,0,2,53
12760,Contra Costa,2020-11-11,50,8,1564,2,40,58
12761,Madera,2020-11-11,8,11,329,0,16,19
12762,Butte,2020-11-11,16,0,453,0,8,16
12763,Trinity,2020-11-11,0,0,25,0,0,0
12764,Tehama,2020-11-11,5,0,59,0,2,5
12765,San Joaquin,2020-11-12,62,2,1039,1,30,64
12766,Los Angeles,2020-11-12,966,314,20215,52,661,1280
12767,Santa Clara,2020-11-12,115,20,3045,1,72,135
12768,San Diego,2020-11-12,302,35,6943,7,244,337
12769,Lassen,2020-11-12,2,0,25,0,0,2
12770,Plumas,2020-11-12,0,0,35,0,0,0
12771,Ventura,2020-11-12,36,9,1235,1,41,45
12772,Solano,2020-11-12,36,14,566,3,10,50
12773,Sonoma,2020-11-12,18,9,581,0,4,27
12774,Orange,2020-11-12,244,45,5916,6,193,289
12775,Kern,2020-11-12,63,8,1287,0,54,71
12776,San Luis Obispo,2020-11-12,7,0,460,0,27,7
12777,Siskiyou,2020-11-12,3,0,25,0,0,3
12778,Butte,2020-11-12,16,0,453,0,7,16
12779,Marin,2020-11-12,11,6,365,0,7,17
12780,Imperial,2020-11-12,60,0,266,0,0,60
12781,Glenn,2020-11-12,0,0,47,0,0,0
12782,Santa Cruz,2020-11-12,16,1,389,0,7,17
12783,El Dorado,2020-11-12,4,0,189,0,7,4
12784,Mariposa,2020-11-12,0,0,19,0,0,0
12785,Sutter,2020-11-12,0,0,14,0,0,0
12786,San Benito,2020-11-12,1,0,26,0,1,1
12787,Madera,2020-11-12,11,14,329,0,16,25
12788,Sacramento,2020-11-12,177,23,2561,2,64,200
12789,Shasta,2020-11-12,28,1,561,0,3,29
12790,Mono,2020-11-12,0,0,17,0,2,0
12791,Lake,2020-11-12,2,0,77,0,1,2
12792,Kings,2020-11-12,20,0,193,0,13,20
12793,Amador,2020-11-12,4,0,51,0,5,4
12794,Fresno,2020-11-12,120,19,1672,1,15,139
12795,Santa Barbara,2020-11-12,13,2,688,0,58,15
12796,San Mateo,2020-11-12,23,9,737,1,38,32
12797,Humboldt,2020-11-12,3,4,279,1,2,7
12798,Yuba,2020-11-12,7,0,265,0,5,7
12799,Inyo,2020-11-12,0,0,29,0,3,0
12800,Calaveras,2020-11-12,0,0,33,0,4,0
12801,Riverside,2020-11-12,286,57,3476,6,64,343
12802,Monterey,2020-11-12,43,2,717,0,18,45
12803,Alameda,2020-11-12,70,39,2434,5,102,109
12804,Modoc,2020-11-12,1,0,41,0,0,1
12805,Yolo,2020-11-12,9,0,97,0,7,9
12806,Napa,2020-11-12,9,0,351,0,27,9
12807,Del Norte,2020-11-12,0,0,51,0,2,0
12808,Colusa,2020-11-12,3,1,48,0,0,4
12809,Trinity,2020-11-12,0,0,25,0,0,0
12810,Nevada,2020-11-12,4,0,126,0,2,4
12811,Tulare,2020-11-12,40,7,679,0,18,47
12812,Placer,2020-11-12,46,10,797,1,24,56
12813,Stanislaus,2020-11-12,74,15,1297,4,21,89
12814,Contra Costa,2020-11-12,50,7,1551,0,32,57
12815,Tehama,2020-11-12,7,0,59,0,3,7
12816,Mendocino,2020-11-12,7,0,177,0,6,7
12817,Tuolumne,2020-11-12,7,0,181,0,4,7
12818,San Bernardino,2020-11-12,318,58,4102,7,93,376
12819,San Francisco,2020-11-12,38,8,1851,1,62,46
12820,Merced,2020-11-12,17,0,271,0,7,17
12821,Calaveras,2020-11-13,1,0,33,0,4,1
12822,Mono,2020-11-13,0,0,17,0,2,0
12823,Glenn,2020-11-13,0,0,47,0,0,0
12824,Lassen,2020-11-13,0,0,25,0,0,0
12825,Merced,2020-11-13,17,0,271,0,7,17
12826,Placer,2020-11-13,44,9,801,1,22,53
12827,Napa,2020-11-13,8,0,351,0,28,8
12828,Tulare,2020-11-13,44,7,679,0,21,51
12829,El Dorado,2020-11-13,4,0,189,0,6,4
12830,Del Norte,2020-11-13,0,0,52,0,0,0
12831,San Francisco,2020-11-13,36,7,1908,0,65,43
12832,Ventura,2020-11-13,36,11,1248,2,28,47
12833,Monterey,2020-11-13,44,2,717,0,23,46
12834,Marin,2020-11-13,10,5,363,1,12,15
12835,Mariposa,2020-11-13,0,0,19,0,0,0
12836,Trinity,2020-11-13,0,0,25,0,0,0
