,county,date,all_hospital_beds,icu_available_beds
242,Tuolumne,2020-04-02,0,2
243,San Francisco,2020-04-02,0,58
244,El Dorado,2020-04-02,0,10
245,Calaveras,2020-04-02,0,5
246,Tulare,2020-04-02,0,3
247,Plumas,2020-04-02,0,0
248,Alameda,2020-04-02,0,112
249,San Luis Obispo,2020-04-02,0,966
250,Lake,2020-04-02,0,2
251,Contra Costa,2020-04-02,0,73
252,Modoc,2020-04-02,0,0
253,Yolo,2020-04-02,0,0
254,Monterey,2020-04-02,0,12
255,Ventura,2020-04-02,0,15
256,Butte,2020-04-02,0,12
257,Imperial,2020-04-02,0,6
258,Sonoma,2020-04-02,0,10
259,Santa Cruz,2020-04-02,0,7
260,Inyo,2020-04-02,0,3
261,Amador,2020-04-02,0,2
262,Yuba,2020-04-02,0,4
263,San Diego,2020-04-02,0,206
264,Orange,2020-04-02,0,96
265,San Benito,2020-04-02,0,0
266,Shasta,2020-04-02,0,10
267,San Bernardino,2020-04-02,0,37
268,Merced,2020-04-02,0,3
269,Kings,2020-04-02,0,7
270,Sutter,2020-04-02,0,0
271,Kern,2020-04-02,0,36
272,Stanislaus,2020-04-02,0,22
273,Colusa,2020-04-02,0,5
274,Nevada,2020-04-02,0,6
275,Mendocino,2020-04-02,0,8
276,San Joaquin,2020-04-02,0,17
277,Tulare,2020-04-03,0,3
278,Plumas,2020-04-03,0,0
279,Kings,2020-04-03,0,3
280,Tuolumne,2020-04-03,0,1
281,Mendocino,2020-04-03,0,6
282,Santa Clara,2020-04-03,0,97
283,Contra Costa,2020-04-03,0,75
284,Madera,2020-04-03,0,7
285,Humboldt,2020-04-03,0,10
286,San Mateo,2020-04-03,0,38
287,Stanislaus,2020-04-03,0,22
288,Orange,2020-04-03,0,151
289,Ventura,2020-04-03,0,56
290,Fresno,2020-04-03,0,35
291,Mariposa,2020-04-03,0,0
292,Napa,2020-04-03,0,9
293,San Bernardino,2020-04-03,0,57
294,Yuba,2020-04-03,0,5
295,Tehama,2020-04-03,0,8
296,Los Angeles,2020-04-03,0,473
297,Butte,2020-04-03,0,9
298,Inyo,2020-04-03,0,1
299,Kern,2020-04-03,0,47
300,Glenn,2020-04-03,0,0
301,Solano,2020-04-03,0,23
302,Sacramento,2020-04-03,0,76
303,Santa Cruz,2020-04-03,0,2
304,Alameda,2020-04-03,0,117
305,Placer,2020-04-03,0,7
306,Lassen,2020-04-03,0,0
307,Imperial,2020-04-03,0,5
308,Del Norte,2020-04-03,0,2
309,Merced,2020-04-03,0,4
310,Trinity,2020-04-03,0,0
311,Riverside,2020-04-03,0,127
312,Colusa,2020-04-03,0,5
313,San Joaquin,2020-04-03,0,22
314,San Francisco,2020-04-03,0,74
315,Sonoma,2020-04-03,0,15
316,El Dorado,2020-04-03,0,14
317,Monterey,2020-04-03,0,17
318,Modoc,2020-04-03,0,0
319,Amador,2020-04-03,0,1
320,Santa Barbara,2020-04-03,0,50
321,Shasta,2020-04-03,0,14
322,Calaveras,2020-04-03,0,5
323,San Luis Obispo,2020-04-03,0,967
324,Yolo,2020-04-03,0,4
325,Lake,2020-04-03,0,2
326,Sutter,2020-04-03,0,0
327,San Diego,2020-04-03,0,216
328,Siskiyou,2020-04-03,0,4
329,Nevada,2020-04-03,0,5
330,Mono,2020-04-03,0,2
331,Marin,2020-04-03,0,17
332,San Benito,2020-04-03,0,0
333,Mariposa,2020-04-04,0,0
334,San Luis Obispo,2020-04-04,0,954
335,Napa,2020-04-04,0,6
336,Yuba,2020-04-04,0,7
337,Yolo,2020-04-04,0,4
338,Tehama,2020-04-04,0,8
339,Riverside,2020-04-04,0,125
340,Madera,2020-04-04,0,8
341,Calaveras,2020-04-04,0,5
342,Sutter,2020-04-04,0,0
343,Alameda,2020-04-04,0,120
344,San Benito,2020-04-04,0,0
345,Nevada,2020-04-04,0,5
346,Siskiyou,2020-04-04,0,5
347,Monterey,2020-04-04,0,18
348,Santa Clara,2020-04-04,0,91
349,Marin,2020-04-04,0,12
350,Amador,2020-04-04,0,2
351,Contra Costa,2020-04-04,0,87
352,Ventura,2020-04-04,0,10
353,Sonoma,2020-04-04,0,15
354,Mono,2020-04-04,0,2
355,Solano,2020-04-04,0,23
356,Mendocino,2020-04-04,0,7
357,Tuolumne,2020-04-04,0,2
358,Modoc,2020-04-04,0,0
359,San Joaquin,2020-04-04,0,24
360,Santa Cruz,2020-04-04,0,7
361,Lassen,2020-04-04,0,0
362,Butte,2020-04-04,0,7
363,Del Norte,2020-04-04,0,1
364,Sacramento,2020-04-04,0,82
365,San Mateo,2020-04-04,0,40
366,Santa Barbara,2020-04-04,0,53
367,Plumas,2020-04-04,0,0
368,Kings,2020-04-04,0,0
369,Trinity,2020-04-04,0,0
370,Stanislaus,2020-04-04,0,26
371,Colusa,2020-04-04,0,5
372,Imperial,2020-04-04,0,5
373,Inyo,2020-04-04,0,2
374,Merced,2020-04-04,0,6
375,San Diego,2020-04-04,0,222
376,El Dorado,2020-04-04,0,12
377,Tulare,2020-04-04,0,6
378,San Bernardino,2020-04-04,0,67
379,Orange,2020-04-04,0,153
380,Glenn,2020-04-04,0,0
381,Lake,2020-04-04,0,4
382,Placer,2020-04-04,0,12
383,Humboldt,2020-04-04,0,7
384,Fresno,2020-04-04,0,36
385,Shasta,2020-04-04,0,13
386,Kern,2020-04-04,0,29
387,San Francisco,2020-04-04,0,79
388,Los Angeles,2020-04-04,0,537
389,Mono,2020-04-05,0,2
390,Tuolumne,2020-04-05,0,4
391,Sonoma,2020-04-05,0,16
392,San Mateo,2020-04-05,0,36
393,Solano,2020-04-05,0,3
394,Lassen,2020-04-05,0,0
395,Tulare,2020-04-05,0,3
396,Mendocino,2020-04-05,0,4
397,Riverside,2020-04-05,0,130
398,Alameda,2020-04-05,0,113
399,San Francisco,2020-04-05,0,74
400,Calaveras,2020-04-05,0,6
401,Kings,2020-04-05,0,0
402,Mariposa,2020-04-05,0,0
403,Nevada,2020-04-05,0,3
404,San Luis Obispo,2020-04-05,0,28
405,Inyo,2020-04-05,0,3
406,Yolo,2020-04-05,0,4
407,San Diego,2020-04-05,0,247
408,Contra Costa,2020-04-05,0,74
409,Glenn,2020-04-05,0,0
410,Orange,2020-04-05,0,156
411,Los Angeles,2020-04-05,0,554
412,Marin,2020-04-05,0,13
413,Madera,2020-04-05,0,8
414,Butte,2020-04-05,0,10
415,Santa Cruz,2020-04-05,0,10
416,El Dorado,2020-04-05,0,7
417,Sutter,2020-04-05,0,0
418,Napa,2020-04-05,0,11
419,Imperial,2020-04-05,0,3
420,Plumas,2020-04-05,0,0
421,Siskiyou,2020-04-05,0,3
422,Modoc,2020-04-05,0,0
423,Monterey,2020-04-05,0,23
424,Del Norte,2020-04-05,0,1
425,San Bernardino,2020-04-05,0,70
426,Fresno,2020-04-05,0,39
427,Shasta,2020-04-05,0,13
428,Trinity,2020-04-05,0,0
429,Merced,2020-04-05,0,8
430,Lake,2020-04-05,0,3
431,San Joaquin,2020-04-05,0,19
432,Stanislaus,2020-04-05,0,30
433,Placer,2020-04-05,0,10
434,Amador,2020-04-05,0,2
435,Ventura,2020-04-05,0,12
436,Kern,2020-04-05,0,40
437,Tehama,2020-04-05,0,5
438,Sacramento,2020-04-05,0,82
439,Santa Clara,2020-04-05,0,90
440,Humboldt,2020-04-05,0,8
441,San Benito,2020-04-05,0,0
442,Santa Barbara,2020-04-05,0,59
443,Colusa,2020-04-05,0,5
444,Yuba,2020-04-05,0,10
445,Inyo,2020-04-06,0,3
446,San Joaquin,2020-04-06,0,20
447,Alameda,2020-04-06,0,92
448,Yuba,2020-04-06,0,7
449,Yolo,2020-04-06,0,-3
450,Colusa,2020-04-06,0,6
451,Modoc,2020-04-06,0,0
452,San Mateo,2020-04-06,0,36
453,Fresno,2020-04-06,0,45
454,Plumas,2020-04-06,0,0
455,San Benito,2020-04-06,0,0
456,Santa Barbara,2020-04-06,0,54
457,Solano,2020-04-06,0,28
458,Riverside,2020-04-06,0,152
459,San Luis Obispo,2020-04-06,0,42
460,Tulare,2020-04-06,0,16
461,Del Norte,2020-04-06,0,0
462,Tuolumne,2020-04-06,0,0
463,Merced,2020-04-06,0,4
464,Stanislaus,2020-04-06,0,37
465,Los Angeles,2020-04-06,0,587
466,Ventura,2020-04-06,0,32
467,Calaveras,2020-04-06,0,6
468,Kings,2020-04-06,0,3
469,Sutter,2020-04-06,0,0
470,Santa Cruz,2020-04-06,0,5
471,Shasta,2020-04-06,0,28
472,Sonoma,2020-04-06,0,20
473,Imperial,2020-04-06,0,3
474,Monterey,2020-04-06,0,18
475,Amador,2020-04-06,0,2
476,Lake,2020-04-06,0,1
477,Napa,2020-04-06,0,15
478,Sacramento,2020-04-06,0,75
479,Butte,2020-04-06,0,9
480,San Francisco,2020-04-06,0,71
481,Siskiyou,2020-04-06,0,5
482,Mendocino,2020-04-06,0,10
483,Lassen,2020-04-06,0,0
484,Mono,2020-04-06,0,2
485,Contra Costa,2020-04-06,0,78
486,San Bernardino,2020-04-06,0,102
487,Humboldt,2020-04-06,0,2
488,Santa Clara,2020-04-06,0,100
489,Placer,2020-04-06,0,24
490,Madera,2020-04-06,0,8
491,Trinity,2020-04-06,0,0
492,Tehama,2020-04-06,0,4
493,El Dorado,2020-04-06,0,10
494,Kern,2020-04-06,0,39
495,San Diego,2020-04-06,0,270
496,Mariposa,2020-04-06,0,0
497,Marin,2020-04-06,0,13
498,Glenn,2020-04-06,0,0
499,Orange,2020-04-06,0,134
