county,date,cases,cumulative_cases,reported_cases,cumulative_reported_cases
Humboldt,3/12/2021,8,3339,13,3315
Imperial,3/12/2021,1,27131,26,27071
Inyo,3/12/2021,2,1346,4,1339
Kern,3/12/2021,33,93308,90,93142
Kings,3/12/2021,11,22295,50,22233
Lake,3/12/2021,2,3240,12,3226
Lassen,3/12/2021,0,5126,1,5125
Los Angeles,3/12/2021,405,1172399,749,1170860
Madera,3/12/2021,14,15815,36,15761
Marin,3/12/2021,7,13412,19,13375
Mariposa,3/12/2021,1,377,0,376
Mendocino,3/12/2021,7,3619,1,3605
Merced,3/12/2021,31,29171,63,29064
Modoc,3/12/2021,0,341,0,340
Mono,3/12/2021,0,1206,0,1206
Monterey,3/12/2021,25,42013,28,41964
Napa,3/12/2021,3,9203,7,9180
Nevada,3/12/2021,9,4127,16,4101
Orange,3/12/2021,103,247741,171,247388
Placer,3/12/2021,28,20314,32,20210
Plumas,3/12/2021,0,643,1,641
Riverside,3/12/2021,124,281404,156,281037
Sacramento,3/12/2021,125,95467,149,95061
San Benito,3/12/2021,4,5830,1,5817
San Bernardino,3/12/2021,66,283920,246,283558
San Diego,3/12/2021,83,265773,362,264886
San Francisco,3/12/2021,26,34805,36,34758
San Joaquin,3/12/2021,88,66824,-40,66482
San Luis Obispo,3/12/2021,22,19822,21,19769
San Mateo,3/12/2021,48,39771,48,39638
Santa Barbara,3/12/2021,15,32525,49,32457
Santa Clara,3/12/2021,110,112727,150,112396
Santa Cruz,3/12/2021,10,14913,34,14846
Shasta,3/12/2021,8,11033,4,11143
Sierra,3/12/2021,0,49,1,49
Siskiyou,3/12/2021,0,1475,2,1468
Solano,3/12/2021,25,30288,42,30180
Sonoma,3/12/2021,36,28828,37,28714
Stanislaus,3/12/2021,58,51383,108,51146
Sutter,3/12/2021,3,8957,7,8940
Tehama,3/12/2021,5,4658,6,4638
Trinity,3/12/2021,0,308,2,306
Tulare,3/12/2021,32,47875,63,47772
Tuolumne,3/12/2021,1,3938,2,3936
Ventura,3/12/2021,36,78615,1,78698
Yolo,3/12/2021,17,13154,20,13061
Yuba,3/12/2021,4,5587,10,5563
Alameda,3/11/2021,95,82098,108,81809
Alpine,3/11/2021,1,82,0,78
Amador,3/11/2021,0,3506,2,3498
Butte,3/11/2021,6,11142,14,11110
Calaveras,3/11/2021,3,1940,2,1915
California,3/11/2021,2304,3528917,3471,3520333
Colusa,3/11/2021,0,1882,1,1883
Contra Costa,3/11/2021,86,63779,97,63469
Del Norte,3/11/2021,5,1040,7,1027
El Dorado,3/11/2021,5,9230,8,9211
Fresno,3/11/2021,107,97474,160,97026
Glenn,3/11/2021,0,2262,2,2255
Humboldt,3/11/2021,11,3331,6,3302
Imperial,3/11/2021,17,27130,-6,27045
Inyo,3/11/2021,2,1344,7,1335
Kern,3/11/2021,51,93275,87,93052
Kings,3/11/2021,16,22284,17,22183
Lake,3/11/2021,4,3238,7,3214
Lassen,3/11/2021,0,5126,4,5124
Los Angeles,3/11/2021,484,1171994,1032,1170111
Madera,3/11/2021,22,15801,20,15725
Marin,3/11/2021,15,13405,8,13356
Mariposa,3/11/2021,0,376,0,376
Mendocino,3/11/2021,3,3612,2,3604
Merced,3/11/2021,24,29140,74,29001
Modoc,3/11/2021,1,341,2,340
Mono,3/11/2021,0,1206,2,1206
Monterey,3/11/2021,26,41988,16,41936
Napa,3/11/2021,11,9200,8,9173
Nevada,3/11/2021,4,4118,11,4085
Orange,3/11/2021,144,247638,142,247217
Placer,3/11/2021,22,20286,34,20178
Plumas,3/11/2021,1,643,1,640
Riverside,3/11/2021,126,281280,173,280881
