county,date,cases,cumulative_cases,reported_cases,cumulative_reported_cases
Tehama,8/24/2020,9,414,7,388
Trinity,8/24/2020,0,12,0,10
Tulare,8/24/2020,129,14075,57,13360
Tuolumne,8/24/2020,4,196,6,170
Ventura,8/24/2020,97,10893,135,10261
Yolo,8/24/2020,29,2418,29,2239
Yuba,8/24/2020,20,831,0,750
Alameda,8/23/2020,92,18097,138,16786
Alpine,8/23/2020,0,2,0,2
Amador,8/23/2020,1,269,3,227
Butte,8/23/2020,50,1841,19,1637
Calaveras,8/23/2020,3,223,0,187
California,8/23/2020,2410,706125,4946,668615
Colusa,8/23/2020,4,446,5,424
Contra Costa,8/23/2020,86,13940,120,12642
Del Norte,8/23/2020,1,114,0,80
El Dorado,8/23/2020,2,968,1,901
Fresno,8/23/2020,99,26606,217,23414
Glenn,8/23/2020,1,441,0,421
Humboldt,8/23/2020,8,374,7,341
Imperial,8/23/2020,8,10941,-1,9243
Inyo,8/23/2020,0,169,0,144
Kern,8/23/2020,52,29101,221,28028
Kings,8/23/2020,9,5974,181,5628
Lake,8/23/2020,2,323,8,299
Lassen,8/23/2020,0,720,0,693
Los Angeles,8/23/2020,530,235812,975,231833
Madera,8/23/2020,19,3781,71,3401
Marin,8/23/2020,12,6039,18,5807
Mariposa,8/23/2020,0,71,0,66
Mendocino,8/23/2020,3,583,21,550
Merced,8/23/2020,28,7804,81,7574
Modoc,8/23/2020,0,6,0,5
Mono,8/23/2020,0,164,0,129
Monterey,8/23/2020,48,7726,92,7173
Napa,8/23/2020,5,1439,20,1348
Nevada,8/23/2020,0,447,10,421
Orange,8/23/2020,142,49138,136,45267
Placer,8/23/2020,14,2942,38,2772
Plumas,8/23/2020,0,39,0,37
Riverside,8/23/2020,148,52516,349,50293
Sacramento,8/23/2020,113,17810,568,16084
San Benito,8/23/2020,16,1056,26,938
San Bernardino,8/23/2020,128,47957,207,45010
San Diego,8/23/2020,181,38137,337,36542
San Francisco,8/23/2020,60,9328,-4,8564
San Joaquin,8/23/2020,53,17992,1,16069
San Luis Obispo,8/23/2020,25,2875,19,2679
San Mateo,8/23/2020,39,8053,89,7450
Santa Barbara,8/23/2020,26,8308,40,7725
Santa Clara,8/23/2020,103,17386,322,15912
Santa Cruz,8/23/2020,17,1784,-1,1627
Shasta,8/23/2020,2,600,8,501
Sierra,8/23/2020,0,7,0,6
Siskiyou,8/23/2020,0,122,1,107
Solano,8/23/2020,30,5372,33,4977
Sonoma,8/23/2020,45,5592,127,5018
Stanislaus,8/23/2020,48,14823,103,13483
Sutter,8/23/2020,7,1313,14,1203
Tehama,8/23/2020,0,405,13,381
Trinity,8/23/2020,0,12,2,10
Tulare,8/23/2020,65,13946,107,13303
Tuolumne,8/23/2020,2,192,2,164
Ventura,8/23/2020,56,10796,167,10126
Yolo,8/23/2020,15,2389,22,2210
Yuba,8/23/2020,12,811,12,750
Alameda,8/22/2020,90,18005,235,16648
Alpine,8/22/2020,0,2,0,2
Amador,8/22/2020,1,268,1,224
Butte,8/22/2020,39,1791,36,1618
Calaveras,8/22/2020,0,220,5,187
California,8/22/2020,3125,703715,6777,663669
Colusa,8/22/2020,2,442,1,419
Contra Costa,8/22/2020,89,13854,189,12522
Del Norte,8/22/2020,0,113,2,80
El Dorado,8/22/2020,4,966,15,900
Fresno,8/22/2020,161,26507,357,23197
Glenn,8/22/2020,4,440,3,421
Humboldt,8/22/2020,3,366,3,334
Imperial,8/22/2020,16,10933,78,9244
Inyo,8/22/2020,0,169,0,144
Kern,8/22/2020,59,29049,240,27807
Kings,8/22/2020,22,5965,56,5447
Lake,8/22/2020,2,321,10,291
Lassen,8/22/2020,0,720,0,693
Los Angeles,8/22/2020,910,235282,1623,230858
Madera,8/22/2020,30,3762,59,3330
Marin,8/22/2020,20,6027,27,5789
Mariposa,8/22/2020,0,71,0,66
Mendocino,8/22/2020,10,580,24,529
Merced,8/22/2020,29,7776,136,7493
Modoc,8/22/2020,0,6,0,5
Mono,8/22/2020,0,164,1,129
Monterey,8/22/2020,73,7678,107,7081
Napa,8/22/2020,9,1434,11,1328
Nevada,8/22/2020,1,447,5,411
Orange,8/22/2020,141,48996,506,45131
Placer,8/22/2020,16,2928,36,2734
Plumas,8/22/2020,0,39,1,37
Riverside,8/22/2020,193,52368,535,49944
Sacramento,8/22/2020,123,17697,269,15516
San Benito,8/22/2020,10,1040,21,912
San Bernardino,8/22/2020,123,47829,554,44803
San Diego,8/22/2020,204,37956,291,36205
San Francisco,8/22/2020,50,9268,193,8568
San Joaquin,8/22/2020,83,17939,180,16068
San Luis Obispo,8/22/2020,22,2850,20,2660
San Mateo,8/22/2020,36,8014,108,7361
Santa Barbara,8/22/2020,41,8282,40,7685
Santa Clara,8/22/2020,154,17283,191,15590
Santa Cruz,8/22/2020,13,1767,11,1628
Shasta,8/22/2020,0,598,7,493
Sierra,8/22/2020,0,7,0,6
Siskiyou,8/22/2020,0,122,3,106
Solano,8/22/2020,24,5342,53,4944
Sonoma,8/22/2020,71,5547,75,4891
Stanislaus,8/22/2020,68,14775,98,13380
Sutter,8/22/2020,13,1306,16,1189
Tehama,8/22/2020,2,405,11,368
Trinity,8/22/2020,0,12,0,8
Tulare,8/22/2020,72,13881,194,13196
Tuolumne,8/22/2020,8,190,1,162
Ventura,8/22/2020,65,10740,94,9959
Yolo,8/22/2020,15,2374,24,2188
Yuba,8/22/2020,4,799,21,738
Alameda,8/21/2020,158,17915,239,16413
Alpine,8/21/2020,0,2,0,2
Amador,8/21/2020,2,267,1,223
Butte,8/21/2020,52,1752,33,1582
Calaveras,8/21/2020,3,220,3,182
California,8/21/2020,4514,700590,6556,656892
Colusa,8/21/2020,2,440,3,418
Contra Costa,8/21/2020,127,13765,225,12333
Del Norte,8/21/2020,0,113,0,78
El Dorado,8/21/2020,4,962,4,885
Fresno,8/21/2020,174,26346,305,22840
Glenn,8/21/2020,5,436,4,418
Humboldt,8/21/2020,5,363,13,331
Imperial,8/21/2020,18,10917,80,9166
Inyo,8/21/2020,1,169,0,144
Kern,8/21/2020,166,28990,230,27567
Kings,8/21/2020,40,5943,44,5391
Lake,8/21/2020,5,319,1,281
Lassen,8/21/2020,2,720,0,693
Los Angeles,8/21/2020,1345,234372,1743,229235
Madera,8/21/2020,26,3732,74,3271
Marin,8/21/2020,18,6007,17,5762
Mariposa,8/21/2020,0,71,-1,66
Mendocino,8/21/2020,11,570,8,505
Merced,8/21/2020,76,7747,184,7357
Modoc,8/21/2020,0,6,0,5
Mono,8/21/2020,0,164,0,128
Monterey,8/21/2020,71,7605,82,6974
Napa,8/21/2020,9,1425,11,1317
Nevada,8/21/2020,1,446,5,406
Orange,8/21/2020,225,48855,326,44625
Placer,8/21/2020,17,2912,17,2698
Plumas,8/21/2020,0,39,0,36
Riverside,8/21/2020,218,52175,456,49409
Sacramento,8/21/2020,242,17574,255,15247
San Benito,8/21/2020,13,1030,25,891
San Bernardino,8/21/2020,255,47706,622,44249
San Diego,8/21/2020,221,37752,304,35914
San Francisco,8/21/2020,86,9218,113,8375
San Joaquin,8/21/2020,92,17856,110,15888
San Luis Obispo,8/21/2020,20,2828,50,2640
San Mateo,8/21/2020,74,7978,65,7253
Santa Barbara,8/21/2020,38,8241,74,7645
Santa Clara,8/21/2020,174,17129,237,15399
Santa Cruz,8/21/2020,13,1754,36,1617
Shasta,8/21/2020,1,598,8,486
Sierra,8/21/2020,0,7,0,6
Siskiyou,8/21/2020,1,122,1,103
Solano,8/21/2020,44,5318,48,4891
Sonoma,8/21/2020,70,5476,79,4816
Stanislaus,8/21/2020,96,14707,162,13282
Sutter,8/21/2020,23,1293,15,1173
Tehama,8/21/2020,6,403,7,357
Trinity,8/21/2020,0,12,0,8
Tulare,8/21/2020,108,13809,95,13002
Tuolumne,8/21/2020,3,182,2,161
Ventura,8/21/2020,114,10675,121,9865
Yolo,8/21/2020,22,2359,14,2164
Yuba,8/21/2020,17,795,8,717
Alameda,8/20/2020,154,17757,300,16174
Alpine,8/20/2020,0,2,0,2
Amador,8/20/2020,1,265,3,222
Butte,8/20/2020,43,1700,32,1549
Calaveras,8/20/2020,3,217,2,179
California,8/20/2020,4736,696076,5585,650336
Colusa,8/20/2020,1,438,0,415
Contra Costa,8/20/2020,112,13638,213,12108
Del Norte,8/20/2020,0,113,0,78
El Dorado,8/20/2020,6,958,11,881
Fresno,8/20/2020,179,26172,368,22535
Glenn,8/20/2020,2,431,0,414
Humboldt,8/20/2020,2,358,2,318
Imperial,8/20/2020,28,10899,45,9086
Inyo,8/20/2020,2,168,4,144
Kern,8/20/2020,117,28824,195,27337
Kings,8/20/2020,173,5903,46,5347
Lake,8/20/2020,3,314,3,280
Lassen,8/20/2020,8,718,0,693
Los Angeles,8/20/2020,1340,233027,1486,227492
Madera,8/20/2020,34,3706,39,3197
Marin,8/20/2020,25,5989,22,5745
Mariposa,8/20/2020,0,71,3,67
Mendocino,8/20/2020,16,559,2,497
Merced,8/20/2020,129,7671,91,7173
Modoc,8/20/2020,0,6,0,5
Mono,8/20/2020,0,164,0,128
Monterey,8/20/2020,102,7534,199,6892
Napa,8/20/2020,5,1416,13,1306
Nevada,8/20/2020,7,445,3,401
Orange,8/20/2020,205,48630,361,44299
Placer,8/20/2020,24,2895,22,2681
Plumas,8/20/2020,0,39,0,36
Riverside,8/20/2020,250,51957,212,48953
Sacramento,8/20/2020,182,17332,228,14992
San Benito,8/20/2020,17,1017,13,866
San Bernardino,8/20/2020,301,47451,403,43627
San Diego,8/20/2020,249,37531,232,35610
San Francisco,8/20/2020,65,9132,26,8262
San Joaquin,8/20/2020,125,17764,101,15778
San Luis Obispo,8/20/2020,40,2808,37,2590
San Mateo,8/20/2020,67,7904,42,7188
Santa Barbara,8/20/2020,49,8203,72,7571
Santa Clara,8/20/2020,146,16955,168,15162
Santa Cruz,8/20/2020,26,1741,27,1581
Shasta,8/20/2020,4,597,3,478
Sierra,8/20/2020,0,7,0,6
Siskiyou,8/20/2020,1,121,-1,102
Solano,8/20/2020,42,5274,36,4843
Sonoma,8/20/2020,83,5406,123,4737
Stanislaus,8/20/2020,102,14611,36,13120
Sutter,8/20/2020,34,1270,12,1158
Tehama,8/20/2020,6,397,8,350
Trinity,8/20/2020,1,12,0,8
Tulare,8/20/2020,98,13701,151,12907
Tuolumne,8/20/2020,4,179,0,159
Ventura,8/20/2020,88,10561,157,9744
Yolo,8/20/2020,23,2337,24,2150
Yuba,8/20/2020,12,778,8,709
Alameda,8/19/2020,178,17603,247,15874
Alpine,8/19/2020,0,2,0,2
Amador,8/19/2020,1,264,4,219
Butte,8/19/2020,32,1657,26,1517
Calaveras,8/19/2020,4,214,3,177
California,8/19/2020,4827,691340,5920,644751
Colusa,8/19/2020,1,437,0,415
Contra Costa,8/19/2020,120,13526,206,11895
Del Norte,8/19/2020,1,113,0,78
El Dorado,8/19/2020,5,952,4,870
Fresno,8/19/2020,214,25993,369,22167
Glenn,8/19/2020,0,429,7,414
Humboldt,8/19/2020,5,356,1,316
Imperial,8/19/2020,35,10871,73,9041
Inyo,8/19/2020,1,166,0,140
Kern,8/19/2020,148,28707,164,27142
Kings,8/19/2020,23,5730,32,5301
Lake,8/19/2020,3,311,3,277
Lassen,8/19/2020,0,710,0,693
Los Angeles,8/19/2020,1433,231687,1788,226006
Madera,8/19/2020,28,3672,33,3158
Marin,8/19/2020,30,5964,15,5723
Mariposa,8/19/2020,0,71,3,64
Mendocino,8/19/2020,8,543,27,495
Merced,8/19/2020,51,7542,142,7082
Modoc,8/19/2020,0,6,0,5
Mono,8/19/2020,1,164,-1,128
Monterey,8/19/2020,90,7432,2,6693
Napa,8/19/2020,3,1411,19,1293
Nevada,8/19/2020,6,438,9,398
Orange,8/19/2020,225,48425,279,43938
Placer,8/19/2020,26,2871,15,2659
Plumas,8/19/2020,0,39,2,36
Riverside,8/19/2020,329,51707,294,48741
Sacramento,8/19/2020,231,17150,154,14764
San Benito,8/19/2020,20,1000,17,853
San Bernardino,8/19/2020,286,47150,397,43224
San Diego,8/19/2020,292,37282,214,35378
San Francisco,8/19/2020,85,9067,220,8236
San Joaquin,8/19/2020,118,17639,168,15677
San Luis Obispo,8/19/2020,22,2768,18,2553
San Mateo,8/19/2020,56,7837,72,7146
Santa Barbara,8/19/2020,42,8154,27,7499
Santa Clara,8/19/2020,173,16809,208,14994
Santa Cruz,8/19/2020,15,1715,45,1554
Shasta,8/19/2020,4,593,7,475
Sierra,8/19/2020,0,7,0,6
Siskiyou,8/19/2020,1,120,0,103
Solano,8/19/2020,27,5232,107,4807
Sonoma,8/19/2020,70,5323,108,4614
Stanislaus,8/19/2020,98,14509,149,13084
Sutter,8/19/2020,20,1236,20,1146
Tehama,8/19/2020,10,391,9,342
Trinity,8/19/2020,0,11,0,8
Tulare,8/19/2020,132,13603,119,12756
Tuolumne,8/19/2020,3,175,0,159
Ventura,8/19/2020,91,10473,51,9587
Yolo,8/19/2020,22,2314,24,2126
Yuba,8/19/2020,8,766,22,701
Alameda,8/18/2020,195,17425,173,15627
Alpine,8/18/2020,0,2,0,2
Amador,8/18/2020,0,263,0,215
Butte,8/18/2020,44,1625,28,1491
Calaveras,8/18/2020,4,210,7,174
California,8/18/2020,5278,686513,6164,638831
Colusa,8/18/2020,3,436,7,415
Contra Costa,8/18/2020,137,13406,247,11689
Del Norte,8/18/2020,4,112,1,78
El Dorado,8/18/2020,3,947,20,866
Fresno,8/18/2020,197,25779,482,21798
Glenn,8/18/2020,1,429,5,407
Humboldt,8/18/2020,7,351,13,315
Imperial,8/18/2020,41,10836,71,8968
Inyo,8/18/2020,8,165,16,140
Kern,8/18/2020,143,28559,205,26978
Kings,8/18/2020,36,5707,20,5269
Lake,8/18/2020,5,308,4,274
Lassen,8/18/2020,0,710,27,693
Los Angeles,8/18/2020,1519,230254,800,224218
Madera,8/18/2020,43,3644,75,3125
Marin,8/18/2020,23,5934,25,5708
Mariposa,8/18/2020,0,71,0,61
Mendocino,8/18/2020,17,535,14,468
Merced,8/18/2020,94,7491,126,6940
Modoc,8/18/2020,0,6,0,5
Mono,8/18/2020,0,163,3,129
Monterey,8/18/2020,99,7342,138,6691
Napa,8/18/2020,21,1408,19,1274
Nevada,8/18/2020,5,432,6,389
Orange,8/18/2020,210,48200,38,43659
Placer,8/18/2020,27,2845,35,2644
Plumas,8/18/2020,0,39,1,34
Riverside,8/18/2020,330,51378,385,48447
Sacramento,8/18/2020,224,16919,277,14610
San Benito,8/18/2020,15,980,14,836
San Bernardino,8/18/2020,346,46864,822,42827
San Diego,8/18/2020,265,36990,202,35164
San Francisco,8/18/2020,72,8982,416,8016
San Joaquin,8/18/2020,161,17521,186,15509
San Luis Obispo,8/18/2020,33,2746,8,2535
San Mateo,8/18/2020,75,7781,87,7074
Santa Barbara,8/18/2020,42,8112,34,7472
Santa Clara,8/18/2020,223,16636,240,14786
Santa Cruz,8/18/2020,18,1700,56,1509
Shasta,8/18/2020,7,589,1,468
Sierra,8/18/2020,0,7,0,6
Siskiyou,8/18/2020,1,119,0,103
Solano,8/18/2020,57,5205,221,4700
Sonoma,8/18/2020,90,5253,104,4506
Stanislaus,8/18/2020,128,14411,190,12935
Sutter,8/18/2020,16,1216,55,1126
Tehama,8/18/2020,9,381,9,333
Trinity,8/18/2020,0,11,0,8
Tulare,8/18/2020,112,13471,150,12637
Tuolumne,8/18/2020,3,172,2,159
Ventura,8/18/2020,122,10382,46,9536
Yolo,8/18/2020,28,2292,19,2102
Yuba,8/18/2020,15,758,32,679
Alameda,8/17/2020,294,17230,116,15454
Alpine,8/17/2020,0,2,0,2
Amador,8/17/2020,3,263,0,215
Butte,8/17/2020,38,1581,31,1463
Calaveras,8/17/2020,7,206,0,167
California,8/17/2020,5747,681235,4636,632667
Colusa,8/17/2020,2,433,1,408
Contra Costa,8/17/2020,185,13269,187,11442
Del Norte,8/17/2020,4,108,0,77
El Dorado,8/17/2020,13,944,3,846
Fresno,8/17/2020,205,25582,306,21316
Glenn,8/17/2020,2,428,2,402
Humboldt,8/17/2020,3,344,1,302
Imperial,8/17/2020,43,10795,14,8897
Inyo,8/17/2020,7,157,-1,124
Kern,8/17/2020,193,28416,253,26773
Kings,8/17/2020,32,5671,103,5249
Lake,8/17/2020,4,303,1,270
Lassen,8/17/2020,0,710,0,666
Los Angeles,8/17/2020,1589,228735,1182,223418
Madera,8/17/2020,45,3601,37,3050
Marin,8/17/2020,26,5911,19,5683
Mariposa,8/17/2020,0,71,0,61
Mendocino,8/17/2020,7,518,3,454
Merced,8/17/2020,82,7397,70,6814
Modoc,8/17/2020,0,6,0,5
Mono,8/17/2020,0,163,0,126
Monterey,8/17/2020,98,7243,37,6553
Napa,8/17/2020,19,1387,14,1255
Nevada,8/17/2020,11,427,4,383
Orange,8/17/2020,250,47990,318,43621
Placer,8/17/2020,29,2818,26,2609
Plumas,8/17/2020,0,39,0,33
Riverside,8/17/2020,331,51048,393,48062
Sacramento,8/17/2020,242,16695,123,14333
San Benito,8/17/2020,29,965,7,822
San Bernardino,8/17/2020,416,46518,281,42005
San Diego,8/17/2020,263,36725,282,34962
San Francisco,8/17/2020,88,8910,-2,7600
San Joaquin,8/17/2020,204,17360,35,15323
San Luis Obispo,8/17/2020,30,2713,33,2527
San Mateo,8/17/2020,61,7706,45,6987
Santa Barbara,8/17/2020,49,8070,70,7438
Santa Clara,8/17/2020,195,16413,217,14546
Santa Cruz,8/17/2020,30,1682,4,1453
Shasta,8/17/2020,7,582,2,467
Sierra,8/17/2020,0,7,0,6
Siskiyou,8/17/2020,1,118,1,103
Solano,8/17/2020,61,5148,0,4479
Sonoma,8/17/2020,98,5163,73,4402
Stanislaus,8/17/2020,157,14283,77,12745
Sutter,8/17/2020,18,1200,0,1071
Tehama,8/17/2020,9,372,6,324
Trinity,8/17/2020,1,11,0,8
Tulare,8/17/2020,131,13359,153,12487
Tuolumne,8/17/2020,0,169,1,157
Ventura,8/17/2020,109,10260,82,9490
Yolo,8/17/2020,17,2264,26,2083
Yuba,8/17/2020,9,743,0,647
Alameda,8/16/2020,76,16936,173,15338
Alpine,8/16/2020,0,2,0,2
Amador,8/16/2020,0,260,5,215
Butte,8/16/2020,22,1543,23,1432
Calaveras,8/16/2020,2,199,0,167
California,8/16/2020,2465,675488,6469,628031
Colusa,8/16/2020,1,431,6,407
Contra Costa,8/16/2020,97,13084,149,11255
Del Norte,8/16/2020,0,104,0,77
El Dorado,8/16/2020,5,931,5,843
Fresno,8/16/2020,106,25377,407,21010
Glenn,8/16/2020,0,426,2,400
Humboldt,8/16/2020,1,341,0,301
Imperial,8/16/2020,19,10752,89,8883
Inyo,8/16/2020,0,150,2,125
Kern,8/16/2020,87,28223,182,26520
Kings,8/16/2020,17,5639,107,5146
Lake,8/16/2020,2,299,1,269
Lassen,8/16/2020,0,710,0,666
Los Angeles,8/16/2020,569,227146,1193,222236
Madera,8/16/2020,50,3556,63,3013
Marin,8/16/2020,7,5885,36,5664
Mariposa,8/16/2020,0,71,0,61
Mendocino,8/16/2020,4,511,7,451
Merced,8/16/2020,33,7315,88,6744
Modoc,8/16/2020,0,6,0,5
Mono,8/16/2020,0,163,0,126
Monterey,8/16/2020,44,7145,354,6516
Napa,8/16/2020,9,1368,9,1241
Nevada,8/16/2020,0,416,3,379
Orange,8/16/2020,112,47740,492,43303
Placer,8/16/2020,22,2789,32,2583
Plumas,8/16/2020,0,39,0,33
Riverside,8/16/2020,151,50717,949,47669
Sacramento,8/16/2020,111,16453,192,14210
San Benito,8/16/2020,13,936,10,815
San Bernardino,8/16/2020,148,46102,493,41724
San Diego,8/16/2020,166,36462,334,34680
San Francisco,8/16/2020,66,8822,1,7602
San Joaquin,8/16/2020,72,17156,175,15288
San Luis Obispo,8/16/2020,17,2683,33,2494
San Mateo,8/16/2020,28,7645,82,6942
Santa Barbara,8/16/2020,28,8021,30,7368
Santa Clara,8/16/2020,94,16218,224,14329
Santa Cruz,8/16/2020,18,1652,0,1449
Shasta,8/16/2020,3,575,7,465
Sierra,8/16/2020,0,7,0,6
Siskiyou,8/16/2020,1,117,2,102
Solano,8/16/2020,20,5087,2,4479
Sonoma,8/16/2020,53,5065,195,4329
Stanislaus,8/16/2020,64,14126,127,12668
Sutter,8/16/2020,11,1182,25,1071
Tehama,8/16/2020,1,363,6,318
Trinity,8/16/2020,2,10,2,8
Tulare,8/16/2020,38,13228,72,12334
Tuolumne,8/16/2020,0,169,1,156
Ventura,8/16/2020,59,10151,29,9408
Yolo,8/16/2020,12,2247,26,2057
Yuba,8/16/2020,4,734,24,647
Alameda,8/15/2020,142,16860,256,15165
Alpine,8/15/2020,0,2,0,2
Amador,8/15/2020,0,260,1,210
Butte,8/15/2020,9,1521,25,1409
Calaveras,8/15/2020,4,197,2,167
California,8/15/2020,3612,673023,7873,621562
Colusa,8/15/2020,2,430,2,401
Contra Costa,8/15/2020,112,12987,213,11106
Del Norte,8/15/2020,0,104,1,77
El Dorado,8/15/2020,8,926,11,838
Fresno,8/15/2020,130,25271,703,20603
Glenn,8/15/2020,2,426,3,398
Humboldt,8/15/2020,4,340,7,301
Imperial,8/15/2020,23,10733,38,8794
Inyo,8/15/2020,2,150,8,123
Kern,8/15/2020,101,28136,445,26338
Kings,8/15/2020,14,5622,86,5039
Lake,8/15/2020,9,297,1,268
Lassen,8/15/2020,0,710,1,666
Los Angeles,8/15/2020,1139,226577,1960,221043
Madera,8/15/2020,30,3506,74,2950
Marin,8/15/2020,11,5878,27,5628
Mariposa,8/15/2020,1,71,0,61
Mendocino,8/15/2020,9,507,12,444
Merced,8/15/2020,30,7282,190,6656
Modoc,8/15/2020,0,6,0,5
Mono,8/15/2020,0,163,0,126
Monterey,8/15/2020,52,7101,41,6162
Napa,8/15/2020,10,1359,2,1232
Nevada,8/15/2020,4,416,-1,376
Orange,8/15/2020,150,47628,412,42811
Placer,8/15/2020,19,2767,5,2551
Plumas,8/15/2020,1,39,0,33
Riverside,8/15/2020,229,50566,264,46720
Sacramento,8/15/2020,151,16342,373,14018
San Benito,8/15/2020,17,923,22,805
San Bernardino,8/15/2020,184,45954,789,41231
San Diego,8/15/2020,193,36296,279,34346
San Francisco,8/15/2020,59,8756,134,7601
San Joaquin,8/15/2020,98,17084,188,15113
San Luis Obispo,8/15/2020,14,2666,39,2461
San Mateo,8/15/2020,55,7617,205,6860
Santa Barbara,8/15/2020,50,7993,36,7338
Santa Clara,8/15/2020,163,16124,320,14105
Santa Cruz,8/15/2020,23,1634,31,1449
Shasta,8/15/2020,5,572,12,458
Sierra,8/15/2020,0,7,1,6
Siskiyou,8/15/2020,0,116,2,100
Solano,8/15/2020,20,5067,56,4477
Sonoma,8/15/2020,61,5012,47,4134
Stanislaus,8/15/2020,79,14062,162,12541
Sutter,8/15/2020,8,1171,7,1046
Tehama,8/15/2020,4,362,7,312
Trinity,8/15/2020,0,8,0,6
Tulare,8/15/2020,76,13190,253,12262
Tuolumne,8/15/2020,1,169,0,155
Ventura,8/15/2020,75,10092,66,9379
Yolo,8/15/2020,13,2235,40,2031
Yuba,8/15/2020,16,730,17,623
Alameda,8/14/2020,280,16718,524,14909
Alpine,8/14/2020,0,2,0,2
Amador,8/14/2020,0,260,11,209
Butte,8/14/2020,23,1512,39,1384
Calaveras,8/14/2020,2,193,3,165
California,8/14/2020,5309,669411,12614,613689
Colusa,8/14/2020,0,428,4,399
Contra Costa,8/14/2020,153,12875,348,10893
Del Norte,8/14/2020,1,104,2,76
El Dorado,8/14/2020,5,918,24,827
Fresno,8/14/2020,212,25141,743,19900
Glenn,8/14/2020,4,424,3,395
Humboldt,8/14/2020,8,336,13,294
Imperial,8/14/2020,32,10710,116,8756
Inyo,8/14/2020,4,148,18,115
Kern,8/14/2020,163,28035,421,25893
Kings,8/14/2020,35,5608,129,4953
Lake,8/14/2020,5,288,4,267
Lassen,8/14/2020,0,710,13,665
Los Angeles,8/14/2020,1486,225438,2586,219083
Madera,8/14/2020,44,3476,201,2876
Marin,8/14/2020,16,5867,98,5601
Mariposa,8/14/2020,1,70,0,61
Mendocino,8/14/2020,5,498,31,432
Merced,8/14/2020,120,7252,521,6466
Modoc,8/14/2020,0,6,0,5
Mono,8/14/2020,0,163,2,126
Monterey,8/14/2020,83,7049,196,6121
Napa,8/14/2020,9,1349,51,1230
Nevada,8/14/2020,4,412,15,377
Orange,8/14/2020,238,47478,380,42399
Placer,8/14/2020,20,2748,86,2546
Plumas,8/14/2020,0,38,1,33
Riverside,8/14/2020,294,50337,1129,46456
Sacramento,8/14/2020,200,16191,408,13645
San Benito,8/14/2020,29,906,26,783
San Bernardino,8/14/2020,401,45770,1047,40442
San Diego,8/14/2020,236,36103,406,34067
San Francisco,8/14/2020,94,8697,190,7467
San Joaquin,8/14/2020,156,16986,388,14925
San Luis Obispo,8/14/2020,22,2652,139,2422
San Mateo,8/14/2020,79,7562,152,6655
Santa Barbara,8/14/2020,45,7943,173,7302
Santa Clara,8/14/2020,222,15961,528,13785
Santa Cruz,8/14/2020,24,1611,35,1418
Shasta,8/14/2020,4,567,18,446
Sierra,8/14/2020,0,7,0,5
Siskiyou,8/14/2020,0,116,3,98
Solano,8/14/2020,37,5047,116,4421
Sonoma,8/14/2020,74,4951,185,4087
Stanislaus,8/14/2020,132,13983,426,12379
Sutter,8/14/2020,21,1163,47,1039
Tehama,8/14/2020,10,358,3,305
Trinity,8/14/2020,0,8,0,6
Tulare,8/14/2020,143,13114,317,12009
Tuolumne,8/14/2020,1,168,3,155
Ventura,8/14/2020,89,10017,199,9313
Yolo,8/14/2020,27,2222,53,1991
Yuba,8/14/2020,16,714,38,606
Alameda,8/13/2020,207,16438,171,14385
Alpine,8/13/2020,0,2,0,2
Amador,8/13/2020,3,260,1,198
Butte,8/13/2020,28,1489,28,1345
Calaveras,8/13/2020,3,191,5,162
California,8/13/2020,5306,664102,7934,601075
Colusa,8/13/2020,5,428,1,395
Contra Costa,8/13/2020,146,12722,241,10545
Del Norte,8/13/2020,1,103,0,74
El Dorado,8/13/2020,18,913,9,803
Fresno,8/13/2020,218,24929,467,19157
Glenn,8/13/2020,3,420,4,392
Humboldt,8/13/2020,6,328,0,281
Imperial,8/13/2020,23,10678,74,8640
Inyo,8/13/2020,17,144,0,97
Kern,8/13/2020,190,27872,281,25472
Kings,8/13/2020,39,5573,88,4824
Lake,8/13/2020,2,283,10,263
Lassen,8/13/2020,1,710,1,652
Los Angeles,8/13/2020,1559,223952,1955,216497
Madera,8/13/2020,34,3432,-6,2675
Marin,8/13/2020,22,5851,80,5503
Mariposa,8/13/2020,0,69,0,61
Mendocino,8/13/2020,17,493,15,401
Merced,8/13/2020,62,7132,168,5945
Modoc,8/13/2020,0,6,0,5
Mono,8/13/2020,1,163,0,124
Monterey,8/13/2020,104,6966,6,5925
Napa,8/13/2020,9,1340,18,1179
Nevada,8/13/2020,6,408,5,362
Orange,8/13/2020,250,47240,443,42019
Placer,8/13/2020,34,2728,43,2460
Plumas,8/13/2020,0,38,1,32
Riverside,8/13/2020,352,50043,580,45327
Sacramento,8/13/2020,216,15991,709,13237
San Benito,8/13/2020,14,877,6,757
San Bernardino,8/13/2020,340,45369,584,39395
San Diego,8/13/2020,209,35867,266,33661
San Francisco,8/13/2020,84,8603,83,7277
San Joaquin,8/13/2020,140,16830,383,14537
San Luis Obispo,8/13/2020,25,2630,20,2283
San Mateo,8/13/2020,90,7483,76,6503
Santa Barbara,8/13/2020,60,7898,80,7129
Santa Clara,8/13/2020,174,15739,255,13257
Santa Cruz,8/13/2020,30,1587,1,1383
Shasta,8/13/2020,5,563,11,428
Sierra,8/13/2020,1,7,1,5
Siskiyou,8/13/2020,1,116,5,95
Solano,8/13/2020,46,5010,47,4305
Sonoma,8/13/2020,78,4877,55,3902
