county,date,total_doses
Fresno,3/10/2021,4858
Glenn,3/10/2021,99
Humboldt,3/10/2021,573
Imperial,3/10/2021,301
Inyo,3/10/2021,48
Kern,3/10/2021,5128
Kings,3/10/2021,351
Lake,3/10/2021,157
Lassen,3/10/2021,150
Los Angeles,3/10/2021,55307
Madera,3/10/2021,797
Marin,3/10/2021,2919
Mariposa,3/10/2021,16
Mendocino,3/10/2021,816
Merced,3/10/2021,1783
Modoc,3/10/2021,5
Mono,3/10/2021,4
Monterey,3/10/2021,1871
Napa,3/10/2021,841
Nevada,3/10/2021,651
Orange,3/10/2021,17673
Placer,3/10/2021,1991
Plumas,3/10/2021,195
Riverside,3/10/2021,9540
Sacramento,3/10/2021,8342
San Benito,3/10/2021,338
San Bernardino,3/10/2021,8047
San Diego,3/10/2021,24019
San Francisco,3/10/2021,9003
San Joaquin,3/10/2021,4256
San Luis Obispo,3/10/2021,2509
San Mateo,3/10/2021,4826
Santa Barbara,3/10/2021,1195
Santa Clara,3/10/2021,11110
Santa Cruz,3/10/2021,2304
Shasta,3/10/2021,531
Sierra,3/10/2021,4
Siskiyou,3/10/2021,145
Solano,3/10/2021,1823
Sonoma,3/10/2021,3934
Stanislaus,3/10/2021,5115
Sutter,3/10/2021,174
Tehama,3/10/2021,301
Trinity,3/10/2021,107
Tulare,3/10/2021,2078
Tuolumne,3/10/2021,76
Ventura,3/10/2021,1971
Yolo,3/10/2021,952
Yuba,3/10/2021,145
Alameda,3/9/2021,10509
Alpine,3/9/2021,1
Amador,3/9/2021,92
Butte,3/9/2021,1651
Calaveras,3/9/2021,184
Colusa,3/9/2021,196
Contra Costa,3/9/2021,7923
Del Norte,3/9/2021,100
El Dorado,3/9/2021,735
Fresno,3/9/2021,5460
Glenn,3/9/2021,55
Humboldt,3/9/2021,399
Imperial,3/9/2021,402
Inyo,3/9/2021,176
Kern,3/9/2021,3026
Kings,3/9/2021,316
Lake,3/9/2021,169
Lassen,3/9/2021,110
Los Angeles,3/9/2021,46127
Madera,3/9/2021,366
Marin,3/9/2021,1395
Mariposa,3/9/2021,22
Mendocino,3/9/2021,321
Merced,3/9/2021,1166
Modoc,3/9/2021,113
Mono,3/9/2021,5
Monterey,3/9/2021,1478
Napa,3/9/2021,496
Nevada,3/9/2021,434
Orange,3/9/2021,17542
Placer,3/9/2021,1798
Plumas,3/9/2021,123
Riverside,3/9/2021,8874
Sacramento,3/9/2021,6748
San Benito,3/9/2021,223
San Bernardino,3/9/2021,7917
San Diego,3/9/2021,24711
San Francisco,3/9/2021,6374
San Joaquin,3/9/2021,3672
San Luis Obispo,3/9/2021,2671
San Mateo,3/9/2021,4222
Santa Barbara,3/9/2021,1249
Santa Clara,3/9/2021,10359
Santa Cruz,3/9/2021,1339
Shasta,3/9/2021,448
Sierra,3/9/2021,53
Siskiyou,3/9/2021,70
Solano,3/9/2021,1656
Sonoma,3/9/2021,3838
Stanislaus,3/9/2021,2365
Sutter,3/9/2021,214
Tehama,3/9/2021,266
Trinity,3/9/2021,92
Tulare,3/9/2021,1694
Tuolumne,3/9/2021,857
Ventura,3/9/2021,2338
Yolo,3/9/2021,749
Yuba,3/9/2021,127
Alameda,3/8/2021,10405
