county,date,labor_force,employment,unemployment,unemployment_rate
San Francisco ,6/1/2020,555000,488300,66700,0.12
San Joaquin ,6/1/2020,333900,285400,48500,0.145
San Luis Obispo ,6/1/2020,132400,117900,14600,0.11
San Mateo ,6/1/2020,430000,385000,45000,0.105
Santa Barbara ,6/1/2020,216800,193600,23200,0.107
Santa Clara ,6/1/2020,1017300,912500,104800,0.103
Santa Cruz ,6/1/2020,134300,117900,16300,0.122
Shasta ,6/1/2020,73500,65700,7800,0.106
Sierra ,6/1/2020,1300,1170,120,0.095
Siskiyou ,6/1/2020,17220,15340,1880,0.109
Solano ,6/1/2020,202400,176200,26100,0.129
Sonoma ,6/1/2020,245300,217200,28100,0.114
Stanislaus ,6/1/2020,240800,207900,32900,0.137
Sutter ,6/1/2020,46500,40500,5900,0.128
Tehama ,6/1/2020,25670,22910,2760,0.107
Trinity ,6/1/2020,4610,4200,410,0.089
Tulare ,6/1/2020,202500,172100,30400,0.15
Tuolumne ,6/1/2020,20100,17300,2800,0.139
Ventura ,6/1/2020,410500,361500,49000,0.119
Yolo ,6/1/2020,104100,93800,10200,0.098
Yuba ,6/1/2020,30400,26500,3800,0.127
Alameda ,5/1/2020,800600,689800,110900,0.138
Alpine ,5/1/2020,450,350,100,0.228
Amador ,5/1/2020,14030,11870,2150,0.153
Butte ,5/1/2020,91400,79300,12100,0.133
Calaveras ,5/1/2020,20570,18170,2390,0.116
Colusa ,5/1/2020,10140,8170,1970,0.194
Contra Costa ,5/1/2020,532300,457900,74500,0.14
Del Norte ,5/1/2020,9100,7880,1220,0.134
El Dorado ,5/1/2020,90600,77100,13500,0.149
Fresno ,5/1/2020,444200,376700,67500,0.152
Glenn ,5/1/2020,12570,11100,1470,0.117
Humboldt ,5/1/2020,58200,50700,7500,0.129
Imperial ,5/1/2020,72000,52200,19800,0.275
Inyo ,5/1/2020,8030,7030,1000,0.125
Kern ,5/1/2020,382900,318200,64600,0.169
Kings ,5/1/2020,57600,49100,8600,0.149
Lake ,5/1/2020,27810,23860,3950,0.142
Lassen ,5/1/2020,9300,8410,890,0.095
