,county,date,confirmed_patients,suspected_patients,total_covid_patients
11687,Mariposa,2020-10-23,0,0,0
11688,Merced,2020-10-23,7,2,9
11689,Del Norte,2020-10-23,1,0,1
11690,Santa Cruz,2020-10-23,11,0,11
11691,Calaveras,2020-10-23,0,0,0
11692,Placer,2020-10-23,15,10,25
11693,Madera,2020-10-23,6,5,11
11694,Monterey,2020-10-23,21,0,21
11695,San Mateo,2020-10-23,22,10,32
11696,Lake,2020-10-23,2,1,3
11697,Alameda,2020-10-23,55,46,101
11698,Contra Costa,2020-10-23,24,9,33
11699,Tehama,2020-10-23,6,0,6
11700,San Diego,2020-10-23,185,50,235
11701,Napa,2020-10-24,1,0,1
11702,El Dorado,2020-10-24,0,0,0
11703,Alameda,2020-10-24,54,27,81
11704,Tulare,2020-10-24,27,1,28
11705,Monterey,2020-10-24,22,1,23
11706,Santa Barbara,2020-10-24,9,0,9
11707,Ventura,2020-10-24,27,14,41
11708,Mariposa,2020-10-24,0,0,0
11709,Contra Costa,2020-10-24,23,13,36
11710,Marin,2020-10-24,3,9,12
11711,San Benito,2020-10-24,0,0,0
11712,Mono,2020-10-24,0,0,0
11713,Riverside,2020-10-24,151,53,204
11714,Plumas,2020-10-24,0,0,0
11715,Glenn,2020-10-24,0,0,0
11716,Kings,2020-10-24,20,0,20
11717,Trinity,2020-10-24,0,0,0
11718,Solano,2020-10-24,21,7,28
11719,Fresno,2020-10-24,96,21,117
11720,Colusa,2020-10-24,0,0,0
11721,Placer,2020-10-24,13,12,25
11722,Tuolumne,2020-10-24,2,0,2
11723,Yolo,2020-10-24,9,0,9
11724,San Francisco,2020-10-24,23,5,28
11725,Sutter,2020-10-24,0,0,0
11726,Stanislaus,2020-10-24,46,15,61
11727,Sonoma,2020-10-24,24,4,28
11728,Del Norte,2020-10-24,1,0,1
11729,Orange,2020-10-24,150,33,183
11730,Lake,2020-10-24,2,3,5
11731,San Joaquin,2020-10-24,33,4,37
11732,Los Angeles,2020-10-24,767,294,1061
11733,San Diego,2020-10-24,166,42,208
11734,Humboldt,2020-10-24,4,2,6
11735,Kern,2020-10-24,53,3,56
11736,Calaveras,2020-10-24,0,0,0
11737,Madera,2020-10-24,7,12,19
11738,San Luis Obispo,2020-10-24,7,4,11
11739,Imperial,2020-10-24,43,0,43
11740,Modoc,2020-10-24,1,0,1
11741,Tehama,2020-10-24,6,0,6
11742,San Bernardino,2020-10-24,203,60,263
11743,Inyo,2020-10-24,0,0,0
11744,Nevada,2020-10-24,2,2,4
11745,Santa Cruz,2020-10-24,10,0,10
11746,Siskiyou,2020-10-24,0,0,0
11747,San Mateo,2020-10-24,21,12,33
11748,Mendocino,2020-10-24,1,0,1
11749,Santa Clara,2020-10-24,84,29,113
11750,Butte,2020-10-24,5,0,5
11751,Lassen,2020-10-24,0,0,0
11752,Shasta,2020-10-24,10,1,11
11753,Yuba,2020-10-24,6,1,7
11754,Amador,2020-10-24,3,0,3
11755,Merced,2020-10-24,7,2,9
11756,Sacramento,2020-10-24,91,29,120
11757,Siskiyou,2020-10-25,0,0,0
11758,Tulare,2020-10-25,30,3,33
11759,Yuba,2020-10-25,5,0,5
11760,Riverside,2020-10-25,164,60,224
11761,Orange,2020-10-25,162,46,208
11762,Imperial,2020-10-25,41,0,41
11763,Plumas,2020-10-25,0,0,0
11764,Fresno,2020-10-25,88,11,99
11765,San Benito,2020-10-25,0,0,0
11766,Butte,2020-10-25,6,0,6
11767,Merced,2020-10-25,6,2,8
11768,Glenn,2020-10-25,0,0,0
11769,Mono,2020-10-25,0,1,1
11770,Inyo,2020-10-25,0,0,0
11771,Kings,2020-10-25,21,0,21
11772,San Mateo,2020-10-25,21,9,30
11773,Amador,2020-10-25,3,0,3
11774,Tuolumne,2020-10-25,1,0,1
11775,San Bernardino,2020-10-25,219,42,261
11776,Marin,2020-10-25,6,3,9
11777,Contra Costa,2020-10-25,24,12,36
11778,Madera,2020-10-25,11,10,21
11779,Calaveras,2020-10-25,0,0,0
11780,San Joaquin,2020-10-25,29,3,32
11781,Shasta,2020-10-25,10,2,12
11782,Tehama,2020-10-25,6,0,6
11783,Colusa,2020-10-25,0,0,0
11784,Nevada,2020-10-25,2,1,3
11785,Sutter,2020-10-25,0,0,0
11786,Santa Clara,2020-10-25,85,29,114
11787,San Luis Obispo,2020-10-25,7,1,8
11788,Lake,2020-10-25,2,4,6
11789,Mariposa,2020-10-25,0,0,0
11790,Santa Cruz,2020-10-25,10,0,10
11791,Santa Barbara,2020-10-25,11,1,12
11792,Los Angeles,2020-10-25,747,291,1038
11793,Alameda,2020-10-25,56,38,94
11794,Sonoma,2020-10-25,26,2,28
11795,Placer,2020-10-25,13,16,29
11796,Kern,2020-10-25,48,1,49
11797,El Dorado,2020-10-25,1,1,2
11798,San Diego,2020-10-25,162,45,207
11799,Trinity,2020-10-25,0,0,0
11800,Ventura,2020-10-25,21,12,33
11801,Humboldt,2020-10-25,4,2,6
11802,Del Norte,2020-10-25,1,0,1
11803,Modoc,2020-10-25,0,1,1
11804,Solano,2020-10-25,23,11,34
11805,Yolo,2020-10-25,7,0,7
11806,Stanislaus,2020-10-25,53,21,74
11807,Monterey,2020-10-25,30,3,33
11808,Mendocino,2020-10-25,2,0,2
11809,Lassen,2020-10-25,0,0,0
11810,Sacramento,2020-10-25,88,24,112
11811,San Francisco,2020-10-25,28,2,30
11812,Napa,2020-10-25,1,0,1
11813,Tulare,2020-10-26,32,6,38
11814,Colusa,2020-10-26,0,0,0
11815,San Francisco,2020-10-26,29,3,32
11816,Plumas,2020-10-26,0,0,0
11817,Inyo,2020-10-26,0,0,0
11818,Ventura,2020-10-26,26,11,37
11819,Santa Barbara,2020-10-26,11,1,12
11820,San Benito,2020-10-26,0,0,0
11821,Del Norte,2020-10-26,1,0,1
11822,Tehama,2020-10-26,6,0,6
11823,Kings,2020-10-26,22,0,22
11824,San Bernardino,2020-10-26,217,42,259
11825,Glenn,2020-10-26,0,0,0
11826,Monterey,2020-10-26,29,0,29
11827,Orange,2020-10-26,157,46,203
11828,Madera,2020-10-26,11,4,15
11829,Marin,2020-10-26,5,1,6
11830,Placer,2020-10-26,15,16,31
11831,San Mateo,2020-10-26,20,6,26
11832,Calaveras,2020-10-26,0,0,0
11833,Stanislaus,2020-10-26,54,14,68
11834,San Diego,2020-10-26,176,49,225
11835,Lake,2020-10-26,2,0,2
11836,Modoc,2020-10-26,0,0,0
11837,Tuolumne,2020-10-26,1,0,1
11838,Mono,2020-10-26,0,1,1
11839,Mariposa,2020-10-26,0,0,0
11840,Sacramento,2020-10-26,84,22,106
11841,Lassen,2020-10-26,0,0,0
11842,Alameda,2020-10-26,58,31,89
11843,Sonoma,2020-10-26,30,4,34
11844,Amador,2020-10-26,4,0,4
11845,Fresno,2020-10-26,95,12,107
11846,Contra Costa,2020-10-26,26,12,38
11847,Butte,2020-10-26,8,0,8
11848,Trinity,2020-10-26,0,0,0
11849,Nevada,2020-10-26,1,3,4
11850,Santa Clara,2020-10-26,86,36,122
11851,Riverside,2020-10-26,166,51,217
11852,Imperial,2020-10-26,43,0,43
11853,Sutter,2020-10-26,0,0,0
11854,Siskiyou,2020-10-26,3,0,3
11855,Shasta,2020-10-26,11,0,11
11856,Kern,2020-10-26,47,0,47
11857,Humboldt,2020-10-26,2,2,4
11858,Los Angeles,2020-10-26,755,276,1031
11859,San Luis Obispo,2020-10-26,6,2,8
11860,El Dorado,2020-10-26,1,1,2
11861,Napa,2020-10-26,6,0,6
11862,Yuba,2020-10-26,5,0,5
11863,Solano,2020-10-26,29,11,40
11864,Merced,2020-10-26,8,0,8
11865,Yolo,2020-10-26,7,0,7
11866,Santa Cruz,2020-10-26,10,0,10
11867,San Joaquin,2020-10-26,28,3,31
11868,Mendocino,2020-10-26,1,0,1
11869,Orange,2020-10-27,177,36,213
11870,Butte,2020-10-27,10,0,10
11871,Modoc,2020-10-27,0,0,0
11872,Inyo,2020-10-27,0,0,0
11873,Riverside,2020-10-27,148,48,196
11874,Glenn,2020-10-27,0,0,0
11875,San Mateo,2020-10-27,18,3,21
11876,Mariposa,2020-10-27,0,0,0
11877,San Francisco,2020-10-27,31,1,32
11878,Tehama,2020-10-27,6,1,7
11879,Yuba,2020-10-27,7,0,7
11880,San Bernardino,2020-10-27,233,35,268
11881,Fresno,2020-10-27,96,16,112
11882,Contra Costa,2020-10-27,33,10,43
11883,Imperial,2020-10-27,44,0,44
11884,Madera,2020-10-27,12,10,22
11885,Alameda,2020-10-27,58,34,92
11886,Solano,2020-10-27,27,11,38
11887,San Benito,2020-10-27,0,0,0
11888,Santa Clara,2020-10-27,79,26,105
11889,Trinity,2020-10-27,0,0,0
11890,Tulare,2020-10-27,33,6,39
11891,Lake,2020-10-27,2,0,2
11892,Amador,2020-10-27,2,0,2
11893,Mendocino,2020-10-27,0,0,0
11894,Tuolumne,2020-10-27,1,0,1
11895,Napa,2020-10-27,7,0,7
11896,Merced,2020-10-27,5,1,6
11897,Kern,2020-10-27,46,1,47
11898,Plumas,2020-10-27,0,0,0
11899,Lassen,2020-10-27,0,1,1
11900,San Diego,2020-10-27,182,59,241
11901,Yolo,2020-10-27,8,0,8
11902,Shasta,2020-10-27,9,1,10
11903,Siskiyou,2020-10-27,2,0,2
11904,Sutter,2020-10-27,0,0,0
11905,Colusa,2020-10-27,0,0,0
11906,Humboldt,2020-10-27,2,1,3
11907,Sacramento,2020-10-27,76,20,96
11908,San Joaquin,2020-10-27,26,4,30
11909,Calaveras,2020-10-27,0,0,0
11910,Stanislaus,2020-10-27,59,21,80
11911,San Luis Obispo,2020-10-27,7,0,7
11912,Del Norte,2020-10-27,1,0,1
11913,El Dorado,2020-10-27,1,1,2
11914,Sonoma,2020-10-27,27,8,35
11915,Marin,2020-10-27,5,3,8
11916,Placer,2020-10-27,18,14,32
11917,Nevada,2020-10-27,1,1,2
11918,Ventura,2020-10-27,28,14,42
11919,Santa Cruz,2020-10-27,9,0,9
11920,Santa Barbara,2020-10-27,11,0,11
11921,Mono,2020-10-27,0,1,1
11922,Kings,2020-10-27,19,0,19
11923,Monterey,2020-10-27,26,1,27
11924,Los Angeles,2020-10-27,750,267,1017
11925,Amador,2020-10-28,2,0,2
11926,Glenn,2020-10-28,0,0,0
11927,Plumas,2020-10-28,0,0,0
11928,Humboldt,2020-10-28,2,1,3
11929,Marin,2020-10-28,7,4,11
11930,San Bernardino,2020-10-28,231,43,274
11931,Solano,2020-10-28,22,9,31
11932,Monterey,2020-10-28,29,1,30
11933,Santa Clara,2020-10-28,82,24,106
11934,Madera,2020-10-28,12,9,21
11935,Fresno,2020-10-28,94,12,106
11936,Colusa,2020-10-28,0,0,0
11937,Kings,2020-10-28,13,0,13
11938,San Benito,2020-10-28,0,0,0
11939,San Joaquin,2020-10-28,29,5,34
11940,Merced,2020-10-28,7,0,7
11941,Napa,2020-10-28,4,0,4
11942,San Mateo,2020-10-28,15,9,24
11943,Trinity,2020-10-28,0,0,0
11944,Lassen,2020-10-28,0,0,0
11945,Calaveras,2020-10-28,0,0,0
11946,Santa Barbara,2020-10-28,9,1,10
11947,Lake,2020-10-28,2,0,2
11948,Butte,2020-10-28,10,0,10
11949,Shasta,2020-10-28,8,0,8
11950,Kern,2020-10-28,43,5,48
11951,Tulare,2020-10-28,36,6,42
11952,Imperial,2020-10-28,49,0,49
11953,Sacramento,2020-10-28,83,26,109
11954,Riverside,2020-10-28,149,63,212
11955,Stanislaus,2020-10-28,58,17,75
11956,Tehama,2020-10-28,6,0,6
11957,Sutter,2020-10-28,0,0,0
11958,Modoc,2020-10-28,0,0,0
11959,Contra Costa,2020-10-28,31,12,43
11960,Sonoma,2020-10-28,28,3,31
11961,Nevada,2020-10-28,2,0,2
11962,Los Angeles,2020-10-28,743,290,1033
11963,Siskiyou,2020-10-28,3,0,3
11964,San Diego,2020-10-28,187,48,235
11965,Yuba,2020-10-28,8,0,8
11966,Placer,2020-10-28,22,23,45
11967,Mono,2020-10-28,0,0,0
11968,Del Norte,2020-10-28,1,0,1
11969,Santa Cruz,2020-10-28,8,0,8
11970,San Luis Obispo,2020-10-28,6,0,6
11971,Tuolumne,2020-10-28,5,0,5
11972,El Dorado,2020-10-28,1,1,2
11973,Ventura,2020-10-28,27,15,42
11974,Yolo,2020-10-28,9,0,9
11975,San Francisco,2020-10-28,35,1,36
11976,Mendocino,2020-10-28,0,0,0
11977,Alameda,2020-10-28,58,41,99
11978,Orange,2020-10-28,181,56,237
11979,Inyo,2020-10-28,1,0,1
11980,Mariposa,2020-10-28,0,0,0
11981,Nevada,2020-10-29,2,1,3
11982,Placer,2020-10-29,24,17,41
11983,Marin,2020-10-29,6,12,18
11984,Monterey,2020-10-29,26,0,26
11985,San Luis Obispo,2020-10-29,6,0,6
11986,Trinity,2020-10-29,0,0,0
11987,Fresno,2020-10-29,87,12,99
11988,Tehama,2020-10-29,6,0,6
11989,Amador,2020-10-29,2,0,2
11990,Ventura,2020-10-29,25,14,39
11991,Santa Clara,2020-10-29,79,19,98
11992,Sutter,2020-10-29,0,0,0
11993,Madera,2020-10-29,11,9,20
11994,Butte,2020-10-29,9,0,9
11995,Napa,2020-10-29,6,0,6
11996,Lassen,2020-10-29,0,0,0
11997,Stanislaus,2020-10-29,68,27,95
11998,Lake,2020-10-29,3,2,5
11999,Alameda,2020-10-29,57,34,91
12000,Riverside,2020-10-29,150,64,214
12001,Calaveras,2020-10-29,0,0,0
12002,Humboldt,2020-10-29,3,0,3
12003,San Francisco,2020-10-29,37,2,39
12004,Sonoma,2020-10-29,28,5,33
12005,San Mateo,2020-10-29,22,7,29
12006,Mono,2020-10-29,0,0,0
12007,Santa Cruz,2020-10-29,8,0,8
12008,Mendocino,2020-10-29,0,0,0
12009,Yolo,2020-10-29,10,0,10
12010,Modoc,2020-10-29,0,0,0
12011,Glenn,2020-10-29,0,0,0
12012,Siskiyou,2020-10-29,4,0,4
12013,Shasta,2020-10-29,11,2,13
12014,Yuba,2020-10-29,8,0,8
12015,El Dorado,2020-10-29,1,0,1
12016,Merced,2020-10-29,7,3,10
12017,San Benito,2020-10-29,0,0,0
12018,Kings,2020-10-29,15,1,16
12019,Inyo,2020-10-29,1,0,1
12020,Del Norte,2020-10-29,1,0,1
12021,Orange,2020-10-29,182,51,233
12022,Kern,2020-10-29,44,2,46
12023,Santa Barbara,2020-10-29,9,1,10
12024,Sacramento,2020-10-29,85,21,106
12025,Tuolumne,2020-10-29,6,0,6
12026,Plumas,2020-10-29,0,0,0
12027,Mariposa,2020-10-29,0,0,0
12028,Imperial,2020-10-29,45,1,46
12029,San Bernardino,2020-10-29,233,40,273
12030,Los Angeles,2020-10-29,783,281,1064
12031,Contra Costa,2020-10-29,32,10,42
12032,Solano,2020-10-29,24,10,34
12033,Colusa,2020-10-29,0,0,0
12034,Tulare,2020-10-29,42,9,51
12035,San Joaquin,2020-10-29,25,13,38
12036,San Diego,2020-10-29,197,48,245
12037,Mariposa,2020-10-30,0,0,0
12038,Solano,2020-10-30,29,10,39
12039,Trinity,2020-10-30,0,0,0
12040,Santa Barbara,2020-10-30,9,1,10
12041,Santa Cruz,2020-10-30,12,0,12
12042,Ventura,2020-10-30,27,11,38
12043,Napa,2020-10-30,4,1,5
12044,Tulare,2020-10-30,44,7,51
12045,Mono,2020-10-30,0,0,0
12046,Sacramento,2020-10-30,81,25,106
12047,San Bernardino,2020-10-30,248,51,299
12048,San Francisco,2020-10-30,35,5,40
12049,Marin,2020-10-30,5,5,10
12050,San Benito,2020-10-30,0,0,0
12051,Inyo,2020-10-30,0,0,0
12052,El Dorado,2020-10-30,2,0,2
12053,Yolo,2020-10-30,8,0,8
12054,Lake,2020-10-30,3,1,4
12055,Contra Costa,2020-10-30,34,9,43
12056,Sonoma,2020-10-30,22,4,26
12057,Calaveras,2020-10-30,0,0,0
12058,Lassen,2020-10-30,0,0,0
12059,Sutter,2020-10-30,0,0,0
12060,Siskiyou,2020-10-30,2,0,2
12061,San Joaquin,2020-10-30,28,8,36
12062,Stanislaus,2020-10-30,70,14,84
12063,San Diego,2020-10-30,212,40,252
12064,Kern,2020-10-30,53,5,58
12065,Alameda,2020-10-30,68,42,110
12066,Plumas,2020-10-30,0,0,0
12067,Madera,2020-10-30,10,7,17
12068,Mendocino,2020-10-30,0,0,0
12069,Humboldt,2020-10-30,3,0,3
12070,Glenn,2020-10-30,0,0,0
12071,Tuolumne,2020-10-30,3,0,3
12072,Del Norte,2020-10-30,1,0,1
12073,Los Angeles,2020-10-30,799,295,1094
12074,Modoc,2020-10-30,0,1,1
12075,Butte,2020-10-30,7,0,7
12076,Imperial,2020-10-30,44,0,44
12077,Colusa,2020-10-30,0,0,0
12078,Kings,2020-10-30,17,1,18
12079,Fresno,2020-10-30,94,11,105
12080,Riverside,2020-10-30,157,57,214
12081,Tehama,2020-10-30,5,0,5
12082,Merced,2020-10-30,9,0,9
12083,Nevada,2020-10-30,2,0,2
12084,Shasta,2020-10-30,8,3,11
12085,San Mateo,2020-10-30,24,6,30
12086,Yuba,2020-10-30,8,1,9
12087,San Luis Obispo,2020-10-30,7,2,9
12088,Placer,2020-10-30,27,15,42
12089,Amador,2020-10-30,0,0,0
12090,Monterey,2020-10-30,25,0,25
12091,Santa Clara,2020-10-30,91,13,104
12092,Orange,2020-10-30,188,36,224
12093,Modoc,2020-10-31,0,2,2
12094,Inyo,2020-10-31,0,0,0
12095,Butte,2020-10-31,7,1,8
12096,Santa Clara,2020-10-31,83,9,92
12097,Plumas,2020-10-31,0,0,0
12098,Contra Costa,2020-10-31,35,11,46
12099,San Luis Obispo,2020-10-31,7,2,9
12100,Shasta,2020-10-31,9,0,9
12101,San Benito,2020-10-31,0,0,0
12102,Placer,2020-10-31,30,16,46
12103,Amador,2020-10-31,0,0,0
12104,Monterey,2020-10-31,25,0,25
12105,Kings,2020-10-31,12,3,15
12106,Sutter,2020-10-31,0,0,0
12107,Riverside,2020-10-31,156,56,212
12108,Fresno,2020-10-31,96,14,110
12109,Colusa,2020-10-31,0,2,2
12110,Mendocino,2020-10-31,1,0,1
12111,Yolo,2020-10-31,8,0,8
12112,Mono,2020-10-31,0,0,0
12113,Trinity,2020-10-31,0,0,0
12114,Tehama,2020-10-31,5,0,5
12115,Calaveras,2020-10-31,0,0,0
12116,Humboldt,2020-10-31,2,0,2
12117,Kern,2020-10-31,51,6,57
12118,San Francisco,2020-10-31,34,4,38
12119,Sonoma,2020-10-31,20,6,26
12120,Nevada,2020-10-31,1,1,2
12121,Madera,2020-10-31,8,10,18
12122,San Mateo,2020-10-31,19,12,31
12123,Lassen,2020-10-31,0,0,0
12124,Los Angeles,2020-10-31,777,302,1079
12125,Merced,2020-10-31,5,0,5
12126,Mariposa,2020-10-31,0,0,0
12127,Santa Cruz,2020-10-31,11,0,11
12128,Lake,2020-10-31,3,1,4
12129,Yuba,2020-10-31,5,1,6
12130,Sacramento,2020-10-31,77,25,102
12131,Marin,2020-10-31,6,9,15
12132,San Diego,2020-10-31,244,36,280
12133,Napa,2020-10-31,3,3,6
12134,San Bernardino,2020-10-31,241,47,288
12135,Alameda,2020-10-31,62,49,111
12136,Stanislaus,2020-10-31,66,18,84
12137,Tulare,2020-10-31,40,5,45
12138,Siskiyou,2020-10-31,1,0,1
12139,San Joaquin,2020-10-31,24,6,30
12140,Del Norte,2020-10-31,0,0,0
12141,Glenn,2020-10-31,0,0,0
12142,El Dorado,2020-10-31,2,0,2
12143,Solano,2020-10-31,30,11,41
12144,Santa Barbara,2020-10-31,10,1,11
12145,Imperial,2020-10-31,50,0,50
12146,Tuolumne,2020-10-31,3,0,3
12147,Ventura,2020-10-31,24,14,38
12148,Orange,2020-10-31,181,36,217
12149,Calaveras,2020-11-01,0,0,0
12150,Tehama,2020-11-01,5,0,5
12151,San Joaquin,2020-11-01,30,7,37
12152,Solano,2020-11-01,25,13,38
12153,Merced,2020-11-01,6,0,6
12154,Nevada,2020-11-01,1,1,2
12155,Ventura,2020-11-01,29,14,43
12156,El Dorado,2020-11-01,4,0,4
12157,Shasta,2020-11-01,8,0,8
12158,Kern,2020-11-01,46,4,50
12159,Yuba,2020-11-01,3,0,3
12160,Lake,2020-11-01,3,1,4
12161,Tulare,2020-11-01,37,10,47
12162,Butte,2020-11-01,9,1,10
12163,San Luis Obispo,2020-11-01,7,1,8
12164,San Diego,2020-11-01,239,61,300
12165,San Bernardino,2020-11-01,242,61,303
12166,Los Angeles,2020-11-01,798,258,1056
12167,Santa Barbara,2020-11-01,10,1,11
12168,Sacramento,2020-11-01,85,30,115
12169,Santa Cruz,2020-11-01,12,0,12
12170,Yolo,2020-11-01,5,0,5
12171,Santa Clara,2020-11-01,85,15,100
12172,Mono,2020-11-01,0,0,0
12173,Tuolumne,2020-11-01,3,0,3
12174,Imperial,2020-11-01,49,0,49
12175,Modoc,2020-11-01,0,0,0
12176,Lassen,2020-11-01,0,0,0
12177,Colusa,2020-11-01,0,2,2
12178,Monterey,2020-11-01,25,2,27
12179,Plumas,2020-11-01,0,0,0
12180,Napa,2020-11-01,3,0,3
12181,Contra Costa,2020-11-01,35,17,52
12182,Siskiyou,2020-11-01,1,0,1
12183,San Benito,2020-11-01,0,0,0
12184,Amador,2020-11-01,0,0,0
12185,Inyo,2020-11-01,0,0,0
12186,Del Norte,2020-11-01,0,0,0
12187,Sonoma,2020-11-01,20,4,24
12188,Stanislaus,2020-11-01,71,22,93
12189,Marin,2020-11-01,5,12,17
12190,Trinity,2020-11-01,0,0,0
12191,Fresno,2020-11-01,102,7,109
12192,Orange,2020-11-01,183,18,201
12193,Riverside,2020-11-01,179,52,231
12194,Madera,2020-11-01,8,10,18
12195,Alameda,2020-11-01,63,46,109
12196,Sutter,2020-11-01,0,0,0
12197,San Mateo,2020-11-01,17,10,27
12198,Placer,2020-11-01,31,17,48
12199,San Francisco,2020-11-01,37,3,40
12200,Mendocino,2020-11-01,1,0,1
12201,Kings,2020-11-01,12,3,15
12202,Mariposa,2020-11-01,0,0,0
12203,Glenn,2020-11-01,0,0,0
12204,Humboldt,2020-11-01,3,1,4
12205,Placer,2020-11-02,30,16,46
12206,Monterey,2020-11-02,28,0,28
12207,Fresno,2020-11-02,106,14,120
12208,Trinity,2020-11-02,0,0,0
12209,Lassen,2020-11-02,0,0,0
12210,Mendocino,2020-11-02,1,0,1
12211,Imperial,2020-11-02,48,0,48
12212,Napa,2020-11-02,3,1,4
12213,Yuba,2020-11-02,4,0,4
12214,Kern,2020-11-02,46,2,48
12215,Contra Costa,2020-11-02,40,18,58
12216,Lake,2020-11-02,2,1,3
12217,Santa Clara,2020-11-02,91,21,112
12218,Sonoma,2020-11-02,23,2,25
12219,San Mateo,2020-11-02,17,13,30
12220,Merced,2020-11-02,8,0,8
12221,Madera,2020-11-02,8,8,16
12222,Amador,2020-11-02,0,0,0
12223,Tulare,2020-11-02,39,9,48
12224,Tehama,2020-11-02,3,0,3
12225,Butte,2020-11-02,9,1,10
12226,Ventura,2020-11-02,29,9,38
12227,Glenn,2020-11-02,0,0,0
12228,Santa Barbara,2020-11-02,13,1,14
12229,Del Norte,2020-11-02,0,0,0
12230,Yolo,2020-11-02,7,0,7
12231,San Bernardino,2020-11-02,243,54,297
12232,Modoc,2020-11-02,0,0,0
12233,Riverside,2020-11-02,194,56,250
12234,Orange,2020-11-02,177,37,214
12235,San Diego,2020-11-02,239,52,291
12236,Tuolumne,2020-11-02,3,0,3
12237,San Luis Obispo,2020-11-02,7,0,7
12238,Calaveras,2020-11-02,0,0,0
12239,Marin,2020-11-02,5,9,14
12240,Inyo,2020-11-02,0,0,0
12241,Plumas,2020-11-02,0,0,0
12242,Kings,2020-11-02,11,4,15
12243,San Francisco,2020-11-02,36,2,38
12244,Sutter,2020-11-02,0,0,0
12245,Colusa,2020-11-02,0,2,2
12246,Humboldt,2020-11-02,2,0,2
12247,Siskiyou,2020-11-02,2,0,2
12248,Solano,2020-11-02,27,11,38
12249,Mono,2020-11-02,0,0,0
12250,San Benito,2020-11-02,2,0,2
12251,Sacramento,2020-11-02,86,23,109
12252,Nevada,2020-11-02,2,0,2
12253,Stanislaus,2020-11-02,74,24,98
12254,El Dorado,2020-11-02,2,0,2
12255,Santa Cruz,2020-11-02,12,0,12
12256,Alameda,2020-11-02,69,41,110
12257,Shasta,2020-11-02,9,0,9
12258,Los Angeles,2020-11-02,817,229,1046
12259,Mariposa,2020-11-02,0,0,0
12260,San Joaquin,2020-11-02,28,8,36
12261,Humboldt,2020-11-03,2,0,2
12262,El Dorado,2020-11-03,3,0,3
12263,Fresno,2020-11-03,96,14,110
12264,Stanislaus,2020-11-03,56,17,73
12265,Modoc,2020-11-03,0,0,0
12266,San Benito,2020-11-03,3,0,3
12267,Shasta,2020-11-03,9,0,9
12268,Monterey,2020-11-03,32,0,32
12269,Santa Clara,2020-11-03,102,17,119
12270,San Mateo,2020-11-03,17,11,28
12271,Orange,2020-11-03,182,42,224
12272,San Joaquin,2020-11-03,31,5,36
12273,Marin,2020-11-03,5,7,12
12274,San Francisco,2020-11-03,35,5,40
12275,Plumas,2020-11-03,0,0,0
12276,Santa Barbara,2020-11-03,12,3,15
12277,Contra Costa,2020-11-03,41,10,51
12278,Amador,2020-11-03,0,0,0
12279,Mariposa,2020-11-03,0,0,0
12280,Mendocino,2020-11-03,2,0,2
12281,Ventura,2020-11-03,31,10,41
12282,Del Norte,2020-11-03,0,1,1
12283,Placer,2020-11-03,36,17,53
12284,Inyo,2020-11-03,1,0,1
12285,Lake,2020-11-03,2,0,2
12286,San Luis Obispo,2020-11-03,6,2,8
12287,San Bernardino,2020-11-03,263,52,315
12288,Alameda,2020-11-03,65,51,116
12289,Sonoma,2020-11-03,22,6,28
12290,Tulare,2020-11-03,41,10,51
12291,Sacramento,2020-11-03,92,19,111
12292,Sutter,2020-11-03,0,0,0
12293,Siskiyou,2020-11-03,2,0,2
12294,Madera,2020-11-03,8,13,21
12295,Calaveras,2020-11-03,0,0,0
12296,Yolo,2020-11-03,9,0,9
12297,Mono,2020-11-03,0,0,0
12298,Merced,2020-11-03,9,0,9
12299,Glenn,2020-11-03,0,0,0
12300,Imperial,2020-11-03,49,0,49
12301,San Diego,2020-11-03,243,52,295
12302,Santa Cruz,2020-11-03,13,0,13
12303,Solano,2020-11-03,21,9,30
12304,Tuolumne,2020-11-03,2,0,2
12305,Napa,2020-11-03,3,0,3
12306,Los Angeles,2020-11-03,825,303,1128
12307,Colusa,2020-11-03,0,2,2
12308,Butte,2020-11-03,12,1,13
12309,Nevada,2020-11-03,2,0,2
12310,Trinity,2020-11-03,0,0,0
12311,Riverside,2020-11-03,210,57,267
12312,Tehama,2020-11-03,3,0,3
12313,Kern,2020-11-03,53,2,55
12314,Yuba,2020-11-03,3,0,3
12315,Kings,2020-11-03,15,3,18
12316,Lassen,2020-11-03,0,0,0
12317,Marin,2020-11-04,5,3,8
12318,San Luis Obispo,2020-11-04,8,0,8
12319,San Mateo,2020-11-04,22,6,28
12320,Sacramento,2020-11-04,94,29,123
12321,Sutter,2020-11-04,0,0,0
12322,Los Angeles,2020-11-04,821,322,1143
12323,San Diego,2020-11-04,278,51,329
12324,Humboldt,2020-11-04,2,0,2
12325,Imperial,2020-11-04,50,0,50
12326,Colusa,2020-11-04,0,1,1
12327,Amador,2020-11-04,1,0,1
12328,Plumas,2020-11-04,0,0,0
12329,Shasta,2020-11-04,14,0,14
12330,San Francisco,2020-11-04,34,4,38
12331,Mariposa,2020-11-04,0,0,0
12332,Del Norte,2020-11-04,0,0,0
12333,Santa Cruz,2020-11-04,11,0,11
12334,Sonoma,2020-11-04,25,4,29
12335,Santa Barbara,2020-11-04,12,3,15
12336,Mendocino,2020-11-04,3,0,3
12337,Merced,2020-11-04,8,0,8
