,county,date,confirmed_patients,suspected_patients,total_covid_patients
210,Santa Cruz,2020-04-01,2,12,14
211,Monterey,2020-04-01,13,16,29
212,Yuba,2020-04-01,2,24,26
213,Santa Clara,2020-04-01,160,85,245
214,Nevada,2020-04-01,36,54,90
215,Solano,2020-04-01,14,18,32
216,Sacramento,2020-04-01,53,138,191
217,Tuolumne,2020-04-01,0,0,0
218,San Joaquin,2020-04-01,25,35,60
219,Mendocino,2020-04-01,0,2,2
220,Fresno,2020-04-01,19,101,120
221,Placer,2020-04-02,32,15,47
222,Solano,2020-04-02,15,8,23
223,Fresno,2020-04-02,17,74,91
224,Marin,2020-04-02,7,16,23
225,Riverside,2020-04-02,136,181,317
226,Santa Barbara,2020-04-02,26,44,70
227,Mariposa,2020-04-02,0,1,1
228,Tehama,2020-04-02,0,1,1
229,Trinity,2020-04-02,0,0,0
230,Lassen,2020-04-02,0,7,7
231,Napa,2020-04-02,1,4,5
232,Los Angeles,2020-04-02,818,1270,2088
233,Humboldt,2020-04-02,1,8,9
234,Santa Clara,2020-04-02,163,101,264
235,San Mateo,2020-04-02,62,40,102
236,Siskiyou,2020-04-02,0,3,3
237,Glenn,2020-04-02,0,0,0
238,Sacramento,2020-04-02,71,92,163
239,Mono,2020-04-02,18,2,20
240,Del Norte,2020-04-02,0,3,3
241,Madera,2020-04-02,1,7,8
242,Tuolumne,2020-04-02,0,0,0
243,San Francisco,2020-04-02,75,60,135
244,El Dorado,2020-04-02,15,12,27
245,Calaveras,2020-04-02,0,1,1
246,Tulare,2020-04-02,4,26,30
247,Plumas,2020-04-02,0,0,0
248,Alameda,2020-04-02,57,76,133
249,San Luis Obispo,2020-04-02,5,5,10
250,Lake,2020-04-02,0,1,1
251,Contra Costa,2020-04-02,32,38,70
252,Modoc,2020-04-02,0,1,1
253,Yolo,2020-04-02,3,2,5
254,Monterey,2020-04-02,14,14,28
255,Ventura,2020-04-02,27,111,138
256,Butte,2020-04-02,4,26,30
257,Imperial,2020-04-02,4,16,20
258,Sonoma,2020-04-02,8,18,26
259,Santa Cruz,2020-04-02,4,4,8
260,Inyo,2020-04-02,8,102,110
261,Amador,2020-04-02,0,3,3
262,Yuba,2020-04-02,2,25,27
263,San Diego,2020-04-02,144,343,487
264,Orange,2020-04-02,129,225,354
265,San Benito,2020-04-02,2,0,2
266,Shasta,2020-04-02,2,4,6
267,San Bernardino,2020-04-02,126,185,311
268,Merced,2020-04-02,4,5,9
269,Kings,2020-04-02,2,6,8
270,Sutter,2020-04-02,0,0,0
271,Kern,2020-04-02,27,77,104
272,Stanislaus,2020-04-02,30,43,73
273,Colusa,2020-04-02,0,1,1
274,Nevada,2020-04-02,38,58,96
275,Mendocino,2020-04-02,0,1,1
276,San Joaquin,2020-04-02,42,42,84
277,Tulare,2020-04-03,6,15,21
278,Plumas,2020-04-03,0,0,0
279,Kings,2020-04-03,0,3,3
280,Tuolumne,2020-04-03,0,0,0
281,Mendocino,2020-04-03,0,5,5
282,Santa Clara,2020-04-03,164,83,247
283,Contra Costa,2020-04-03,31,39,70
284,Madera,2020-04-03,0,5,5
285,Humboldt,2020-04-03,1,7,8
286,San Mateo,2020-04-03,65,39,104
287,Stanislaus,2020-04-03,28,45,73
288,Orange,2020-04-03,131,182,313
289,Ventura,2020-04-03,22,116,138
290,Fresno,2020-04-03,15,81,96
291,Mariposa,2020-04-03,0,2,2
292,Napa,2020-04-03,1,9,10
293,San Bernardino,2020-04-03,118,204,322
294,Yuba,2020-04-03,2,12,14
295,Tehama,2020-04-03,0,0,0
296,Los Angeles,2020-04-03,962,1239,2201
297,Butte,2020-04-03,3,19,22
298,Inyo,2020-04-03,8,102,110
299,Kern,2020-04-03,35,73,108
300,Glenn,2020-04-03,0,0,0
301,Solano,2020-04-03,16,21,37
302,Sacramento,2020-04-03,77,76,153
303,Santa Cruz,2020-04-03,4,8,12
304,Alameda,2020-04-03,64,74,138
305,Placer,2020-04-03,21,23,44
306,Lassen,2020-04-03,0,3,3
307,Imperial,2020-04-03,9,7,16
308,Del Norte,2020-04-03,0,2,2
309,Merced,2020-04-03,4,5,9
310,Trinity,2020-04-03,0,0,0
311,Riverside,2020-04-03,105,182,287
312,Colusa,2020-04-03,1,0,1
313,San Joaquin,2020-04-03,41,38,79
314,San Francisco,2020-04-03,80,71,151
315,Sonoma,2020-04-03,6,24,30
316,El Dorado,2020-04-03,15,9,24
317,Monterey,2020-04-03,16,18,34
318,Modoc,2020-04-03,0,0,0
319,Amador,2020-04-03,0,0,0
320,Santa Barbara,2020-04-03,27,29,56
321,Shasta,2020-04-03,2,9,11
322,Calaveras,2020-04-03,0,1,1
323,San Luis Obispo,2020-04-03,4,5,9
324,Yolo,2020-04-03,2,7,9
325,Lake,2020-04-03,0,2,2
326,Sutter,2020-04-03,0,0,0
327,San Diego,2020-04-03,171,308,479
328,Siskiyou,2020-04-03,0,3,3
329,Nevada,2020-04-03,2,4,6
330,Mono,2020-04-03,18,2,20
331,Marin,2020-04-03,6,16,22
332,San Benito,2020-04-03,2,0,2
333,Mariposa,2020-04-04,0,2,2
334,San Luis Obispo,2020-04-04,4,6,10
335,Napa,2020-04-04,1,8,9
336,Yuba,2020-04-04,2,16,18
337,Yolo,2020-04-04,4,5,9
338,Tehama,2020-04-04,0,1,1
339,Riverside,2020-04-04,126,186,312
340,Madera,2020-04-04,0,4,4
341,Calaveras,2020-04-04,0,1,1
342,Sutter,2020-04-04,0,0,0
343,Alameda,2020-04-04,60,95,155
344,San Benito,2020-04-04,2,3,5
345,Nevada,2020-04-04,2,6,8
346,Siskiyou,2020-04-04,0,2,2
347,Monterey,2020-04-04,16,25,41
348,Santa Clara,2020-04-04,159,79,238
349,Marin,2020-04-04,5,16,21
350,Amador,2020-04-04,0,0,0
351,Contra Costa,2020-04-04,30,47,77
352,Ventura,2020-04-04,21,127,148
353,Sonoma,2020-04-04,7,16,23
354,Mono,2020-04-04,20,2,22
355,Solano,2020-04-04,16,19,35
356,Mendocino,2020-04-04,0,3,3
357,Tuolumne,2020-04-04,0,1,1
358,Modoc,2020-04-04,0,0,0
359,San Joaquin,2020-04-04,43,30,73
360,Santa Cruz,2020-04-04,4,6,10
361,Lassen,2020-04-04,0,0,0
362,Butte,2020-04-04,3,14,17
363,Del Norte,2020-04-04,0,2,2
364,Sacramento,2020-04-04,69,76,145
365,San Mateo,2020-04-04,66,19,85
366,Santa Barbara,2020-04-04,28,34,62
367,Plumas,2020-04-04,0,0,0
368,Kings,2020-04-04,1,9,10
369,Trinity,2020-04-04,0,0,0
370,Stanislaus,2020-04-04,30,45,75
371,Colusa,2020-04-04,1,0,1
372,Imperial,2020-04-04,9,10,19
373,Inyo,2020-04-04,8,106,114
374,Merced,2020-04-04,5,14,19
375,San Diego,2020-04-04,177,218,395
376,El Dorado,2020-04-04,15,9,24
377,Tulare,2020-04-04,8,20,28
378,San Bernardino,2020-04-04,138,254,392
379,Orange,2020-04-04,143,213,356
380,Glenn,2020-04-04,0,0,0
381,Lake,2020-04-04,0,4,4
382,Placer,2020-04-04,23,14,37
383,Humboldt,2020-04-04,1,4,5
384,Fresno,2020-04-04,14,93,107
385,Shasta,2020-04-04,2,10,12
386,Kern,2020-04-04,33,54,87
387,San Francisco,2020-04-04,80,65,145
388,Los Angeles,2020-04-04,1007,1190,2197
389,Mono,2020-04-05,20,2,22
390,Tuolumne,2020-04-05,0,0,0
391,Sonoma,2020-04-05,6,21,27
392,San Mateo,2020-04-05,69,15,84
393,Solano,2020-04-05,15,17,32
394,Lassen,2020-04-05,0,0,0
395,Tulare,2020-04-05,4,20,24
396,Mendocino,2020-04-05,0,3,3
397,Riverside,2020-04-05,129,207,336
398,Alameda,2020-04-05,72,87,159
399,San Francisco,2020-04-05,79,68,147
400,Calaveras,2020-04-05,0,0,0
401,Kings,2020-04-05,3,1,4
402,Mariposa,2020-04-05,0,2,2
403,Nevada,2020-04-05,2,4,6
404,San Luis Obispo,2020-04-05,2,11,13
405,Inyo,2020-04-05,9,106,115
406,Yolo,2020-04-05,3,6,9
407,San Diego,2020-04-05,179,220,399
408,Contra Costa,2020-04-05,29,35,64
409,Glenn,2020-04-05,0,0,0
410,Orange,2020-04-05,144,221,365
411,Los Angeles,2020-04-05,1094,1082,2176
412,Marin,2020-04-05,5,15,20
413,Madera,2020-04-05,0,1,1
414,Butte,2020-04-05,2,16,18
415,Santa Cruz,2020-04-05,5,12,17
416,El Dorado,2020-04-05,16,6,22
417,Sutter,2020-04-05,0,0,0
418,Napa,2020-04-05,1,8,9
419,Imperial,2020-04-05,9,9,18
420,Plumas,2020-04-05,0,0,0
421,Siskiyou,2020-04-05,0,2,2
422,Modoc,2020-04-05,0,0,0
423,Monterey,2020-04-05,16,15,31
424,Del Norte,2020-04-05,0,1,1
425,San Bernardino,2020-04-05,146,240,386
426,Fresno,2020-04-05,16,81,97
427,Shasta,2020-04-05,8,11,19
428,Trinity,2020-04-05,0,0,0
429,Merced,2020-04-05,15,10,25
430,Lake,2020-04-05,0,4,4
431,San Joaquin,2020-04-05,46,24,70
432,Stanislaus,2020-04-05,30,25,55
433,Placer,2020-04-05,23,13,36
434,Amador,2020-04-05,0,0,0
435,Ventura,2020-04-05,21,128,149
436,Kern,2020-04-05,23,27,50
437,Tehama,2020-04-05,0,1,1
438,Sacramento,2020-04-05,64,78,142
439,Santa Clara,2020-04-05,166,69,235
440,Humboldt,2020-04-05,2,3,5
441,San Benito,2020-04-05,3,0,3
442,Santa Barbara,2020-04-05,31,26,57
443,Colusa,2020-04-05,1,0,1
444,Yuba,2020-04-05,1,14,15
445,Inyo,2020-04-06,9,114,123
446,San Joaquin,2020-04-06,31,32,63
447,Alameda,2020-04-06,79,70,149
448,Yuba,2020-04-06,1,19,20
449,Yolo,2020-04-06,4,0,4
450,Colusa,2020-04-06,0,0,0
451,Modoc,2020-04-06,0,0,0
452,San Mateo,2020-04-06,68,20,88
453,Fresno,2020-04-06,18,81,99
454,Plumas,2020-04-06,0,0,0
455,San Benito,2020-04-06,3,3,6
456,Santa Barbara,2020-04-06,34,26,60
457,Solano,2020-04-06,15,21,36
458,Riverside,2020-04-06,129,193,322
459,San Luis Obispo,2020-04-06,2,3,5
460,Tulare,2020-04-06,12,24,36
461,Del Norte,2020-04-06,0,3,3
462,Tuolumne,2020-04-06,0,0,0
463,Merced,2020-04-06,4,2,6
464,Stanislaus,2020-04-06,28,28,56
465,Los Angeles,2020-04-06,1166,1070,2236
466,Ventura,2020-04-06,22,106,128
467,Calaveras,2020-04-06,0,0,0
468,Kings,2020-04-06,3,3,6
469,Sutter,2020-04-06,0,0,0
470,Santa Cruz,2020-04-06,5,9,14
471,Shasta,2020-04-06,6,3,9
472,Sonoma,2020-04-06,6,18,24
473,Imperial,2020-04-06,9,14,23
474,Monterey,2020-04-06,16,15,31
475,Amador,2020-04-06,0,0,0
476,Lake,2020-04-06,0,8,8
477,Napa,2020-04-06,0,7,7
478,Sacramento,2020-04-06,77,78,155
479,Butte,2020-04-06,1,15,16
480,San Francisco,2020-04-06,80,71,151
481,Siskiyou,2020-04-06,0,0,0
482,Mendocino,2020-04-06,0,2,2
483,Lassen,2020-04-06,0,0,0
484,Mono,2020-04-06,20,2,22
485,Contra Costa,2020-04-06,30,28,58
486,San Bernardino,2020-04-06,148,185,333
487,Humboldt,2020-04-06,3,12,15
488,Santa Clara,2020-04-06,181,49,230
489,Placer,2020-04-06,20,12,32
490,Madera,2020-04-06,0,2,2
491,Trinity,2020-04-06,0,0,0
492,Tehama,2020-04-06,0,0,0
493,El Dorado,2020-04-06,16,1,17
494,Kern,2020-04-06,24,36,60
495,San Diego,2020-04-06,187,224,411
496,Mariposa,2020-04-06,0,3,3
497,Marin,2020-04-06,8,8,16
498,Glenn,2020-04-06,0,0,0
499,Orange,2020-04-06,145,171,316
500,Nevada,2020-04-06,1,5,6
501,San Luis Obispo,2020-04-07,2,5,7
502,Sacramento,2020-04-07,74,91,165
503,Santa Clara,2020-04-07,187,47,234
504,Mono,2020-04-07,20,2,22
505,Imperial,2020-04-07,9,14,23
506,Ventura,2020-04-07,22,68,90
507,Calaveras,2020-04-07,0,1,1
508,Madera,2020-04-07,0,3,3
509,Inyo,2020-04-07,9,121,130
510,Trinity,2020-04-07,0,0,0
511,Colusa,2020-04-07,0,0,0
512,Plumas,2020-04-07,0,1,1
513,Sutter,2020-04-07,0,0,0
514,Merced,2020-04-07,3,3,6
515,Napa,2020-04-07,0,5,5
516,Kern,2020-04-07,28,91,119
517,Tulare,2020-04-07,8,23,31
518,Riverside,2020-04-07,129,207,336
519,Glenn,2020-04-07,0,0,0
520,San Mateo,2020-04-07,63,13,76
521,Sonoma,2020-04-07,6,28,34
522,Marin,2020-04-07,6,5,11
523,Nevada,2020-04-07,1,4,5
524,Santa Barbara,2020-04-07,41,8,49
525,El Dorado,2020-04-07,16,2,18
526,San Diego,2020-04-07,203,124,327
527,Orange,2020-04-07,143,144,287
528,Mariposa,2020-04-07,0,3,3
529,Tuolumne,2020-04-07,0,0,0
530,Tehama,2020-04-07,0,1,1
531,Placer,2020-04-07,19,18,37
532,Alameda,2020-04-07,76,84,160
533,Shasta,2020-04-07,5,8,13
534,Monterey,2020-04-07,18,25,43
535,Lassen,2020-04-07,0,1,1
536,Mendocino,2020-04-07,0,2,2
537,Lake,2020-04-07,0,0,0
538,Fresno,2020-04-07,20,82,102
539,San Bernardino,2020-04-07,146,178,324
540,Del Norte,2020-04-07,0,3,3
541,Yolo,2020-04-07,2,3,5
542,San Benito,2020-04-07,3,3,6
543,Siskiyou,2020-04-07,0,1,1
544,Santa Cruz,2020-04-07,4,4,8
545,Butte,2020-04-07,1,14,15
546,Humboldt,2020-04-07,2,7,9
547,San Francisco,2020-04-07,88,116,204
548,Kings,2020-04-07,3,4,7
549,Contra Costa,2020-04-07,31,38,69
550,Modoc,2020-04-07,0,1,1
551,San Joaquin,2020-04-07,31,33,64
552,Solano,2020-04-07,14,24,38
553,Amador,2020-04-07,0,0,0
554,Los Angeles,2020-04-07,1251,1350,2601
555,Yuba,2020-04-07,2,25,27
556,Stanislaus,2020-04-07,28,40,68
557,San Benito,2020-04-08,2,0,2
558,San Diego,2020-04-08,225,103,328
559,Santa Cruz,2020-04-08,4,9,13
560,Calaveras,2020-04-08,0,2,2
561,Merced,2020-04-08,1,1,2
562,Los Angeles,2020-04-08,1331,1077,2408
