,county,date,labor_force,employment,unemployment,unemployment_rate
6296,El Dorado ,2020-07-01,90200,81200,8900,0.099
6297,Fresno ,2020-07-01,441000,383700,57300,0.13
6298,Glenn ,2020-07-01,12210,10970,1240,0.10099999999999999
6299,Humboldt ,2020-07-01,58200,52000,6200,0.106
6300,Imperial ,2020-07-01,68600,49800,18900,0.275
6301,Inyo ,2020-07-01,8350,7580,780,0.09300000000000001
6302,Kern ,2020-07-01,379700,322000,57700,0.152
6303,Kings ,2020-07-01,56400,49400,7000,0.124
6304,Lake ,2020-07-01,27780,24730,3050,0.11
6305,Lassen ,2020-07-01,9300,8560,740,0.08
6307,Los Angeles ,2020-07-01,4934900,4035000,899900,0.182
6308,Madera ,2020-07-01,60700,53100,7500,0.124
6309,Marin ,2020-07-01,129200,117400,11700,0.091
6310,Mariposa ,2020-07-01,7360,6520,830,0.113
6311,Mendocino ,2020-07-01,36750,32750,4000,0.109
6312,Merced ,2020-07-01,110800,95400,15400,0.139
6313,Modoc ,2020-07-01,3210,2960,250,0.078
6314,Mono ,2020-07-01,8080,6970,1110,0.13699999999999998
6315,Monterey ,2020-07-01,219300,196500,22800,0.10400000000000001
6316,Napa ,2020-07-01,69600,62200,7400,0.107
6317,Nevada ,2020-07-01,46270,41620,4640,0.1
6318,Orange ,2020-07-01,1544300,1354100,190300,0.12300000000000001
6319,Placer ,2020-07-01,184400,167100,17300,0.094
6320,Plumas ,2020-07-01,7870,7090,790,0.1
6321,Riverside ,2020-07-01,1106800,961100,145800,0.132
6322,Sacramento ,2020-07-01,711800,625800,85900,0.121
6323,San Benito ,2020-07-01,31400,27800,3500,0.113
6324,San Bernardino ,2020-07-01,964000,841800,122300,0.127
6325,San Diego ,2020-07-01,1535400,1345800,189600,0.12300000000000001
6326,San Francisco ,2020-07-01,553200,492300,60900,0.11
6327,San Joaquin ,2020-07-01,331600,285700,45900,0.138
6328,San Luis Obispo ,2020-07-01,131800,118800,13000,0.099
6329,San Mateo ,2020-07-01,428600,388300,40200,0.094
6330,Santa Barbara ,2020-07-01,219400,198400,21000,0.096
6331,Santa Clara ,2020-07-01,1017500,922700,94800,0.09300000000000001
6332,Santa Cruz ,2020-07-01,134700,120400,14300,0.106
6333,Shasta ,2020-07-01,72100,64800,7200,0.10099999999999999
6334,Sierra ,2020-07-01,1260,1150,110,0.086
6335,Siskiyou ,2020-07-01,17080,15320,1760,0.10300000000000001
6336,Solano ,2020-07-01,202700,178200,24500,0.121
6337,Sonoma ,2020-07-01,245200,220600,24600,0.1
6338,Stanislaus ,2020-07-01,240600,209600,31000,0.129
6339,Sutter ,2020-07-01,46200,40800,5400,0.11699999999999999
6340,Tehama ,2020-07-01,25110,22520,2590,0.10300000000000001
6341,Trinity ,2020-07-01,4610,4240,370,0.08
6342,Tulare ,2020-07-01,196000,166600,29300,0.15
6343,Tuolumne ,2020-07-01,20220,17750,2470,0.122
6344,Ventura ,2020-07-01,405600,360000,45600,0.11199999999999999
6345,Yolo ,2020-07-01,105100,95500,9600,0.091
6346,Yuba ,2020-07-01,30200,26500,3700,0.122
7341,Alameda ,2020-06-01,813700,708200,105400,0.13
7342,Alpine ,2020-06-01,460,370,90,0.196
7343,Amador ,2020-06-01,14510,12750,1760,0.121
7344,Butte ,2020-06-01,92500,81700,10800,0.11599999999999999
7345,Calaveras ,2020-06-01,21370,19240,2140,0.1
7346,Colusa ,2020-06-01,10070,8430,1640,0.162
7347,Contra Costa ,2020-06-01,540200,470500,69700,0.129
7348,Del Norte ,2020-06-01,9400,8310,1090,0.11599999999999999
7349,El Dorado ,2020-06-01,90900,80100,10900,0.12
7350,Fresno ,2020-06-01,448100,387800,60300,0.135
7351,Glenn ,2020-06-01,12550,11230,1320,0.105
7352,Humboldt ,2020-06-01,59000,52300,6800,0.115
7353,Imperial ,2020-06-01,71300,52400,18900,0.265
7354,Inyo ,2020-06-01,8500,7610,880,0.10400000000000001
7355,Kern ,2020-06-01,383100,323100,60000,0.157
7356,Kings ,2020-06-01,56400,48900,7500,0.133
7357,Lake ,2020-06-01,28180,24720,3460,0.12300000000000001
7358,Lassen ,2020-06-01,9390,8610,780,0.083
7360,Los Angeles ,2020-06-01,4839200,3974200,865000,0.179
7361,Madera ,2020-06-01,62100,54100,8000,0.129
7362,Marin ,2020-06-01,128400,115500,12900,0.1
7363,Mariposa ,2020-06-01,7410,6350,1050,0.142
7364,Mendocino ,2020-06-01,37100,32660,4440,0.12
7365,Merced ,2020-06-01,113800,97300,16400,0.14400000000000002
7366,Modoc ,2020-06-01,3220,2940,280,0.087
7367,Mono ,2020-06-01,7480,5910,1570,0.21
7368,Monterey ,2020-06-01,221300,194400,26900,0.121
7369,Napa ,2020-06-01,70000,61300,8700,0.124
7370,Nevada ,2020-06-01,46210,41060,5160,0.11199999999999999
7371,Orange ,2020-06-01,1547100,1341900,205200,0.133
7372,Placer ,2020-06-01,184100,164800,19300,0.105
7373,Plumas ,2020-06-01,7820,6970,850,0.10800000000000001
7374,Riverside ,2020-06-01,1111800,959700,152100,0.13699999999999998
7375,Sacramento ,2020-06-01,708600,617400,91200,0.129
7376,San Benito ,2020-06-01,31400,27400,4000,0.127
7377,San Bernardino ,2020-06-01,965300,840300,125100,0.13
7378,San Diego ,2020-06-01,1537000,1330000,207000,0.135
7379,San Francisco ,2020-06-01,555000,488300,66700,0.12
7380,San Joaquin ,2020-06-01,333900,285400,48500,0.145
7381,San Luis Obispo ,2020-06-01,132400,117900,14600,0.11
7382,San Mateo ,2020-06-01,430000,385000,45000,0.105
7383,Santa Barbara ,2020-06-01,216800,193600,23200,0.107
7384,Santa Clara ,2020-06-01,1017300,912500,104800,0.10300000000000001
7385,Santa Cruz ,2020-06-01,134300,117900,16300,0.122
7386,Shasta ,2020-06-01,73500,65700,7800,0.106
7387,Sierra ,2020-06-01,1300,1170,120,0.095
7388,Siskiyou ,2020-06-01,17220,15340,1880,0.109
7389,Solano ,2020-06-01,202400,176200,26100,0.129
7390,Sonoma ,2020-06-01,245300,217200,28100,0.114
7391,Stanislaus ,2020-06-01,240800,207900,32900,0.13699999999999998
7392,Sutter ,2020-06-01,46500,40500,5900,0.128
7393,Tehama ,2020-06-01,25670,22910,2760,0.107
