,date,county,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
105,2021-03-15,Santa Clara,1967585,4,112845,0,1797,463,3166398,6,128343,81,112729,2,1798,5975,2143736
106,2021-03-15,Santa Cruz,273999,3,14926,0,199,117,330703,3,15865,12,14899,0,200,625,207593
107,2021-03-15,Shasta,177925,1,11035,0,100,14,158938,0,8275,0,11019,0,92,288,98220
108,2021-03-15,Sierra,3115,0,49,0,0,0,2293,0,52,0,49,0,0,1,1172
109,2021-03-15,Siskiyou,43956,0,1477,0,5,8,27789,0,1602,2,1475,0,5,78,25634
110,2021-03-15,Solano,444255,0,30298,0,171,57,552841,0,31644,28,30258,0,171,760,369997
111,2021-03-15,Sonoma,496668,4,28850,0,291,82,586811,5,31592,16,28814,1,285,894,411866
112,2021-03-15,Stanislaus,562303,4,51410,0,683,90,527515,5,57923,51,51357,-7,683,1190,440453
113,2021-03-15,Sutter,105747,4,8970,0,102,49,84050,2,9863,4,8962,0,102,170,66287
114,2021-03-15,Tehama,65885,0,4660,0,34,5,50809,0,4535,0,4650,0,34,87,39557
115,2021-03-15,Trinity,13354,0,308,0,3,1,7221,0,328,0,308,0,3,22,10973
116,2021-03-15,Tulare,484423,4,47895,0,803,130,479035,3,55501,12,47857,0,800,754,350836
117,2021-03-15,Tuolumne,52351,0,3938,0,57,4,82552,0,4569,0,3937,0,57,68,39707
119,2021-03-15,Ventura,852747,0,78671,0,916,201,1176622,3,95095,15,78626,0,910,1508,1056528
120,2021-03-15,Yolo,223612,1,13162,0,190,33,287987,1,12965,3,13131,1,190,2433,233781
121,2021-03-15,Yuba,79290,3,5596,0,42,25,58897,1,6342,2,5585,0,42,148,50844
122,2021-03-14,Alameda,1685886,6,82254,0,1177,934,2108042,11,95655,106,82116,0,1168,4637,1485896
123,2021-03-14,Alpine,1117,0,82,0,0,1,1841,0,30,0,82,0,0,2,734
124,2021-03-14,Amador,38531,0,3510,0,44,21,96783,0,4014,0,3504,0,44,62,32031
125,2021-03-14,Butte,217769,3,11152,0,184,80,188314,3,11739,9,11140,0,185,451,152625
126,2021-03-14,Calaveras,44289,3,1945,0,49,28,35202,3,2188,0,1939,0,49,62,24314
128,2021-03-14,Colusa,22593,0,1882,0,12,10,15210,0,1735,1,1883,0,12,33,13628
129,2021-03-14,Contra Costa,1160099,16,63938,0,736,671,1274386,20,70610,119,63808,0,731,3109,985984
130,2021-03-14,Del Norte,27558,0,1048,0,6,10,67875,0,1141,7,1048,0,6,106,24099
131,2021-03-14,El Dorado,193098,2,9247,0,105,66,147341,0,9071,10,9231,0,103,486,127331
132,2021-03-14,Fresno,1032227,19,97630,0,1498,444,1031396,22,114245,137,97461,1,1496,2922,815688
133,2021-03-14,Glenn,29348,0,2267,0,17,5,21395,0,2324,0,2260,0,15,44,16332
134,2021-03-14,Humboldt,134098,2,3346,0,33,57,114762,2,3521,10,3335,0,32,401,86308
135,2021-03-14,Imperial,191649,0,27136,0,689,54,254611,0,30990,23,27122,8,685,258,162479
136,2021-03-14,Inyo,18453,0,1346,0,35,4,16375,0,1135,2,1346,0,35,55,13953
137,2021-03-14,Kern,927251,6,93332,0,1144,144,879724,7,106155,55,93252,1,1141,1647,672586
138,2021-03-14,Kings,156444,4,22316,0,233,58,310364,4,25838,27,22292,0,232,245,146550
139,2021-03-14,Lake,64871,1,3246,0,43,23,58708,1,3775,3,3237,0,43,117,48274
140,2021-03-14,Lassen,30065,0,5126,0,1,1,112896,0,5872,0,5125,0,1,40,43607
141,2021-03-14,Los Angeles,10257557,53,1172664,0,22527,776,16764077,20,1499917,595,1172100,25,22476,130143,23177945
142,2021-03-14,Madera,160089,3,15820,0,214,44,208328,3,17799,24,15804,0,214,299,117191
143,2021-03-14,Marin,260800,2,13418,0,218,122,430728,3,14827,14,13405,0,218,922,273577
144,2021-03-14,Mariposa,17795,0,379,0,5,4,18837,0,421,0,376,0,5,17,7893
145,2021-03-14,Mendocino,88439,3,3623,0,44,39,88195,3,3990,2,3613,0,44,125,57108
146,2021-03-14,Merced,287420,7,29189,0,407,50,304452,1,30821,43,29149,1,407,740,216260
147,2021-03-14,Modoc,9475,0,341,0,3,1,5345,0,158,0,340,0,3,5,3595
148,2021-03-14,Mono,13961,0,1206,0,3,3,14459,0,1306,-1,1206,0,3,6,12729
149,2021-03-14,Monterey,448732,1,42022,0,334,118,512497,2,47193,18,42007,1,333,851,346991
150,2021-03-14,Napa,139652,2,9208,0,75,84,227544,1,9961,4,9194,0,75,335,143860
151,2021-03-14,Nevada,98710,0,4131,0,67,33,86307,0,4033,11,4122,0,66,180,58802
152,2021-03-14,Orange,3228519,25,247830,0,4479,1681,3206724,36,301950,142,247656,37,4460,7977,2747215
154,2021-03-14,Placer,400434,4,20339,0,240,160,326478,5,21587,50,20288,-1,238,918,266189
155,2021-03-14,Plumas,18997,0,643,0,4,6,17067,0,613,0,642,0,4,44,12618
156,2021-03-14,Riverside,2468145,42,281535,0,3893,1282,2528818,59,336285,141,281332,-3,3845,5466,1985393
157,2021-03-14,Sacramento,1567975,6,95520,0,1466,523,1520429,9,107332,151,95343,1,1462,3514,1174562
158,2021-03-14,San Benito,64022,0,5831,0,61,18,69978,0,6601,6,5829,0,61,109,47409
159,2021-03-14,San Bernardino,2217398,16,283969,0,4032,639,2547160,27,336323,64,283791,24,3996,4432,2115229
