date,county,population,cases,deaths,total_tests,positive_tests,reported_cases,reported_deaths,reported_tests
2021-03-14,San Mateo,778001,6,0,743,8,55,1,2793
2021-03-14,Santa Barbara,456373,13,0,423,16,28,0,785
2021-03-14,Santa Clara,1967585,43,0,2168,55,117,6,6968
2021-03-14,Santa Cruz,273999,0,0,42,0,12,1,677
2021-03-14,Shasta,177925,0,0,20,0,-2,-16,350
2021-03-14,Sierra,3115,0,0,1,0,0,0,2
2021-03-14,Siskiyou,43956,1,0,10,1,3,0,101
2021-03-14,Solano,444255,2,0,114,2,32,0,869
2021-03-14,Sonoma,496668,2,0,156,2,36,-1,1095
2021-03-14,Stanislaus,562303,11,0,230,13,49,-5,1535
2021-03-14,Sutter,105747,4,0,64,4,10,0,199
2021-03-14,Tehama,65885,0,0,9,0,3,1,117
2021-03-14,Trinity,13354,0,0,0,0,2,0,25
2021-03-14,Tulare,484423,5,0,155,8,27,2,969
2021-03-14,Tuolumne,52351,0,0,32,0,0,0,62
2021-03-14,Ventura,852747,24,0,1324,32,-82,4,2879
2021-03-14,Yolo,223612,2,0,696,1,41,0,3329
2021-03-14,Yuba,79290,1,0,46,2,6,0,186
2021-03-13,Alameda,1685886,61,0,2175,68,112,4,4870
2021-03-13,Alpine,1117,0,0,0,0,0,0,3
2021-03-13,Amador,38531,4,0,69,5,1,0,59
2021-03-13,Butte,217769,2,0,189,2,5,1,500
2021-03-13,Calaveras,44289,0,0,29,0,23,0,55
2021-03-13,Colusa,22593,0,0,11,0,-1,0,37
2021-03-13,Contra Costa,1160099,56,0,1385,67,106,3,3471
2021-03-13,Del Norte,27558,3,0,28,3,8,0,115
2021-03-13,El Dorado,193098,2,0,175,3,2,0,551
2021-03-13,Fresno,1032227,52,0,1097,58,139,6,3089
2021-03-13,Glenn,29348,2,0,16,2,2,0,46
2021-03-13,Humboldt,134098,5,0,125,6,10,0,496
2021-03-13,Imperial,191649,5,0,167,5,28,0,211
2021-03-13,Inyo,18453,0,0,9,0,5,0,50
2021-03-13,Kern,927251,18,0,492,24,55,8,1754
2021-03-13,Kings,156444,17,0,192,18,32,0,272
2021-03-13,Lake,64871,5,0,47,6,8,0,120
2021-03-13,Lassen,30065,0,0,3,0,0,0,43
2021-03-13,Los Angeles,10257557,212,1,9454,220,645,42,143256
2021-03-13,Madera,160089,2,0,423,3,19,0,278
2021-03-13,Marin,260800,4,0,326,5,16,0,888
2021-03-13,Mariposa,17795,2,0,32,2,0,0,19
2021-03-13,Mendocino,88439,1,0,109,1,6,1,142
2021-03-13,Merced,287420,11,0,156,14,42,3,894
2021-03-13,Modoc,9475,0,0,0,0,0,0,7
2021-03-13,Mono,13961,0,0,9,0,1,0,8
2021-03-13,Monterey,448732,8,0,288,9,25,3,983
2021-03-13,Napa,139652,3,0,123,3,10,0,334
2021-03-13,Nevada,98710,4,0,114,5,10,0,191
2021-03-13,Orange,3228519,64,0,3056,84,126,22,8676
2021-03-13,Placer,400434,21,0,352,24,28,0,938
2021-03-13,Plumas,18997,0,0,11,0,1,0,52
2021-03-13,Riverside,2468145,89,0,2497,135,154,-6,5665
2021-03-13,Sacramento,1567975,47,0,1477,54,131,1,3709
2021-03-13,San Benito,64022,1,0,40,2,6,0,124
2021-03-13,San Bernardino,2217398,33,0,2332,52,169,55,4947
2021-03-13,San Diego,3370418,64,0,5999,144,384,10,5868
2021-03-13,San Francisco,892280,20,0,1912,27,26,3,2929
2021-03-13,San Joaquin,782545,21,0,580,23,-2,-3,2172
2021-03-13,San Luis Obispo,278862,6,0,217,8,20,0,573
2021-03-13,San Mateo,778001,25,0,1744,34,51,0,2971
2021-03-13,Santa Barbara,456373,11,0,649,27,29,2,964
2021-03-13,Santa Clara,1967585,71,0,4272,91,135,24,7629
2021-03-13,Santa Cruz,273999,10,0,360,12,29,4,706
2021-03-13,Shasta,177925,1,0,85,1,-122,-45,392
2021-03-13,Sierra,3115,0,0,1,0,0,0,3
2021-03-13,Siskiyou,43956,1,0,14,1,2,0,111
2021-03-13,Solano,444255,8,0,336,9,18,0,899
2021-03-13,Sonoma,496668,16,0,524,17,48,0,1188
2021-03-13,Stanislaus,562303,12,0,385,21,111,-6,1638
2021-03-13,Sutter,105747,5,0,92,8,8,1,215
2021-03-13,Tehama,65885,2,0,37,2,9,0,124
2021-03-13,Trinity,13354,0,0,12,0,0,0,32
2021-03-13,Tulare,484423,11,0,262,14,46,0,1041
2021-03-13,Tuolumne,52351,0,0,29,0,1,0,70
2021-03-13,Ventura,852747,32,0,2160,45,-5,7,2944
2021-03-13,Yolo,223612,5,0,1373,7,26,0,4503
2021-03-13,Yuba,79290,5,0,80,6,14,0,194
2021-03-12,Alameda,1685886,89,0,6349,112,89,0,4527
2021-03-12,Alpine,1117,0,0,0,0,4,0,3
2021-03-12,Amador,38531,0,0,67,1,5,2,60
2021-03-12,Butte,217769,5,0,430,6,16,-1,554
2021-03-12,Calaveras,44289,2,0,101,2,1,0,67
2021-03-12,Colusa,22593,0,0,32,0,0,0,43
2021-03-12,Contra Costa,1160099,87,0,3647,96,114,0,3171
2021-03-12,Del Norte,27558,5,0,57,5,6,0,119
2021-03-12,El Dorado,193098,13,0,340,11,8,2,527
2021-03-12,Fresno,1032227,85,0,2300,107,159,8,3158
2021-03-12,Glenn,29348,3,0,37,2,3,0,55
2021-03-12,Humboldt,134098,8,0,344,11,13,0,536
2021-03-12,Imperial,191649,1,0,195,5,26,2,391
2021-03-12,Inyo,18453,2,0,28,2,4,0,51
2021-03-12,Kern,927251,33,0,1335,48,90,11,2080
2021-03-12,Kings,156444,11,0,212,12,50,2,315
2021-03-12,Lake,64871,2,0,130,4,12,1,136
2021-03-12,Lassen,30065,0,0,19,1,1,0,47
2021-03-12,Los Angeles,10257557,405,1,39154,676,749,93,141926
2021-03-12,Madera,160089,14,0,318,19,36,0,330
2021-03-12,Marin,260800,7,0,948,9,19,1,901
2021-03-12,Mariposa,17795,1,0,52,1,0,0,26
2021-03-12,Mendocino,88439,7,0,134,8,1,1,165
2021-03-12,Merced,287420,31,0,812,42,63,2,1032
2021-03-12,Modoc,9475,0,0,0,0,0,0,10
2021-03-12,Mono,13961,0,0,18,0,0,0,10
2021-03-12,Monterey,448732,25,0,798,25,28,0,1081
2021-03-12,Napa,139652,3,0,572,2,7,0,290
2021-03-12,Nevada,98710,9,0,362,10,16,0,216
2021-03-12,Orange,3228519,103,0,7288,146,171,28,10052
2021-03-12,Placer,400434,28,0,1023,34,32,0,700
2021-03-12,Plumas,18997,0,0,31,0,1,0,56
2021-03-12,Riverside,2468145,124,0,5290,165,156,12,6082
2021-03-12,Sacramento,1567975,125,0,4199,152,149,5,3073
2021-03-12,San Benito,64022,4,0,164,6,1,0,132
2021-03-12,San Bernardino,2217398,66,0,5154,124,246,48,5641
2021-03-12,San Diego,3370418,83,0,11681,235,362,12,19726
2021-03-12,San Francisco,892280,26,0,4422,43,36,0,3103
2021-03-12,San Joaquin,782545,88,0,2068,94,-40,-13,2067
2021-03-12,San Luis Obispo,278862,22,0,1190,27,21,0,687
2021-03-12,San Mateo,778001,48,0,4314,64,48,0,2714
2021-03-12,Santa Barbara,456373,15,0,1360,36,49,-1,1121
2021-03-12,Santa Clara,1967585,110,0,12170,138,150,1,7968
2021-03-12,Santa Cruz,273999,10,0,1739,27,34,2,736
2021-03-12,Shasta,177925,8,0,285,9,4,-5,476
2021-03-12,Sierra,3115,0,0,1,0,1,0,4
2021-03-12,Siskiyou,43956,0,0,42,0,2,0,136
2021-03-12,Solano,444255,25,0,1242,30,42,0,609
2021-03-12,Sonoma,496668,36,0,1548,39,37,0,999
2021-03-12,Stanislaus,562303,58,0,1330,76,108,-6,1691
2021-03-12,Sutter,105747,3,0,187,3,7,0,261
2021-03-12,Tehama,65885,5,0,80,5,6,0,146
2021-03-12,Trinity,13354,0,0,1,0,2,0,37
2021-03-12,Tulare,484423,32,0,774,36,63,1,1141
2021-03-12,Tuolumne,52351,1,0,114,1,2,0,93
2021-03-12,Ventura,852747,36,0,3463,58,1,10,3184
2021-03-12,Yolo,223612,17,0,3038,14,20,-1,2640
2021-03-12,Yuba,79290,4,0,137,5,10,0,210
2021-03-11,Alameda,1685886,95,0,7843,124,108,4,3625
2021-03-11,Alpine,1117,1,0,3,0,0,0,2
2021-03-11,Amador,38531,0,0,100,1,2,0,55
2021-03-11,Butte,217769,6,0,516,8,14,0,480
2021-03-11,Calaveras,44289,3,0,108,3,2,1,50
2021-03-11,Colusa,22593,0,0,25,0,1,0,36
2021-03-11,Contra Costa,1160099,86,0,4436,118,97,3,2330
2021-03-11,Del Norte,27558,5,0,150,5,7,1,125
2021-03-11,El Dorado,193098,5,0,373,4,8,1,376
2021-03-11,Fresno,1032227,107,0,3103,137,160,10,2466
2021-03-11,Glenn,29348,0,0,56,3,2,0,50
2021-03-11,Humboldt,134098,11,0,450,11,6,0,365
2021-03-11,Imperial,191649,17,0,527,23,-6,0,815
2021-03-11,Inyo,18453,2,0,61,3,7,0,44
2021-03-11,Kern,927251,51,0,2524,61,87,19,1903
2021-03-11,Kings,156444,16,0,599,19,17,4,249
2021-03-11,Lake,64871,4,0,155,4,7,0,140
2021-03-11,Lassen,30065,0,0,127,0,4,0,30
2021-03-11,Los Angeles,10257557,484,1,46231,833,1032,117,92049
2021-03-11,Madera,160089,22,0,448,24,20,2,264
2021-03-11,Marin,260800,15,0,1546,23,8,1,661
2021-03-11,Mariposa,17795,0,0,86,0,0,0,20
2021-03-11,Mendocino,88439,3,0,212,4,2,0,142
2021-03-11,Merced,287420,24,0,1185,29,74,0,921
2021-03-11,Modoc,9475,1,0,13,1,2,0,8
2021-03-11,Mono,13961,0,0,20,0,2,0,8
2021-03-11,Monterey,448732,26,1,1174,29,16,0,889
2021-03-11,Napa,139652,11,0,961,10,8,0,245
2021-03-11,Nevada,98710,4,0,291,13,11,0,182
2021-03-11,Orange,3228519,144,0,8204,218,142,31,8278
2021-03-11,Placer,400434,22,0,993,40,34,0,612
2021-03-11,Plumas,18997,1,0,78,2,1,0,35
2021-03-11,Riverside,2468145,126,0,6861,187,173,20,5650
2021-03-11,Sacramento,1567975,132,0,4902,165,116,3,2683
2021-03-11,San Benito,64022,7,0,184,8,5,0,97
2021-03-11,San Bernardino,2217398,83,1,6576,153,172,28,4378
2021-03-11,San Diego,3370418,140,0,12000,271,430,9,54973
2021-03-11,San Francisco,892280,23,0,5665,38,34,2,2309
2021-03-11,San Joaquin,782545,118,0,2823,135,39,1,1522
2021-03-11,San Luis Obispo,278862,30,0,1075,31,38,0,490
2021-03-11,San Mateo,778001,27,0,6759,40,19,3,1969
2021-03-11,Santa Barbara,456373,17,0,1423,31,52,1,826
2021-03-11,Santa Clara,1967585,119,0,14945,135,143,6,6011
2021-03-11,Santa Cruz,273999,10,0,1289,20,22,1,601
2021-03-11,Shasta,177925,12,0,474,11,14,3,347
2021-03-11,Sierra,3115,0,0,8,0,0,0,4
2021-03-11,Siskiyou,43956,1,0,104,1,8,0,87
2021-03-11,Solano,444255,28,0,1744,27,27,1,535
2021-03-11,Sonoma,496668,37,0,1760,50,39,-1,718
2021-03-11,Stanislaus,562303,70,0,1968,101,70,1,1313
2021-03-11,Sutter,105747,12,0,271,14,15,0,208
2021-03-11,Tehama,65885,9,0,149,7,9,0,106
2021-03-11,Trinity,13354,0,0,10,0,0,0,41
2021-03-11,Tulare,484423,37,0,1870,48,50,4,916
2021-03-11,Tuolumne,52351,1,0,172,1,3,0,45
2021-03-11,Ventura,852747,71,0,4225,102,88,11,2301
2021-03-11,Yolo,223612,19,0,2803,19,20,1,4179
2021-03-11,Yuba,79290,9,0,162,9,8,0,179
2021-03-10,Alameda,1685886,78,0,9151,101,83,9,1762
2021-03-10,Alpine,1117,0,0,2,0,0,0,1
2021-03-10,Amador,38531,0,0,167,0,2,0,37
2021-03-10,Butte,217769,11,0,666,12,4,0,276
2021-03-10,Calaveras,44289,1,0,92,1,0,0,32
2021-03-10,Colusa,22593,0,0,169,0,2,1,19
2021-03-10,Contra Costa,1160099,87,1,5546,107,58,2,1123
2021-03-10,Del Norte,27558,6,0,179,6,3,0,69
2021-03-10,El Dorado,193098,7,0,442,7,5,2,161
2021-03-10,Fresno,1032227,103,0,3775,140,122,8,1324
2021-03-10,Glenn,29348,2,0,55,2,2,0,24
2021-03-10,Humboldt,134098,11,0,544,16,8,0,183
2021-03-10,Imperial,191649,5,0,711,10,6,0,114
2021-03-10,Inyo,18453,2,0,32,3,4,0,18
2021-03-10,Kern,927251,76,0,3773,83,41,14,1336
2021-03-10,Kings,156444,30,0,874,34,23,0,179
2021-03-10,Lake,64871,8,0,168,9,5,0,150
2021-03-10,Lassen,30065,0,0,155,0,0,0,23
2021-03-10,Los Angeles,10257557,493,1,53287,856,1112,119,55816
2021-03-10,Madera,160089,13,0,577,18,4,1,140
2021-03-10,Marin,260800,16,0,1375,23,13,2,447
2021-03-10,Mariposa,17795,0,0,50,0,0,0,14
2021-03-10,Mendocino,88439,3,0,242,3,7,0,87
2021-03-10,Merced,287420,43,0,1234,53,51,2,509
2021-03-10,Modoc,9475,0,0,10,0,0,0,3
2021-03-10,Mono,13961,1,0,11,1,1,0,6
2021-03-10,Monterey,448732,17,0,1548,25,26,0,475
2021-03-10,Napa,139652,5,0,1149,6,10,0,159
2021-03-10,Nevada,98710,8,0,278,13,12,0,111
2021-03-10,Orange,3228519,117,0,10627,191,86,32,4219
2021-03-10,Placer,400434,30,0,1689,41,22,0,275
2021-03-10,Plumas,18997,2,0,187,1,0,0,19
2021-03-10,Riverside,2468145,126,0,7236,175,146,1,2622
2021-03-10,Sacramento,1567975,159,0,6016,192,76,10,1413
2021-03-10,San Benito,64022,4,0,289,4,11,0,46
2021-03-10,San Bernardino,2217398,99,0,7086,152,169,18,2338
2021-03-10,San Diego,3370418,161,0,12221,245,349,8,2411
2021-03-10,San Francisco,892280,21,0,6492,33,34,0,1207
2021-03-10,San Joaquin,782545,84,0,2935,114,100,6,860
2021-03-10,San Luis Obispo,278862,11,0,1154,21,38,2,419
2021-03-10,San Mateo,778001,44,0,9039,54,36,2,1270
2021-03-10,Santa Barbara,456373,27,0,2473,41,42,1,577
2021-03-10,Santa Clara,1967585,135,0,15003,170,140,3,3189
2021-03-10,Santa Cruz,273999,17,0,1730,18,26,4,331
2021-03-10,Shasta,177925,1,0,736,4,12,0,234
2021-03-10,Sierra,3115,0,0,4,1,0,0,2
2021-03-10,Siskiyou,43956,4,0,64,6,11,0,51
2021-03-10,Solano,444255,24,0,1846,28,21,1,221
2021-03-10,Sonoma,496668,35,0,2188,43,37,2,444
2021-03-10,Stanislaus,562303,63,0,1735,88,84,3,720
2021-03-10,Sutter,105747,8,0,221,11,4,0,129
2021-03-10,Tehama,65885,5,0,115,5,3,0,51
2021-03-10,Trinity,13354,0,0,13,0,0,0,20
2021-03-10,Tulare,484423,36,0,1465,40,22,1,503
2021-03-10,Tuolumne,52351,1,0,156,2,2,1,41
2021-03-10,Ventura,852747,71,0,5029,102,83,15,1267
2021-03-10,Yolo,223612,9,0,3602,9,6,0,1524
2021-03-10,Yuba,79290,3,0,181,4,6,0,103
2021-03-09,Alameda,1685886,117,0,12134,145,75,9,1834
2021-03-09,Alpine,1117,0,0,1,0,0,0,1
2021-03-09,Amador,38531,2,0,154,0,4,0,40
2021-03-09,Butte,217769,15,0,699,22,10,0,71
2021-03-09,Calaveras,44289,2,0,122,2,4,0,26
2021-03-09,Colusa,22593,1,0,44,1,3,0,16
2021-03-09,Contra Costa,1160099,73,0,6562,100,74,4,1164
2021-03-09,Del Norte,27558,4,0,245,6,5,0,57
2021-03-09,El Dorado,193098,8,0,616,11,10,1,159
2021-03-09,Fresno,1032227,83,0,4331,160,79,21,210
2021-03-09,Glenn,29348,2,0,108,2,2,0,-6
2021-03-09,Humboldt,134098,9,0,520,10,10,1,168
2021-03-09,Imperial,191649,3,0,1226,11,12,12,-11
2021-03-09,Inyo,18453,1,0,124,1,4,0,-35
2021-03-09,Kern,927251,64,0,3813,86,67,1,1476
2021-03-09,Kings,156444,22,0,779,28,13,0,57
2021-03-09,Lake,64871,12,0,310,12,7,0,60
2021-03-09,Lassen,30065,0,0,256,0,1,0,16
2021-03-09,Los Angeles,10257557,479,1,58484,815,4558,212,66023
2021-03-09,Madera,160089,13,0,953,21,10,0,-39
2021-03-09,Marin,260800,15,0,1662,14,7,0,463
2021-03-09,Mariposa,17795,0,0,117,1,0,0,7
2021-03-09,Mendocino,88439,5,0,487,4,5,0,56
2021-03-09,Merced,287420,33,0,1470,54,35,1,271
2021-03-09,Modoc,9475,0,0,7,0,0,0,-7
2021-03-09,Mono,13961,0,0,26,0,3,0,-2
2021-03-09,Monterey,448732,15,0,1521,23,31,1,134
2021-03-09,Napa,139652,7,0,1338,8,9,0,67
2021-03-09,Nevada,98710,2,0,320,4,3,0,76
2021-03-09,Orange,3228519,150,0,12739,222,89,67,-5115
2021-03-09,Placer,400434,22,0,1465,29,20,0,391
2021-03-09,Plumas,18997,0,0,74,0,4,0,10
2021-03-09,Riverside,2468145,143,0,8866,200,99,38,1579
2021-03-09,Sacramento,1567975,128,0,6710,151,66,4,1414
2021-03-09,San Benito,64022,6,0,276,6,3,0,35
2021-03-09,San Bernardino,2217398,90,0,9398,164,77,12,1302
2021-03-09,San Diego,3370418,189,0,13473,304,473,15,-332
2021-03-09,San Francisco,892280,21,0,7314,45,20,4,925
2021-03-09,San Joaquin,782545,102,0,3854,147,76,11,621
2021-03-09,San Luis Obispo,278862,29,0,1298,42,16,0,686
2021-03-09,San Mateo,778001,50,0,8041,69,43,1,1316
2021-03-09,Santa Barbara,456373,29,0,2543,56,21,1,736
2021-03-09,Santa Clara,1967585,144,2,15498,182,81,0,2533
2021-03-09,Santa Cruz,273999,17,0,1965,23,35,0,148
2021-03-09,Shasta,177925,7,0,762,10,25,0,123
2021-03-09,Sierra,3115,0,0,9,0,0,0,-1
2021-03-09,Siskiyou,43956,0,0,51,0,7,0,45
2021-03-09,Solano,444255,20,0,2254,24,22,0,437
2021-03-09,Sonoma,496668,36,0,3171,54,30,0,521
2021-03-09,Stanislaus,562303,46,0,2192,92,59,13,575
2021-03-09,Sutter,105747,3,0,356,5,9,1,91
2021-03-09,Tehama,65885,5,0,147,6,5,0,33
