,county,date,total_doses
1618,Alameda,2021-02-16,12110
1619,Amador,2021-02-16,400
1620,Butte,2021-02-16,725
1621,Calaveras,2021-02-16,289
1622,Colusa,2021-02-16,67
1623,Contra Costa,2021-02-16,10072
1624,Del Norte,2021-02-16,131
1625,El Dorado,2021-02-16,1138
1626,Fresno,2021-02-16,6238
1627,Glenn,2021-02-16,36
1628,Humboldt,2021-02-16,507
1629,Imperial,2021-02-16,513
1630,Inyo,2021-02-16,180
1631,Kern,2021-02-16,2839
1632,Kings,2021-02-16,473
1633,Lake,2021-02-16,378
1634,Lassen,2021-02-16,193
1635,Los Angeles,2021-02-16,61356
1636,Madera,2021-02-16,754
1637,Marin,2021-02-16,2410
1638,Mariposa,2021-02-16,19
1639,Mendocino,2021-02-16,185
1640,Merced,2021-02-16,1190
1641,Modoc,2021-02-16,140
1642,Mono,2021-02-16,530
1643,Monterey,2021-02-16,1047
1644,Napa,2021-02-16,1204
1645,Nevada,2021-02-16,608
1646,Orange,2021-02-16,19482
1647,Outside California,2021-02-16,7005
1648,Placer,2021-02-16,3472
1649,Plumas,2021-02-16,73
1650,Riverside,2021-02-16,15827
1651,Sacramento,2021-02-16,8546
1652,San Benito,2021-02-16,200
1653,San Bernardino,2021-02-16,12250
1654,San Diego,2021-02-16,18038
1655,San Francisco,2021-02-16,4857
1656,San Joaquin,2021-02-16,2858
1657,San Luis Obispo,2021-02-16,2934
1658,San Mateo,2021-02-16,6980
1659,Santa Barbara,2021-02-16,2082
1660,Santa Clara,2021-02-16,13185
1661,Santa Cruz,2021-02-16,1669
1662,Shasta,2021-02-16,692
1663,Sierra,2021-02-16,44
1664,Siskiyou,2021-02-16,107
1665,Solano,2021-02-16,2179
1666,Sonoma,2021-02-16,4461
1667,Stanislaus,2021-02-16,1290
1668,Sutter,2021-02-16,274
1669,Tehama,2021-02-16,239
1670,Trinity,2021-02-16,6
1671,Tulare,2021-02-16,2779
1672,Tuolumne,2021-02-16,517
1673,Unknown,2021-02-16,112
1674,Ventura,2021-02-16,5397
1675,Yolo,2021-02-16,1098
1676,Yuba,2021-02-16,186
1677,Alameda,2021-02-15,5639
1678,Amador,2021-02-15,181
1679,Butte,2021-02-15,256
1680,Calaveras,2021-02-15,369
1681,Colusa,2021-02-15,46
1682,Contra Costa,2021-02-15,4381
1683,Del Norte,2021-02-15,4
1684,El Dorado,2021-02-15,1122
1685,Fresno,2021-02-15,2829
1686,Glenn,2021-02-15,8
1687,Humboldt,2021-02-15,285
1688,Imperial,2021-02-15,36
1689,Inyo,2021-02-15,29
1690,Kern,2021-02-15,2712
1691,Kings,2021-02-15,224
1692,Lake,2021-02-15,164
1693,Lassen,2021-02-15,21
1694,Los Angeles,2021-02-15,31572
1695,Madera,2021-02-15,225
1696,Marin,2021-02-15,1200
1697,Mariposa,2021-02-15,8
1698,Mendocino,2021-02-15,202
1699,Merced,2021-02-15,270
1700,Mono,2021-02-15,171
1701,Monterey,2021-02-15,1330
1702,Napa,2021-02-15,838
1703,Nevada,2021-02-15,706
1704,Orange,2021-02-15,16964
1705,Outside California,2021-02-15,2932
1706,Placer,2021-02-15,2108
1707,Plumas,2021-02-15,26
1708,Riverside,2021-02-15,9777
1709,Sacramento,2021-02-15,5577
1710,San Benito,2021-02-15,105
1711,San Bernardino,2021-02-15,5437
1712,San Diego,2021-02-15,14447
1713,San Francisco,2021-02-15,2721
1714,San Joaquin,2021-02-15,1898
1715,San Luis Obispo,2021-02-15,704
1716,San Mateo,2021-02-15,3124
1717,Santa Barbara,2021-02-15,944
1718,Santa Clara,2021-02-15,6177
1719,Santa Cruz,2021-02-15,1571
1720,Shasta,2021-02-15,382
1721,Sierra,2021-02-15,1
1722,Siskiyou,2021-02-15,103
1723,Solano,2021-02-15,1186
1724,Sonoma,2021-02-15,2044
1725,Stanislaus,2021-02-15,1762
1726,Sutter,2021-02-15,190
1727,Tehama,2021-02-15,51
1728,Trinity,2021-02-15,47
1729,Tulare,2021-02-15,899
1730,Tuolumne,2021-02-15,182
1731,Unknown,2021-02-15,50
1732,Ventura,2021-02-15,3946
1733,Yolo,2021-02-15,521
1734,Yuba,2021-02-15,90
1735,Alameda,2021-02-14,4007
1736,Amador,2021-02-14,123
1737,Butte,2021-02-14,158
1738,Calaveras,2021-02-14,214
1739,Colusa,2021-02-14,19
1740,Contra Costa,2021-02-14,2052
1741,Del Norte,2021-02-14,3
1742,El Dorado,2021-02-14,467
1743,Fresno,2021-02-14,1544
1744,Glenn,2021-02-14,1
1745,Humboldt,2021-02-14,112
1746,Imperial,2021-02-14,26
1747,Inyo,2021-02-14,1
1748,Kern,2021-02-14,352
1749,Kings,2021-02-14,99
1750,Lake,2021-02-14,17
1751,Lassen,2021-02-14,13
1752,Los Angeles,2021-02-14,21725
1753,Madera,2021-02-14,385
1754,Marin,2021-02-14,805
1755,Mariposa,2021-02-14,6
1756,Mendocino,2021-02-14,694
1757,Merced,2021-02-14,113
1758,Monterey,2021-02-14,584
1759,Napa,2021-02-14,321
1760,Nevada,2021-02-14,223
1761,Orange,2021-02-14,16079
1762,Outside California,2021-02-14,1750
1763,Placer,2021-02-14,1061
1764,Plumas,2021-02-14,7
1765,Riverside,2021-02-14,4939
1766,Sacramento,2021-02-14,2877
1767,San Benito,2021-02-14,40
1768,San Bernardino,2021-02-14,1532
1769,San Diego,2021-02-14,10276
1770,San Francisco,2021-02-14,3406
1771,San Joaquin,2021-02-14,1853
1772,San Luis Obispo,2021-02-14,305
1773,San Mateo,2021-02-14,4608
1774,Santa Barbara,2021-02-14,327
1775,Santa Clara,2021-02-14,4613
1776,Santa Cruz,2021-02-14,1381
1777,Shasta,2021-02-14,147
1778,Sierra,2021-02-14,1
1779,Siskiyou,2021-02-14,5
1780,Solano,2021-02-14,672
1781,Sonoma,2021-02-14,2267
1782,Stanislaus,2021-02-14,423
1783,Sutter,2021-02-14,81
1784,Tehama,2021-02-14,33
1785,Trinity,2021-02-14,2
1786,Tulare,2021-02-14,328
1787,Tuolumne,2021-02-14,141
1788,Unknown,2021-02-14,12
1789,Ventura,2021-02-14,1210
1790,Yolo,2021-02-14,439
1791,Yuba,2021-02-14,53
1792,Alameda,2021-02-13,7670
1793,Amador,2021-02-13,160
1794,Butte,2021-02-13,246
1795,Calaveras,2021-02-13,192
1796,Colusa,2021-02-13,60
1797,Contra Costa,2021-02-13,4757
1798,Del Norte,2021-02-13,2
1799,El Dorado,2021-02-13,949
1800,Fresno,2021-02-13,3677
1801,Glenn,2021-02-13,32
1802,Humboldt,2021-02-13,1293
1803,Imperial,2021-02-13,46
1804,Inyo,2021-02-13,60
1805,Kern,2021-02-13,1964
1806,Kings,2021-02-13,99
1807,Lake,2021-02-13,249
1808,Lassen,2021-02-13,13
1809,Los Angeles,2021-02-13,33423
1810,Madera,2021-02-13,478
1811,Marin,2021-02-13,2306
1812,Mariposa,2021-02-13,5
1813,Mendocino,2021-02-13,489
1814,Merced,2021-02-13,357
1815,Modoc,2021-02-13,1
1816,Mono,2021-02-13,592
1817,Monterey,2021-02-13,1047
1818,Napa,2021-02-13,484
1819,Nevada,2021-02-13,573
1820,Orange,2021-02-13,21535
1821,Outside California,2021-02-13,2615
1822,Placer,2021-02-13,2474
1823,Plumas,2021-02-13,72
1824,Riverside,2021-02-13,6292
1825,Sacramento,2021-02-13,6871
1826,San Benito,2021-02-13,60
1827,San Bernardino,2021-02-13,5968
1828,San Diego,2021-02-13,19186
1829,San Francisco,2021-02-13,3911
1830,San Joaquin,2021-02-13,2078
1831,San Luis Obispo,2021-02-13,372
1832,San Mateo,2021-02-13,5937
1833,Santa Barbara,2021-02-13,1220
1834,Santa Clara,2021-02-13,6018
1835,Santa Cruz,2021-02-13,1695
1836,Shasta,2021-02-13,1379
1837,Siskiyou,2021-02-13,36
1838,Solano,2021-02-13,2740
1839,Sonoma,2021-02-13,1948
1840,Stanislaus,2021-02-13,1335
1841,Sutter,2021-02-13,898
1842,Tehama,2021-02-13,390
1843,Trinity,2021-02-13,11
1844,Tulare,2021-02-13,2432
1845,Tuolumne,2021-02-13,144
1846,Unknown,2021-02-13,12
1847,Ventura,2021-02-13,3251
1848,Yolo,2021-02-13,2013
1849,Yuba,2021-02-13,438
1850,Alameda,2021-02-12,12212
1851,Alpine,2021-02-12,2
1852,Amador,2021-02-12,322
1853,Butte,2021-02-12,858
1854,Calaveras,2021-02-12,558
1855,Colusa,2021-02-12,118
1856,Contra Costa,2021-02-12,9511
1857,Del Norte,2021-02-12,115
1858,El Dorado,2021-02-12,1454
1859,Fresno,2021-02-12,4913
1860,Glenn,2021-02-12,421
1861,Humboldt,2021-02-12,1120
1862,Imperial,2021-02-12,2116
1863,Inyo,2021-02-12,301
1864,Kern,2021-02-12,4904
1865,Kings,2021-02-12,589
1866,Lake,2021-02-12,340
1867,Lassen,2021-02-12,45
1868,Los Angeles,2021-02-12,58804
1869,Madera,2021-02-12,822
1870,Marin,2021-02-12,2975
1871,Mariposa,2021-02-12,171
1872,Mendocino,2021-02-12,978
1873,Merced,2021-02-12,1715
1874,Modoc,2021-02-12,5
1875,Mono,2021-02-12,82
1876,Monterey,2021-02-12,2542
1877,Napa,2021-02-12,2144
1878,Nevada,2021-02-12,916
1879,Orange,2021-02-12,24473
1880,Outside California,2021-02-12,5386
1881,Placer,2021-02-12,2706
1882,Plumas,2021-02-12,121
1883,Riverside,2021-02-12,17231
1884,Sacramento,2021-02-12,10150
1885,San Benito,2021-02-12,401
1886,San Bernardino,2021-02-12,10214
1887,San Diego,2021-02-12,23007
1888,San Francisco,2021-02-12,5003
1889,San Joaquin,2021-02-12,2594
1890,San Luis Obispo,2021-02-12,764
1891,San Mateo,2021-02-12,6454
1892,Santa Barbara,2021-02-12,3262
1893,Santa Clara,2021-02-12,13971
1894,Santa Cruz,2021-02-12,3163
1895,Shasta,2021-02-12,1633
1896,Sierra,2021-02-12,20
1897,Siskiyou,2021-02-12,1681
1898,Solano,2021-02-12,3897
1899,Sonoma,2021-02-12,5493
1900,Stanislaus,2021-02-12,3236
1901,Sutter,2021-02-12,615
1902,Tehama,2021-02-12,350
1903,Trinity,2021-02-12,9
1904,Tulare,2021-02-12,2756
1905,Tuolumne,2021-02-12,638
1906,Unknown,2021-02-12,51
1907,Ventura,2021-02-12,6225
1908,Yolo,2021-02-12,1877
1909,Yuba,2021-02-12,260
1910,Alameda,2021-02-11,12688
1911,Alpine,2021-02-11,8
1912,Amador,2021-02-11,302
1913,Butte,2021-02-11,2189
1914,Calaveras,2021-02-11,573
1915,Colusa,2021-02-11,98
1916,Contra Costa,2021-02-11,8313
1917,Del Norte,2021-02-11,174
1918,El Dorado,2021-02-11,2001
1919,Fresno,2021-02-11,6207
1920,Glenn,2021-02-11,233
1921,Humboldt,2021-02-11,1268
1922,Imperial,2021-02-11,463
1923,Inyo,2021-02-11,214
1924,Kern,2021-02-11,4240
1925,Kings,2021-02-11,412
1926,La Paz,2021-02-11,1
1927,Lake,2021-02-11,136
1928,Lassen,2021-02-11,174
1929,Los Angeles,2021-02-11,56424
1930,Madera,2021-02-11,916
1931,Marin,2021-02-11,2604
1932,Mariposa,2021-02-11,364
1933,Mendocino,2021-02-11,1059
1934,Merced,2021-02-11,2478
1935,Modoc,2021-02-11,201
1936,Mono,2021-02-11,7
1937,Monterey,2021-02-11,2437
1938,Napa,2021-02-11,1477
1939,Nevada,2021-02-11,854
1940,Orange,2021-02-11,21641
1941,Outside California,2021-02-11,5611
1942,Placer,2021-02-11,3494
1943,Plumas,2021-02-11,320
1944,Riverside,2021-02-11,16260
1945,Sacramento,2021-02-11,7846
1946,San Benito,2021-02-11,281
1947,San Bernardino,2021-02-11,11722
1948,San Diego,2021-02-11,22505
1949,San Francisco,2021-02-11,6205
1950,San Joaquin,2021-02-11,2713
1951,San Luis Obispo,2021-02-11,1323
1952,San Mateo,2021-02-11,6732
1953,Santa Barbara,2021-02-11,4164
1954,Santa Clara,2021-02-11,12168
1955,Santa Cruz,2021-02-11,1807
1956,Shasta,2021-02-11,776
1957,Sierra,2021-02-11,198
1958,Siskiyou,2021-02-11,184
1959,Solano,2021-02-11,2255
1960,Sonoma,2021-02-11,5242
1961,Stanislaus,2021-02-11,5269
1962,Sutter,2021-02-11,592
1963,Tehama,2021-02-11,219
1964,Trinity,2021-02-11,260
1965,Tulare,2021-02-11,1277
1966,Tuolumne,2021-02-11,138
1967,Unknown,2021-02-11,100
1968,Ventura,2021-02-11,4590
1969,Yavapai,2021-02-11,1
1970,Yolo,2021-02-11,1453
1971,Yuba,2021-02-11,399
1972,Alameda,2021-02-10,11366
1973,Alpine,2021-02-10,32
1974,Amador,2021-02-10,708
1975,Bennington,2021-02-10,1
1976,Butte,2021-02-10,1695
1977,Calaveras,2021-02-10,500
1978,Colusa,2021-02-10,115
1979,Contra Costa,2021-02-10,8503
1980,Del Norte,2021-02-10,138
1981,El Dorado,2021-02-10,1167
1982,Fresno,2021-02-10,3647
1983,Glenn,2021-02-10,137
1984,Humboldt,2021-02-10,484
1985,Imperial,2021-02-10,397
1986,Inyo,2021-02-10,147
1987,Kern,2021-02-10,3713
1988,Kings,2021-02-10,284
1989,Lake,2021-02-10,329
1990,Lassen,2021-02-10,184
1991,Los Angeles,2021-02-10,66098
1992,Madera,2021-02-10,419
1993,Marin,2021-02-10,2316
1994,Mariposa,2021-02-10,17
1995,Mendocino,2021-02-10,1467
1996,Merced,2021-02-10,1844
1997,Modoc,2021-02-10,5
1998,Mono,2021-02-10,441
1999,Monterey,2021-02-10,2004
2000,Napa,2021-02-10,1651
2001,Nevada,2021-02-10,635
2002,Orange,2021-02-10,20649
2003,Outside California,2021-02-10,6417
2004,Placer,2021-02-10,3699
2005,Plumas,2021-02-10,87
2006,Riverside,2021-02-10,11688
2007,Sacramento,2021-02-10,7438
2008,San Benito,2021-02-10,320
2009,San Bernardino,2021-02-10,11872
2010,San Diego,2021-02-10,21817
2011,San Francisco,2021-02-10,6765
2012,San Joaquin,2021-02-10,2434
2013,San Luis Obispo,2021-02-10,1420
2014,San Mateo,2021-02-10,6475
2015,Santa Barbara,2021-02-10,2749
2016,Santa Clara,2021-02-10,12536
2017,Santa Cruz,2021-02-10,2179
2018,Shasta,2021-02-10,630
2019,Sierra,2021-02-10,5
2020,Siskiyou,2021-02-10,367
2021,Solano,2021-02-10,2202
2022,Sonoma,2021-02-10,4358
2023,Stanislaus,2021-02-10,1911
2024,Sutter,2021-02-10,649
2025,Tehama,2021-02-10,229
2026,Trinity,2021-02-10,113
2027,Tulare,2021-02-10,2441
2028,Tuolumne,2021-02-10,89
2029,Unknown,2021-02-10,38
2030,Ventura,2021-02-10,4582
2031,Yolo,2021-02-10,1405
2032,Yuba,2021-02-10,292
2033,Alameda,2021-02-09,9585
2034,Amador,2021-02-09,168
2035,Butte,2021-02-09,949
2036,Calaveras,2021-02-09,200
2037,Colusa,2021-02-09,232
2038,Contra Costa,2021-02-09,8381
2039,Del Norte,2021-02-09,7
2040,El Dorado,2021-02-09,875
2041,Fresno,2021-02-09,5318
2042,Glenn,2021-02-09,48
2043,Humboldt,2021-02-09,376
2044,Imperial,2021-02-09,471
2045,Inyo,2021-02-09,193
2046,Kern,2021-02-09,3008
2047,Kings,2021-02-09,250
2048,Lake,2021-02-09,323
2049,Lassen,2021-02-09,127
2050,Los Angeles,2021-02-09,54510
2051,Madera,2021-02-09,472
2052,Marin,2021-02-09,1759
2053,Mariposa,2021-02-09,9
2054,Mendocino,2021-02-09,101
2055,Merced,2021-02-09,1179
2056,Modoc,2021-02-09,197
2057,Mono,2021-02-09,227
2058,Monterey,2021-02-09,859
2059,Napa,2021-02-09,1069
2060,Nevada,2021-02-09,602
2061,Orange,2021-02-09,17342
2062,Outside California,2021-02-09,5336
2063,Placer,2021-02-09,3494
2064,Plumas,2021-02-09,170
2065,Riverside,2021-02-09,9568
2066,Sacramento,2021-02-09,6627
2067,San Benito,2021-02-09,323
2068,San Bernardino,2021-02-09,9766
2069,San Diego,2021-02-09,19177
2070,San Francisco,2021-02-09,5866
2071,San Joaquin,2021-02-09,1987
2072,San Luis Obispo,2021-02-09,1120
2073,San Mateo,2021-02-09,6112
2074,Santa Barbara,2021-02-09,2423
2075,Santa Clara,2021-02-09,10439
2076,Santa Cruz,2021-02-09,2360
2077,Shasta,2021-02-09,727
2078,Sierra,2021-02-09,54
2079,Siskiyou,2021-02-09,188
2080,Snohomish,2021-02-09,1
2081,Solano,2021-02-09,1849
2082,Sonoma,2021-02-09,3506
2083,Stanislaus,2021-02-09,1815
2084,Sutter,2021-02-09,235
2085,Tehama,2021-02-09,74
2086,Trinity,2021-02-09,19
2087,Tulare,2021-02-09,1398
2088,Tuolumne,2021-02-09,863
2089,Unknown,2021-02-09,23
2090,Ventura,2021-02-09,4690
2091,Yolo,2021-02-09,844
2092,Yuba,2021-02-09,144
2093,Alameda,2021-02-08,7919
2094,Alpine,2021-02-08,32
2095,Amador,2021-02-08,90
2096,Butte,2021-02-08,687
2097,Calaveras,2021-02-08,33
2098,Colusa,2021-02-08,40
2099,Contra Costa,2021-02-08,5704
2100,Del Norte,2021-02-08,36
2101,El Dorado,2021-02-08,847
2102,Fresno,2021-02-08,4233
2103,Glenn,2021-02-08,21
2104,Humboldt,2021-02-08,275
2105,Imperial,2021-02-08,252
2106,Inyo,2021-02-08,116
2107,Kern,2021-02-08,2552
2108,Kings,2021-02-08,167
2109,Lake,2021-02-08,251
2110,Lassen,2021-02-08,45
2111,Los Angeles,2021-02-08,46083
2112,Madera,2021-02-08,374
2113,Marin,2021-02-08,1498
2114,Mariposa,2021-02-08,39
2115,Mendocino,2021-02-08,739
2116,Merced,2021-02-08,278
2117,Modoc,2021-02-08,9
2118,Mono,2021-02-08,172
2119,Monterey,2021-02-08,497
2120,Napa,2021-02-08,828
2121,Nevada,2021-02-08,642
2122,Orange,2021-02-08,14555
2123,Outside California,2021-02-08,6108
2124,Placer,2021-02-08,3257
2125,Plumas,2021-02-08,16
2126,Riverside,2021-02-08,12240
2127,Sacramento,2021-02-08,6025
2128,San Benito,2021-02-08,130
2129,San Bernardino,2021-02-08,6993
2130,San Diego,2021-02-08,19071
2131,San Francisco,2021-02-08,6579
2132,San Joaquin,2021-02-08,1678
2133,San Luis Obispo,2021-02-08,848
2134,San Mateo,2021-02-08,5211
2135,Santa Barbara,2021-02-08,948
2136,Santa Clara,2021-02-08,9444
2137,Santa Cruz,2021-02-08,704
2138,Shasta,2021-02-08,526
2139,Siskiyou,2021-02-08,220
2140,Solano,2021-02-08,1650
2141,Sonoma,2021-02-08,3159
2142,Stanislaus,2021-02-08,1991
2143,Sutter,2021-02-08,131
2144,Tehama,2021-02-08,34
2145,Trinity,2021-02-08,23
2146,Tulare,2021-02-08,945
2147,Tuolumne,2021-02-08,90
2148,Unknown,2021-02-08,62
2149,Ventura,2021-02-08,3461
2150,Yolo,2021-02-08,948
2151,Yuba,2021-02-08,95
2152,Alameda,2021-02-07,3548
2153,Alpine,2021-02-07,1
2154,Amador,2021-02-07,37
2155,Butte,2021-02-07,38
2156,Calaveras,2021-02-07,4
2157,Colusa,2021-02-07,2
2158,Contra Costa,2021-02-07,974
2159,Del Norte,2021-02-07,4
2160,El Dorado,2021-02-07,241
2161,Fresno,2021-02-07,452
2162,Glenn,2021-02-07,1
2163,Humboldt,2021-02-07,378
2164,Imperial,2021-02-07,36
2165,Inyo,2021-02-07,3
2166,Kern,2021-02-07,279
2167,Kings,2021-02-07,5
2168,Lake,2021-02-07,2
2169,Lassen,2021-02-07,1
2170,Los Angeles,2021-02-07,10715
2171,Madera,2021-02-07,36
2172,Marin,2021-02-07,1287
2173,Mendocino,2021-02-07,29
2174,Merced,2021-02-07,19
2175,Mono,2021-02-07,2
2176,Monterey,2021-02-07,311
2177,Napa,2021-02-07,178
2178,Nevada,2021-02-07,243
2179,Orange,2021-02-07,11511
2180,Outside California,2021-02-07,2971
2181,Placer,2021-02-07,1205
2182,Riverside,2021-02-07,2214
2183,Sacramento,2021-02-07,3860
2184,San Benito,2021-02-07,14
2185,San Bernardino,2021-02-07,840
2186,San Diego,2021-02-07,10989
2187,San Francisco,2021-02-07,4285
2188,San Joaquin,2021-02-07,601
2189,San Luis Obispo,2021-02-07,143
2190,San Mateo,2021-02-07,1888
2191,Santa Barbara,2021-02-07,299
2192,Santa Clara,2021-02-07,3460
2193,Santa Cruz,2021-02-07,905
2194,Shasta,2021-02-07,26
2195,Siskiyou,2021-02-07,3
2196,Solano,2021-02-07,846
2197,Sonoma,2021-02-07,1508
2198,Stanislaus,2021-02-07,208
2199,Sutter,2021-02-07,22
2200,Tehama,2021-02-07,5
2201,Tulare,2021-02-07,76
2202,Tuolumne,2021-02-07,7
2203,Unknown,2021-02-07,13
2204,Ventura,2021-02-07,711
2205,Yolo,2021-02-07,512
2206,Yuba,2021-02-07,18
2207,Alameda,2021-02-06,6842
2208,Alpine,2021-02-06,1
2209,Amador,2021-02-06,100
2210,Butte,2021-02-06,142
2211,Calaveras,2021-02-06,20
2212,Colusa,2021-02-06,287
2213,Contra Costa,2021-02-06,3427
2214,Del Norte,2021-02-06,265
2215,El Dorado,2021-02-06,638
2216,Fresno,2021-02-06,2910
2217,Glenn,2021-02-06,14
2218,Humboldt,2021-02-06,901
2219,Imperial,2021-02-06,875
2220,Inyo,2021-02-06,3
2221,Kern,2021-02-06,1722
2222,Kings,2021-02-06,58
2223,Lake,2021-02-06,281
2224,Lassen,2021-02-06,70
2225,Los Angeles,2021-02-06,35093
2226,Madera,2021-02-06,358
2227,Marin,2021-02-06,1419
2228,Mariposa,2021-02-06,1
2229,Mendocino,2021-02-06,556
2230,Merced,2021-02-06,390
2231,Mono,2021-02-06,140
2232,Monterey,2021-02-06,1088
2233,Napa,2021-02-06,427
2234,Nevada,2021-02-06,273
2235,Orange,2021-02-06,16257
2236,Outside California,2021-02-06,4807
2237,Placer,2021-02-06,1892
2238,Plumas,2021-02-06,8
2239,Riverside,2021-02-06,7287
2240,Sacramento,2021-02-06,8324
2241,San Benito,2021-02-06,50
2242,San Bernardino,2021-02-06,5223
2243,San Diego,2021-02-06,19853
2244,San Francisco,2021-02-06,5421
2245,San Joaquin,2021-02-06,1109
2246,San Luis Obispo,2021-02-06,159
2247,San Mateo,2021-02-06,3268
2248,Santa Barbara,2021-02-06,1190
2249,Santa Clara,2021-02-06,5082
2250,Santa Cruz,2021-02-06,2575
2251,Shasta,2021-02-06,1721
2252,Siskiyou,2021-02-06,15
2253,Solano,2021-02-06,2920
2254,Sonoma,2021-02-06,2617
2255,Stanislaus,2021-02-06,869
2256,Sutter,2021-02-06,730
2257,Tehama,2021-02-06,29
2258,Trinity,2021-02-06,208
2259,Tulare,2021-02-06,834
2260,Tuolumne,2021-02-06,847
2261,Unknown,2021-02-06,18
2262,Ventura,2021-02-06,2815
2263,Yolo,2021-02-06,1922
2264,Yuba,2021-02-06,446
2265,Alameda,2021-02-05,10240
2266,Alpine,2021-02-05,30
2267,Amador,2021-02-05,315
2268,Butte,2021-02-05,1164
2269,Calaveras,2021-02-05,61
2270,Colusa,2021-02-05,33
2271,Contra Costa,2021-02-05,8372
2272,Del Norte,2021-02-05,133
2273,El Dorado,2021-02-05,1428
2274,Fresno,2021-02-05,5098
2275,Glenn,2021-02-05,320
2276,Humboldt,2021-02-05,809
2277,Imperial,2021-02-05,397
2278,Inyo,2021-02-05,118
2279,Kern,2021-02-05,4817
2280,Kings,2021-02-05,251
2281,Lake,2021-02-05,352
2282,Lassen,2021-02-05,64
2283,Los Angeles,2021-02-05,60141
2284,Madera,2021-02-05,965
2285,Marin,2021-02-05,2151
2286,Mariposa,2021-02-05,177
2287,Mendocino,2021-02-05,1306
2288,Merced,2021-02-05,529
2289,Modoc,2021-02-05,4
2290,Mono,2021-02-05,623
2291,Monterey,2021-02-05,3630
2292,Napa,2021-02-05,704
2293,Nevada,2021-02-05,635
2294,Orange,2021-02-05,20551
2295,Outside California,2021-02-05,7134
2296,Placer,2021-02-05,2690
2297,Plumas,2021-02-05,24
2298,Riverside,2021-02-05,14275
2299,Sacramento,2021-02-05,7452
2300,San Benito,2021-02-05,290
2301,San Bernardino,2021-02-05,10877
2302,San Diego,2021-02-05,24394
2303,San Francisco,2021-02-05,5896
2304,San Joaquin,2021-02-05,3162
2305,San Luis Obispo,2021-02-05,1592
2306,San Mateo,2021-02-05,6747
2307,Santa Barbara,2021-02-05,2900
2308,Santa Clara,2021-02-05,11759
2309,Santa Cruz,2021-02-05,3154
2310,Shasta,2021-02-05,1203
2311,Sierra,2021-02-05,5
2312,Siskiyou,2021-02-05,504
2313,Solano,2021-02-05,3018
2314,Sonoma,2021-02-05,4773
2315,Stanislaus,2021-02-05,2800
2316,Sutter,2021-02-05,278
2317,Tehama,2021-02-05,158
2318,Trinity,2021-02-05,348
2319,Tulare,2021-02-05,1225
2320,Tuolumne,2021-02-05,97
2321,Unknown,2021-02-05,15
2322,Ventura,2021-02-05,4795
2323,Yolo,2021-02-05,1187
2324,Yuba,2021-02-05,144
2325,Alameda,2021-02-04,9398
2326,Alpine,2021-02-04,8
2327,Amador,2021-02-04,245
2328,Butte,2021-02-04,2947
2329,Calaveras,2021-02-04,349
2330,Colusa,2021-02-04,142
2331,Contra Costa,2021-02-04,7391
2332,Del Norte,2021-02-04,70
2333,El Dorado,2021-02-04,1230
2334,Fresno,2021-02-04,4181
2335,Glenn,2021-02-04,146
2336,Hamilton,2021-02-04,1
2337,Humboldt,2021-02-04,631
2338,Imperial,2021-02-04,1755
2339,Inyo,2021-02-04,148
2340,Kern,2021-02-04,3775
2341,Kings,2021-02-04,390
2342,Lake,2021-02-04,80
2343,Lassen,2021-02-04,111
2344,Los Angeles,2021-02-04,56570
2345,Madera,2021-02-04,386
2346,Marin,2021-02-04,1517
2347,Mariposa,2021-02-04,86
2348,Mendocino,2021-02-04,581
2349,Merced,2021-02-04,372
2350,Modoc,2021-02-04,154
2351,Mono,2021-02-04,213
2352,Monterey,2021-02-04,2691
2353,Napa,2021-02-04,783
2354,Nevada,2021-02-04,749
2355,Orange,2021-02-04,19600
2356,Outside California,2021-02-04,7889
2357,Placer,2021-02-04,2733
2358,Plumas,2021-02-04,102
2359,Riverside,2021-02-04,13567
2360,Sacramento,2021-02-04,7533
2361,San Benito,2021-02-04,160
2362,San Bernardino,2021-02-04,10517
2363,San Diego,2021-02-04,22938
2364,San Francisco,2021-02-04,5003
2365,San Joaquin,2021-02-04,3405
2366,San Luis Obispo,2021-02-04,1652
2367,San Mateo,2021-02-04,6250
2368,Santa Barbara,2021-02-04,2776
2369,Santa Clara,2021-02-04,10436
2370,Santa Cruz,2021-02-04,1799
2371,Shasta,2021-02-04,604
2372,Sierra,2021-02-04,106
2373,Siskiyou,2021-02-04,315
2374,Solano,2021-02-04,1729
2375,Sonoma,2021-02-04,4102
2376,Stanislaus,2021-02-04,2059
2377,Sutter,2021-02-04,666
2378,Tehama,2021-02-04,439
2379,Trinity,2021-02-04,33
2380,Tulare,2021-02-04,551
2381,Tuolumne,2021-02-04,129
2382,Unknown,2021-02-04,75
2383,Ventura,2021-02-04,4726
2384,Yolo,2021-02-04,1783
2385,Yuba,2021-02-04,295
2386,Alameda,2021-02-03,7019
2387,Alpine,2021-02-03,33
2388,Amador,2021-02-03,140
2389,Butte,2021-02-03,2728
2390,Calaveras,2021-02-03,417
2391,Colusa,2021-02-03,70
2392,Contra Costa,2021-02-03,8214
2393,Del Norte,2021-02-03,126
2394,El Dorado,2021-02-03,860
2395,Fresno,2021-02-03,3471
2396,Glenn,2021-02-03,206
2397,Humboldt,2021-02-03,626
2398,Imperial,2021-02-03,482
2399,Inyo,2021-02-03,117
2400,Kern,2021-02-03,3648
2401,Kings,2021-02-03,349
