,county,date,total_doses
263,Monterey,2021-03-11,2140
264,Napa,2021-03-11,991
265,Nevada,2021-03-11,827
266,Orange,2021-03-11,24830
267,Outside California,2021-03-11,5750
268,Placer,2021-03-11,2176
269,Plumas,2021-03-11,150
270,Riverside,2021-03-11,11709
271,Sacramento,2021-03-11,9262
272,San Benito,2021-03-11,345
273,San Bernardino,2021-03-11,7811
274,San Diego,2021-03-11,27041
275,San Francisco,2021-03-11,8417
276,San Joaquin,2021-03-11,3573
277,San Luis Obispo,2021-03-11,2554
278,San Mateo,2021-03-11,6748
279,Santa Barbara,2021-03-11,4046
280,Santa Clara,2021-03-11,13538
281,Santa Cruz,2021-03-11,2389
282,Shasta,2021-03-11,755
283,Sierra,2021-03-11,148
284,Siskiyou,2021-03-11,332
285,Solano,2021-03-11,2771
286,Sonoma,2021-03-11,4626
287,Stanislaus,2021-03-11,5370
288,Sutter,2021-03-11,355
289,Tehama,2021-03-11,420
290,Trinity,2021-03-11,10
291,Tulare,2021-03-11,2785
292,Tuolumne,2021-03-11,1195
293,Unknown,2021-03-11,158
294,Ventura,2021-03-11,2494
295,Yolo,2021-03-11,1271
296,Yuba,2021-03-11,175
297,Alameda,2021-03-10,15101
298,Alpine,2021-03-10,72
299,Amador,2021-03-10,135
300,Butte,2021-03-10,1370
301,Calaveras,2021-03-10,389
302,Colusa,2021-03-10,192
303,Contra Costa,2021-03-10,9820
304,Cottonwood,2021-03-10,1
305,Del Norte,2021-03-10,92
306,El Dorado,2021-03-10,682
307,Fresno,2021-03-10,4858
308,Glenn,2021-03-10,99
309,Humboldt,2021-03-10,573
310,Imperial,2021-03-10,301
311,Inyo,2021-03-10,48
312,Kern,2021-03-10,5128
313,Kings,2021-03-10,351
314,Lake,2021-03-10,157
315,Lassen,2021-03-10,150
316,Los Angeles,2021-03-10,55307
317,Madera,2021-03-10,797
318,Marin,2021-03-10,2919
319,Mariposa,2021-03-10,16
320,Mendocino,2021-03-10,816
321,Merced,2021-03-10,1783
322,Modoc,2021-03-10,5
323,Mono,2021-03-10,4
324,Monterey,2021-03-10,1871
325,Napa,2021-03-10,841
326,Nevada,2021-03-10,651
327,Orange,2021-03-10,17673
328,Outside California,2021-03-10,4401
329,Placer,2021-03-10,1991
330,Plumas,2021-03-10,195
331,Riverside,2021-03-10,9540
332,Sacramento,2021-03-10,8342
333,San Benito,2021-03-10,338
334,San Bernardino,2021-03-10,8047
335,San Diego,2021-03-10,24019
336,San Francisco,2021-03-10,9003
337,San Joaquin,2021-03-10,4256
338,San Luis Obispo,2021-03-10,2509
339,San Mateo,2021-03-10,4826
340,Santa Barbara,2021-03-10,1195
341,Santa Clara,2021-03-10,11110
