,date,county,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
80,3/15/2021,Los Angeles,County,10257557.0,12.0,1172676.0,0.0,22527.0,128.0,16764205.0,2.0,1499919.0,345.0,1172445.0,1.0,22477.0,105930.0,23283875.0
81,3/15/2021,Madera,County,160089.0,2.0,15822.0,0.0,214.0,47.0,208375.0,2.0,17801.0,2.0,15806.0,0.0,214.0,227.0,117418.0
82,3/15/2021,Marin,County,260800.0,1.0,13419.0,0.0,218.0,36.0,430764.0,1.0,14828.0,3.0,13408.0,0.0,218.0,702.0,274279.0
83,3/15/2021,Mariposa,County,17795.0,0.0,379.0,0.0,5.0,0.0,18837.0,0.0,421.0,0.0,376.0,0.0,5.0,14.0,7907.0
84,3/15/2021,Mendocino,County,88439.0,0.0,3623.0,0.0,44.0,23.0,88218.0,0.0,3990.0,2.0,3615.0,0.0,44.0,90.0,57198.0
85,3/15/2021,Merced,County,287420.0,9.0,29198.0,0.0,407.0,19.0,304471.0,2.0,30823.0,20.0,29169.0,0.0,407.0,596.0,216856.0
86,3/15/2021,Modoc,County,9475.0,0.0,341.0,0.0,3.0,0.0,5345.0,0.0,158.0,0.0,340.0,0.0,3.0,4.0,3599.0
87,3/15/2021,Mono,County,13961.0,1.0,1207.0,0.0,3.0,19.0,14478.0,1.0,1307.0,0.0,1206.0,0.0,3.0,3.0,12732.0
88,3/15/2021,Monterey,County,448732.0,1.0,42023.0,0.0,334.0,85.0,512582.0,1.0,47194.0,4.0,42011.0,0.0,333.0,698.0,347689.0
89,3/15/2021,Napa,County,139652.0,1.0,9209.0,0.0,75.0,18.0,227562.0,1.0,9962.0,2.0,9196.0,0.0,75.0,272.0,144132.0
90,3/15/2021,Nevada,County,98710.0,1.0,4132.0,0.0,67.0,13.0,86320.0,0.0,4033.0,1.0,4123.0,0.0,66.0,148.0,58950.0
91,3/15/2021,Orange,County,3228519.0,13.0,247843.0,0.0,4479.0,740.0,3207464.0,17.0,301967.0,41.0,247697.0,21.0,4481.0,5937.0,2753152.0
92,3/15/2021,Out of state,County,,,,,,,,,,,,,,1649.0,315353.0
93,3/15/2021,Placer,County,400434.0,0.0,20339.0,0.0,240.0,54.0,326532.0,0.0,21587.0,20.0,20308.0,0.0,238.0,861.0,267050.0
94,3/15/2021,Plumas,County,18997.0,0.0,643.0,0.0,4.0,14.0,17081.0,0.0,613.0,0.0,642.0,0.0,4.0,33.0,12651.0
95,3/15/2021,Riverside,County,2468145.0,5.0,281540.0,0.0,3893.0,377.0,2529195.0,7.0,336292.0,35.0,281367.0,11.0,3856.0,4089.0,1989482.0
96,3/15/2021,Sacramento,County,1567975.0,2.0,95522.0,0.0,1466.0,131.0,1520560.0,4.0,107336.0,71.0,95414.0,1.0,1463.0,3050.0,1177612.0
97,3/15/2021,San Benito,County,64022.0,0.0,5831.0,0.0,61.0,29.0,70007.0,1.0,6602.0,2.0,5831.0,0.0,61.0,91.0,47500.0
98,3/15/2021,San Bernardino,County,2217398.0,11.0,283980.0,0.0,4032.0,325.0,2547485.0,11.0,336334.0,24.0,283815.0,8.0,4004.0,3327.0,2118556.0
99,3/15/2021,San Diego,County,3370418.0,15.0,265903.0,0.0,3462.0,179.0,3568557.0,1.0,282397.0,178.0,265646.0,0.0,3452.0,4523.0,3244933.0
100,3/15/2021,San Francisco,County,892280.0,3.0,34833.0,0.0,456.0,226.0,1709227.0,2.0,44204.0,10.0,34820.0,1.0,456.0,2060.0,1127527.0
101,3/15/2021,San Joaquin,County,782545.0,3.0,66856.0,0.0,1163.0,129.0,789452.0,10.0,77470.0,59.0,66622.0,0.0,1140.0,1660.0,616408.0
102,3/15/2021,San Luis Obispo,County,278862.0,2.0,19832.0,0.0,248.0,71.0,436383.0,1.0,21233.0,7.0,19813.0,0.0,247.0,439.0,238523.0
103,3/15/2021,San Mateo,County,778001.0,4.0,39806.0,0.0,344.0,136.0,1240835.0,5.0,50176.0,21.0,39765.0,2.0,344.0,2429.0,762618.0
104,3/15/2021,Santa Barbara,County,456373.0,7.0,32556.0,0.0,433.0,104.0,519642.0,4.0,37418.0,15.0,32529.0,0.0,431.0,626.0,343747.0
105,3/15/2021,Santa Clara,County,1967585.0,4.0,112845.0,0.0,1797.0,463.0,3166398.0,6.0,128343.0,81.0,112729.0,2.0,1798.0,5975.0,2143736.0
106,3/15/2021,Santa Cruz,County,273999.0,3.0,14926.0,0.0,199.0,117.0,330703.0,3.0,15865.0,12.0,14899.0,0.0,200.0,625.0,207593.0
107,3/15/2021,Shasta,County,177925.0,1.0,11035.0,0.0,100.0,14.0,158938.0,0.0,8275.0,0.0,11019.0,0.0,92.0,288.0,98220.0
108,3/15/2021,Sierra,County,3115.0,0.0,49.0,0.0,0.0,0.0,2293.0,0.0,52.0,0.0,49.0,0.0,0.0,1.0,1172.0
109,3/15/2021,Siskiyou,County,43956.0,0.0,1477.0,0.0,5.0,8.0,27789.0,0.0,1602.0,2.0,1475.0,0.0,5.0,78.0,25634.0
110,3/15/2021,Solano,County,444255.0,0.0,30298.0,0.0,171.0,57.0,552841.0,0.0,31644.0,28.0,30258.0,0.0,171.0,760.0,369997.0
111,3/15/2021,Sonoma,County,496668.0,4.0,28850.0,0.0,291.0,82.0,586811.0,5.0,31592.0,16.0,28814.0,1.0,285.0,894.0,411866.0
112,3/15/2021,Stanislaus,County,562303.0,4.0,51410.0,0.0,683.0,90.0,527515.0,5.0,57923.0,51.0,51357.0,-7.0,683.0,1190.0,440453.0
113,3/15/2021,Sutter,County,105747.0,4.0,8970.0,0.0,102.0,49.0,84050.0,2.0,9863.0,4.0,8962.0,0.0,102.0,170.0,66287.0
114,3/15/2021,Tehama,County,65885.0,0.0,4660.0,0.0,34.0,5.0,50809.0,0.0,4535.0,0.0,4650.0,0.0,34.0,87.0,39557.0
115,3/15/2021,Trinity,County,13354.0,0.0,308.0,0.0,3.0,1.0,7221.0,0.0,328.0,0.0,308.0,0.0,3.0,22.0,10973.0
116,3/15/2021,Tulare,County,484423.0,4.0,47895.0,0.0,803.0,130.0,479035.0,3.0,55501.0,12.0,47857.0,0.0,800.0,754.0,350836.0
117,3/15/2021,Tuolumne,County,52351.0,0.0,3938.0,0.0,57.0,4.0,82552.0,0.0,4569.0,0.0,3937.0,0.0,57.0,68.0,39707.0
118,3/15/2021,Unknown,County,,1.0,36.0,0.0,0.0,,,,,3.0,85.0,0.0,0.0,704.0,647888.0
119,3/15/2021,Ventura,County,852747.0,0.0,78671.0,0.0,916.0,201.0,1176622.0,3.0,95095.0,15.0,78626.0,0.0,910.0,1508.0,1056528.0
120,3/15/2021,Yolo,County,223612.0,1.0,13162.0,0.0,190.0,33.0,287987.0,1.0,12965.0,3.0,13131.0,1.0,190.0,2433.0,233781.0
121,3/15/2021,Yuba,County,79290.0,3.0,5596.0,0.0,42.0,25.0,58897.0,1.0,6342.0,2.0,5585.0,0.0,42.0,148.0,50844.0
