county,date,total_doses
Butte,2021-03-06,141
Calaveras,2021-03-06,81
Colusa,2021-03-06,235
Contra Costa,2021-03-06,6350
Del Norte,2021-03-06,425
El Dorado,2021-03-06,521
Fresno,2021-03-06,5438
Glenn,2021-03-06,24
Humboldt,2021-03-06,1174
Imperial,2021-03-06,642
Inyo,2021-03-06,29
Kern,2021-03-06,3801
Kings,2021-03-06,442
Lake,2021-03-06,28
Lassen,2021-03-06,45
Los Angeles,2021-03-06,52638
Madera,2021-03-06,618
Marin,2021-03-06,2242
Mariposa,2021-03-06,5
Mendocino,2021-03-06,224
Merced,2021-03-06,820
Modoc,2021-03-06,8
Mono,2021-03-06,319
Monterey,2021-03-06,2479
Napa,2021-03-06,497
Nevada,2021-03-06,293
Orange,2021-03-06,16025
Placer,2021-03-06,2063
Plumas,2021-03-06,10
Riverside,2021-03-06,6711
Sacramento,2021-03-06,5390
San Benito,2021-03-06,147
San Bernardino,2021-03-06,7100
San Diego,2021-03-06,22241
San Francisco,2021-03-06,5909
San Joaquin,2021-03-06,2772
San Luis Obispo,2021-03-06,666
San Mateo,2021-03-06,7142
Santa Barbara,2021-03-06,1870
Santa Clara,2021-03-06,8089
Santa Cruz,2021-03-06,3539
Shasta,2021-03-06,713
Siskiyou,2021-03-06,22
Solano,2021-03-06,3330
Sonoma,2021-03-06,2340
Stanislaus,2021-03-06,3307
Sutter,2021-03-06,535
Tehama,2021-03-06,269
Trinity,2021-03-06,181
Tulare,2021-03-06,2244
Tuolumne,2021-03-06,1024
Ventura,2021-03-06,4802
Yolo,2021-03-06,532
Yuba,2021-03-06,260
Alameda,2021-03-05,13464
Alpine,2021-03-05,29
Amador,2021-03-05,476
Butte,2021-03-05,1253
Calaveras,2021-03-05,442
Colusa,2021-03-05,84
Contra Costa,2021-03-05,9494
Del Norte,2021-03-05,68
El Dorado,2021-03-05,1090
Fresno,2021-03-05,6650
Glenn,2021-03-05,329
Humboldt,2021-03-05,857
Imperial,2021-03-05,2539
Inyo,2021-03-05,149
Kern,2021-03-05,5680
Kings,2021-03-05,845
Lake,2021-03-05,790
Lassen,2021-03-05,44
